actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-11-14T03:10:19.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-14T03:10:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-11-14T03:10:23.7Z,1,REGULAR,jumpball,recovered,[],1626145,,,1610612756,0,0,2024-11-14T03:10:23Z,40000,False,,,0,,Jump Ball J. Nurkić vs. D. Sabonis: Tip to T. Jones,"[1626145, 203994, 1627734]",1610612756.0,PHX,startperiod,T. Jones,1626145.0,Jones,T. Jones,Nurkić,203994.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2024-11-14T03:10:41.3Z,1,REGULAR,3pt,Jump Shot,[],1642346,6.652431011826544,3.431372549019608,1610612756,0,0,2024-11-14T03:10:47Z,70000,False,233.0,10.0,1,left,MISS R. Dunn 3PT,[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Right Corner 3,24+ Right,23.3,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2024-11-14T03:10:44.3Z,1,REGULAR,rebound,offensive,[],203994,,,1610612756,0,0,2024-11-14T03:10:47Z,80000,False,,,0,,J. Nurkić REBOUND (Off:1 Def:0),[203994],1610612756.0,PHX,,,,Nurkić,J. Nurkić,,,,,Right Corner 3,24+ Right,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M33.00S,2024-11-14T03:10:46.5Z,1,REGULAR,turnover,bad pass,[],203994,,,1610612756,0,0,2024-11-14T03:10:51Z,90000,False,,,0,,J. Nurkić bad pass TURNOVER (1 TO),"[203994, 1628368]",1610612756.0,PHX,,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Fox,1628368.0,,,,,,,,,,,
10,PT11M33.00S,2024-11-14T03:10:46.5Z,1,REGULAR,steal,,[],1628368,,,1610612758,0,0,2024-11-14T03:10:48Z,100000,False,,,0,,D. Fox STEAL (1 STL),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M23.00S,2024-11-14T03:10:55.5Z,1,REGULAR,turnover,lost ball,[],1627734,,,1610612758,0,0,2024-11-14T03:11:00Z,110000,False,,,0,,D. Sabonis lost ball TURNOVER (1 TO),"[1627734, 203994]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,Nurkić,203994.0,,,,,,,,,,,
12,PT11M23.00S,2024-11-14T03:10:55.5Z,1,REGULAR,steal,,[],203994,,,1610612756,0,0,2024-11-14T03:22:39Z,120000,False,,,0,,J. Nurkić STEAL (1 STL),[203994],1610612756.0,PHX,,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M01.00S,2024-11-14T03:11:17.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626220,29.6484888304862,26.225490196078432,1610612756,0,0,2024-11-14T03:11:23Z,130000,False,119.0,226.0,1,left,MISS R. O'Neale 25' 3PT,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Right Center,25.55,Missed,,,,,,,,,,,,,,,,,,
14,PT10M57.00S,2024-11-14T03:11:21.5Z,1,REGULAR,rebound,defensive,[],201942,,,1610612758,0,0,2024-11-14T03:11:23Z,140000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Right Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M51.00S,2024-11-14T03:11:27.6Z,1,REGULAR,2pt,Jump Shot,[],201942,76.95466491458606,66.42156862745098,1610612758,2,0,2024-11-14T03:11:32Z,150000,False,82.0,164.0,1,right,D. DeRozan 18' pullup Jump Shot (2 PTS),[201942],1610612758.0,SAC,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Right Center,18.35,Made,,,,,,,,2.0,,,,,,,,,,
