actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-04-10T02:13:34.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-10T02:13:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-04-10T02:13:38.7Z,1,REGULAR,jumpball,recovered,[],1631165,,,1610612758,0,0,2025-04-10T02:13:38Z,40000,False,,,0,,Jump Ball D. Sabonis vs. N. Jokić: Tip to K. Ellis,"[1631165, 1627734, 203999]",1610612758.0,SAC,startperiod,K. Ellis,1631165.0,Ellis,K. Ellis,Sabonis,1627734.0,Jokić,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-04-10T02:13:51.4Z,1,REGULAR,2pt,Jump Shot,[],203897,5.075558475689881,68.87254901960785,1610612758,0,0,2025-04-10T02:13:58Z,70000,False,-94.0,-5.0,1,left,MISS Z. LaVine 9' fadeaway Shot,[203897],1610612758.0,SAC,fadeaway,,,LaVine,Z. LaVine,,,,,Mid-Range,8-16 Left,9.45,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2025-04-10T02:13:55.4Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,0,0,2025-04-10T02:13:58Z,80000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,8-16 Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2025-04-10T02:14:09.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,92.72339027595268,46.32352941176471,1610612743,0,0,2025-04-10T02:14:16Z,90000,False,-18.0,16.0,1,right,MISS M. Porter Jr. driving Layup,[1629008],1610612743.0,DEN,driving,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,2.43,Missed,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2025-04-10T02:14:11.1Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,0,2025-04-10T02:14:16Z,100000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M11.00S,2025-04-10T02:14:22.6Z,1,REGULAR,3pt,Jump Shot,[],201942,33.327858081471746,43.38235294117647,1610612758,0,0,2025-04-10T02:14:31Z,110000,False,33.0,261.0,1,left,MISS D. DeRozan 26' 3PT,[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Center,26.29,Missed,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2025-04-10T02:14:25.6Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,0,0,2025-04-10T02:14:31Z,120000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:2),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,
13,PT11M00.00S,2025-04-10T02:14:34.1Z,1,REGULAR,3pt,Jump Shot,[],1631128,71.56701708278581,18.38235294117647,1610612743,0,3,2025-04-10T02:14:37Z,130000,False,-158.0,215.0,1,right,C. Braun 26' 3PT  (3 PTS),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Above the Break 3,24+ Left Center,26.67,Made,,,,,3.0,,,,,,,,,,,,,
14,PT10M43.00S,2025-04-10T02:14:51.5Z,1,REGULAR,3pt,Jump Shot,[],1627734,29.25427069645204,73.77450980392157,1610612758,0,3,2025-04-10T02:14:55Z,140000,False,-119.0,222.0,1,left,MISS D. Sabonis 25' 3PT,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Left Center,25.23,Missed,,,,,,,,,,,,,,,,,,
15,PT10M39.00S,2025-04-10T02:14:55.5Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,0,3,2025-04-10T02:14:55Z,150000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:3),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,14.0,3.0,3.0,0.0,,,,,,,,,,,,,,
16,PT10M31.00S,2025-04-10T02:15:04.0Z,1,REGULAR,3pt,Jump Shot,[],1629618,88.12417871222075,96.32352941176471,1610612743,0,3,2025-04-10T02:15:40Z,160000,False,232.0,59.0,1,right,MISS J. Pickett 3PT,[1629618],1610612743.0,DEN,,,,Pickett,J. Pickett,,,,,Right Corner 3,24+ Right,23.9,Missed,,,,,,,,,,,,,,,,,,
17,PT10M29.00S,2025-04-10T02:15:06.0Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,0,3,2025-04-10T02:24:16Z,170000,False,,,0,,A. Gordon REBOUND (Off:1 Def:0),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Right Corner 3,24+ Right,,,16.0,1.0,0.0,1.0,,,,,,,,,,,,,,
47,PT10M28.00S,2025-04-10T02:15:04.0Z,1,REGULAR,turnover,out-of-bounds,[],203932,,,1610612743,0,3,2025-04-10T02:24:11Z,175000,False,,,0,,A. Gordon step out-of-bounds TURNOVER (1 TO),[203932],1610612743.0,DEN,step,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,201246.0,1.0,,,,,,,,,,,
19,PT10M03.00S,2025-04-10T02:15:39.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201942,17.559132720105126,28.431372549019606,1610612758,0,3,2025-04-10T02:20:12Z,190000,False,108.0,113.0,1,left,MISS D. DeRozan 15' fadeaway Shot,[201942],1610612758.0,SAC,fadeaway,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Right,15.59,Missed,,,,,,,,,,,,,,,,,,
20,PT10M00.00S,2025-04-10T02:15:42.1Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,0,3,2025-04-10T02:15:45Z,200000,False,,,0,,C. Braun REBOUND (Off:0 Def:1),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Mid-Range,8-16 Right,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT09M59.00S,2025-04-10T02:15:45.7Z,1,REGULAR,foul,personal,['2freethrow'],1631165,,,1610612743,0,3,2025-04-10T02:16:21Z,210000,False,,,0,,K. Ellis shooting personal FOUL (1 PF) (Braun 2 FT),"[1631165, 1631128]",1610612758.0,SAC,shooting,,,Ellis,K. Ellis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,201246.0,,1.0,0.0,Braun,1631128.0,,,,,,,
23,PT09M59.00S,2025-04-10T02:16:15.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1631128,,,1610612743,0,4,2025-04-10T02:16:15Z,230000,False,,,0,,C. Braun Free Throw 1 of 2 (4 PTS),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
24,PT09M59.00S,2025-04-10T02:16:15.5Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1631128,,,1610612743,0,5,2025-04-10T02:16:35Z,240000,False,,,0,,C. Braun Free Throw 2 of 2 (5 PTS),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
25,PT09M44.00S,2025-04-10T02:16:43.8Z,1,REGULAR,3pt,Jump Shot,[],1626168,4.28712220762155,97.54901960784314,1610612758,3,5,2025-04-10T02:16:49Z,250000,False,-238.0,-12.0,1,left,T. Lyles 3PT  (3 PTS) (Z. LaVine 1 AST),"[1626168, 203897]",1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,Left Corner 3,24+ Left,23.8,Made,,,,,3.0,,,,,,,Z. LaVine,203897.0,1.0,,,,
27,PT09M28.00S,2025-04-10T02:17:00.2Z,1,REGULAR,3pt,Jump Shot,[],1629008,78.79434954007884,93.13725490196079,1610612743,3,8,2025-04-10T02:17:04Z,270000,False,216.0,147.0,1,right,M. Porter Jr. 26' 3PT  (3 PTS) (J. Pickett 1 AST),"[1629008, 1629618]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,26.09,Made,,,,,3.0,,,,,,,J. Pickett,1629618.0,1.0,,,,
29,PT09M12.00S,2025-04-10T02:17:15.5Z,1,REGULAR,turnover,bad pass,[],203897,,,1610612758,3,8,2025-04-10T02:17:20Z,290000,False,,,0,,Z. LaVine bad pass TURNOVER (1 TO),"[203897, 203999]",1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,,,,,,,,Jokić,203999.0,,
30,PT09M12.00S,2025-04-10T02:17:15.5Z,1,REGULAR,steal,,[],203999,,,1610612743,3,8,2025-04-10T02:21:24Z,300000,False,,,0,,N. Jokić STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
31,PT09M05.00S,2025-04-10T02:17:25.6Z,1,REGULAR,foul,personal,['2freethrow'],201942,,,1610612743,3,8,2025-04-10T02:17:33Z,310000,False,,,0,,D. DeRozan shooting personal FOUL (1 PF) (Porter Jr. 2 FT),"[201942, 1629008]",1610612758.0,SAC,shooting,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,,,,,,,,1628159.0,,1.0,0.0,Porter Jr.,1629008.0,,,,,,,
33,PT09M05.00S,2025-04-10T02:17:50.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203932,,,1610612743,3,9,2025-04-10T02:22:46Z,330000,False,,,0,,A. Gordon Free Throw 1 of 2 (1 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
34,PT09M05.00S,2025-04-10T02:17:50.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203932,,,1610612743,3,10,2025-04-10T02:22:46Z,340000,False,,,0,,A. Gordon Free Throw 2 of 2 (2 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
35,PT08M46.00S,2025-04-10T02:18:25.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627734,6.521024967148489,62.99019607843137,1610612758,5,10,2025-04-10T02:18:31Z,350000,False,-65.0,9.0,1,left,D. Sabonis 6' Hook (2 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,6.56,Made,,,,,2.0,,,,,,,,,,,,,
36,PT08M39.00S,2025-04-10T02:18:33.1Z,1,REGULAR,3pt,Jump Shot,[],203932,71.30420499342969,78.18627450980392,1610612743,5,10,2025-04-10T02:31:35Z,360000,False,141.0,217.0,1,right,MISS A. Gordon 25' pullup 3PT,[203932],1610612743.0,DEN,pullup,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Right Center,25.89,Missed,,,,,,,,,,,,,,,,,,
37,PT08M39.00S,2025-04-10T02:18:33.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,5,10,2025-04-10T02:19:05Z,370000,False,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Above the Break 3,24+ Right Center,,,36.0,,,,,,,,,,,,,,,,,
39,PT08M20.00S,2025-04-10T02:19:01.1Z,1,REGULAR,3pt,Jump Shot,[],1631165,9.543363994743759,5.147058823529411,1610612758,5,10,2025-04-10T02:19:08Z,390000,False,224.0,37.0,1,left,MISS K. Ellis 3PT,[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Right Corner 3,24+ Right,22.74,Missed,,,,,,,,,,,,,,,,,,
40,PT08M17.00S,2025-04-10T02:19:03.7Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,5,10,2025-04-10T02:19:03Z,400000,False,,,0,,N. Jokić REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Right Corner 3,24+ Right,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,,
41,PT08M13.00S,2025-04-10T02:19:07.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631128,92.72339027595268,59.068627450980394,1610612743,5,12,2025-04-10T02:19:17Z,410000,False,45.0,16.0,1,right,C. Braun running Layup (7 PTS) (M. Porter Jr. 1 AST),"[1631128, 1629008]",1610612743.0,DEN,running,,,Braun,C. Braun,,,,,In The Paint (Non-RA),0-8 Center,4.8,Made,,,,,7.0,,,,,,,M. Porter Jr.,1629008.0,1.0,,,,
43,PT07M46.00S,2025-04-10T02:19:36.3Z,1,REGULAR,2pt,Jump Shot,[],201942,14.011169513797633,71.32352941176471,1610612758,5,12,2025-04-10T02:20:16Z,430000,False,-107.0,79.0,1,left,MISS D. DeRozan 13' Jump Shot,[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,13.28,Missed,,,,,,,,,,,,,,,,,,
44,PT07M46.00S,2025-04-10T02:19:39.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612743,5,12,2025-04-10T02:19:39Z,440000,False,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Mid-Range,8-16 Left,,,43.0,,,,,,,,,,,,,,,,,
45,PT07M22.00S,2025-04-10T02:20:07.8Z,1,REGULAR,3pt,Jump Shot,[],203932,93.77463863337714,94.85294117647058,1610612743,5,12,2025-04-10T02:22:07Z,450000,False,224.0,6.0,1,right,MISS A. Gordon pullup 3PT,[203932],1610612743.0,DEN,pullup,,,Gordon,A. Gordon,,,,,Right Corner 3,24+ Right,22.44,Missed,,,,,,,,,,,,,,,,,,
46,PT07M22.00S,2025-04-10T02:20:07.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,5,12,2025-04-10T02:20:19Z,460000,False,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Right Corner 3,24+ Right,,,45.0,,,,,,,,,,,,,,,,,
48,PT07M07.00S,2025-04-10T02:20:34.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,7.835085413929041,56.127450980392155,1610612758,7,12,2025-04-10T02:20:38Z,470000,False,-31.0,21.0,1,left,Z. LaVine driving Layup (2 PTS),[203897],1610612758.0,SAC,driving,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,3.72,Made,,,,,2.0,,,,,,,,,,,,,
49,PT06M53.00S,2025-04-10T02:20:49.7Z,1,REGULAR,turnover,out-of-bounds,[],1629618,,,1610612743,7,12,2025-04-10T02:21:00Z,480000,False,,,0,,J. Pickett bad pass out-of-bounds TURNOVER (1 TO),[1629618],1610612743.0,DEN,bad pass,,,Pickett,J. Pickett,,,,,Above the Break 3,24+ Left Center,,,,,,,,201246.0,1.0,,,,,,,,,,,
50,PT06M53.00S,2025-04-10T02:21:07.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,7,12,2025-04-10T02:21:07Z,490000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT06M37.00S,2025-04-10T02:24:37.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203897,32.802233902759525,55.63725490196079,1610612758,7,12,2025-04-10T02:25:24Z,500000,False,-28.0,256.0,1,left,MISS Z. LaVine 25' pullup 3PT,[203897],1610612758.0,SAC,pullup,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Center,25.73,Missed,,,,,,,,,,,,,,,,,,
