actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-10-25T02:11:33.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-10-25T02:11:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-10-25T02:11:36.3Z,1,REGULAR,jumpball,recovered,[],1628989,,,1610612758,0,0,2024-10-25T02:11:36Z,40000,False,,,0,,Jump Ball D. Sabonis vs. R. Gobert: Tip to K. Huerter,"[1628989, 1627734, 203497]",1610612758.0,SAC,startperiod,K. Huerter,1628989.0,Huerter,K. Huerter,Sabonis,1627734.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-10-25T02:11:56.2Z,1,REGULAR,foul,personal,['2freethrow'],1630183,,,1610612758,0,0,2024-10-25T02:12:03Z,70000,False,,,0,,J. McDaniels shooting personal FOUL (1 PF) (Sabonis 2 FT),"[1630183, 1627734]",1610612750.0,MIN,shooting,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,203593.0,1.0,0.0,Sabonis,1627734.0,,,,,,,,,,,,,,,
9,PT11M41.00S,2024-10-25T02:12:20.1Z,1,REGULAR,freethrow,1 of 2,[],1627734,,,1610612758,0,0,2024-10-25T02:12:20Z,90000,False,,,0,,MISS D. Sabonis Free Throw 1 of 2,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
10,PT11M41.00S,2024-10-25T02:12:20.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612758,0,0,2024-10-25T02:12:20Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M41.00S,2024-10-25T02:12:37.6Z,1,REGULAR,freethrow,2 of 2,[],1627734,,,1610612758,1,0,2024-10-25T02:12:37Z,110000,False,,,0,,D. Sabonis Free Throw 2 of 2 (1 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
12,PT11M31.00S,2024-10-25T02:12:49.1Z,1,REGULAR,turnover,lost ball,[],203944,,,1610612750,1,0,2024-10-25T02:12:58Z,120000,False,,,0,,J. Randle lost ball TURNOVER (1 TO),"[203944, 1628368]",1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,,,,,,,,,1.0,Fox,1628368.0,,,,,,,,,
13,PT11M31.00S,2024-10-25T02:12:49.1Z,1,REGULAR,steal,,[],1628368,,,1610612758,1,0,2024-10-25T02:12:51Z,130000,False,,,0,,D. Fox STEAL (1 STL),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
14,PT11M26.00S,2024-10-25T02:12:53.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201942,93.51182654402102,49.50980392156863,1610612758,3,0,2024-10-25T02:13:06Z,140000,False,-2.0,8.0,1,right,D. DeRozan running Layup (2 PTS) (D. Fox 1 AST),"[201942, 1628368]",1610612758.0,SAC,running,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,,,,0.89,D. Fox,1628368.0,1.0,,,,,
16,PT11M10.00S,2024-10-25T02:13:10.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,10.726018396846255,43.13725490196079,1610612750,3,0,2024-10-25T02:13:18Z,160000,False,34.0,48.0,1,left,MISS J. McDaniels fadeaway Shot,[1630183],1610612750.0,MIN,fadeaway,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,,,,5.92,,,,,,,,
17,PT11M08.00S,2024-10-25T02:13:12.1Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612758,3,0,2024-10-25T02:13:18Z,170000,False,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,16.0,,,,,,,,,1.0,1.0,0.0,,
18,PT10M58.00S,2024-10-25T02:13:21.0Z,1,REGULAR,3pt,Jump Shot,[],201942,93.51182654402102,3.9215686274509802,1610612758,3,0,2024-10-25T02:13:28Z,180000,False,-230.0,8.0,1,right,MISS D. DeRozan 3PT,[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,,,,23.06,,,,,,,,
19,PT10M56.00S,2024-10-25T02:13:23.5Z,1,REGULAR,rebound,offensive,[],201942,,,1610612758,3,0,2024-10-25T02:13:23Z,190000,False,,,0,,D. DeRozan REBOUND (Off:1 Def:0),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Left Corner 3,24+ Left,,,,,,,18.0,,,,,,,,,1.0,0.0,1.0,,
20,PT10M48.00S,2024-10-25T02:13:34.1Z,1,REGULAR,foul,personal,['2freethrow'],203944,,,1610612758,3,0,2024-10-25T02:13:46Z,200000,False,,,0,,J. Randle shooting personal FOUL (1 PF) (Sabonis 2 FT),"[203944, 1627734]",1610612750.0,MIN,shooting,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,1627529.0,1.0,0.0,Sabonis,1627734.0,,,,,,,,,,,,,,,
22,PT10M48.00S,2024-10-25T02:13:58.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1627734,,,1610612758,4,0,2024-10-25T02:13:58Z,220000,False,,,0,,D. Sabonis Free Throw 1 of 2 (2 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,Made,,2.0,,,,,,,,,,,,
23,PT10M48.00S,2024-10-25T02:14:16.6Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1627734,,,1610612758,5,0,2024-10-25T02:14:16Z,230000,False,,,0,,D. Sabonis Free Throw 2 of 2 (3 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,Made,,3.0,,,,,,,,,,,,
