actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-02-22T03:10:21.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-22T03:10:21Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-02-22T03:10:24.4Z,1,REGULAR,jumpball,recovered,[],1641764,,,1610612744,0,0,2025-02-22T03:10:24Z,40000,False,,,0,,Jump Ball D. Green vs. D. Sabonis: Tip to B. Podziemski,"[1641764, 203110, 1627734]",1610612744.0,GSW,startperiod,B. Podziemski,1641764.0,Podziemski,B. Podziemski,Green,203110.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-02-22T03:10:36.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,16.557161629434958,48.100490196078425,1610612744,0,0,2025-02-22T03:11:07Z,70000,False,9.0,103.0,1,left,MISS J. Butler III 10' Jump Shot,[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,In The Paint (Non-RA),8-16 Center,10.35,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2025-02-22T03:10:38.3Z,1,REGULAR,rebound,defensive,[],203897,,,1610612758,0,0,2025-02-22T03:11:07Z,80000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M43.00S,2025-02-22T03:10:42.6Z,1,REGULAR,turnover,lost ball,[],203897,,,1610612758,0,0,2025-02-22T03:12:08Z,90000,False,,,0,,Z. LaVine lost ball TURNOVER (1 TO),"[203897, 202710]",1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Butler III,202710.0,,,,,,,,,,,
10,PT11M43.00S,2025-02-22T03:10:42.6Z,1,REGULAR,steal,,[],202710,,,1610612744,0,0,2025-02-22T03:10:44Z,100000,False,,,0,,J. Butler III STEAL (1 STL),[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M37.00S,2025-02-22T03:10:46.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203110,30.962549277266753,33.82352941176471,1610612744,0,0,2025-02-22T03:11:47Z,110000,False,81.0,239.0,1,left,MISS D. Green 25' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Right Center,25.18,Missed,,,,,,,,,,,,,,,,,,
12,PT11M35.00S,2025-02-22T03:10:48.9Z,1,REGULAR,rebound,offensive,[],203110,,,1610612744,0,0,2025-02-22T03:11:47Z,120000,False,,,0,,D. Green REBOUND (Off:1 Def:0),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Right Center,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT11M33.00S,2025-02-22T03:10:52.7Z,1,REGULAR,turnover,out-of-bounds,[],1630541,,,1610612744,0,0,2025-02-22T03:12:07Z,130000,False,,,0,,M. Moody step out-of-bounds TURNOVER (1 TO),[1630541],1610612744.0,GSW,step,,,Moody,M. Moody,,,,,Left Corner 3,24+ Left,,,,,,,1.0,,,202037.0,,,,,,,,,,
14,PT11M14.00S,2025-02-22T03:11:20.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628370,95.13797634691196,42.24877450980392,1610612758,0,0,2025-02-22T03:12:35Z,140000,False,-39.0,-7.0,1,right,MISS M. Monk driving reverse Layup,[1628370],1610612758.0,SAC,driving reverse,,,Monk,M. Monk,,,,,Restricted Area,0-8 Center,3.94,Missed,,,,,,,,,,,,,,,,,,
