actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-07T03:10:22.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-07T03:10:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-01-07T03:10:28.4Z,1,REGULAR,jumpball,recovered,[],1629312,,,1610612748,0,0,2025-01-07T03:10:28Z,40000,False,,,0,,Jump Ball B. Adebayo vs. D. Sabonis: Tip to H. Highsmith,"[1629312, 1628389, 1627734]",1610612748.0,MIA,startperiod,H. Highsmith,1629312.0,Highsmith,H. Highsmith,Adebayo,1628389.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
10,PT11M46.00S,2025-01-07T03:10:50.1Z,1,REGULAR,turnover,out-of-bounds,[],1631170,,,1610612748,0,0,2025-01-07T03:16:53Z,75000,False,,,0,,J. Jaquez Jr. bad pass out-of-bounds TURNOVER (1 TO),[1631170],1610612748.0,MIA,bad pass,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Above the Break 3,24+ Left Center,1830.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2025-01-07T03:11:01.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,0,0,2025-01-07T03:13:44Z,80000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M28.00S,2025-01-07T03:14:03.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628370,6.521024967148489,39.21568627450981,1610612758,0,0,2025-01-07T03:14:24Z,100000,False,54.0,9.0,1,left,MISS M. Monk driving finger roll Layup,[1628370],1610612758.0,SAC,driving finger roll,,,Monk,M. Monk,,,,,In The Paint (Non-RA),0-8 Center,,,5.46,Missed,,,,,,,,,,,,,,,,
12,PT11M25.00S,2025-01-07T03:14:06.1Z,1,REGULAR,rebound,defensive,[],1631170,,,1610612748,0,0,2025-01-07T03:14:08Z,110000,False,,,0,,J. Jaquez Jr. REBOUND (Off:0 Def:1),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,
13,PT11M14.00S,2025-01-07T03:14:17.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631170,87.07293035479631,49.26470588235294,1610612748,0,0,2025-01-07T03:14:59Z,120000,False,-4.0,69.0,1,right,MISS J. Jaquez Jr. 6' driving floating Shot,[1631170],1610612748.0,MIA,driving floating,,,Jaquez Jr.,J. Jaquez Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,6.91,Missed,,,,,,,,,,,,,,,,
14,PT11M11.00S,2025-01-07T03:14:20.1Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,0,2025-01-07T03:14:22Z,130000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,
15,PT11M00.00S,2025-01-07T03:14:30.5Z,1,REGULAR,2pt,Jump Shot,[],201942,20.844283837056505,65.19607843137256,1610612758,0,0,2025-01-07T03:15:16Z,140000,False,-76.0,143.0,1,left,MISS D. DeRozan 16' turnaround Shot,[201942],1610612758.0,SAC,turnaround,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left Center,,,16.23,Missed,,,,,,,,,,,,,,,,
16,PT10M58.00S,2025-01-07T03:14:32.5Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,0,0,2025-01-07T03:14:36Z,150000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Mid-Range,16-24 Left Center,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,
