actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
2,PT12M00.00S,2024-12-20T03:10:17.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-20T03:10:17Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2024-12-20T03:10:22.7Z,1,REGULAR,jumpball,recovered,[],1629060,,,1610612747,0,0,2024-12-20T03:10:22Z,40000,False,,,0,,Jump Ball A. Davis vs. D. Sabonis: Tip to R. Hachimura,"[1629060, 203076, 1627734]",1610612747.0,LAL,startperiod,R. Hachimura,1629060.0,Hachimura,R. Hachimura,Davis,203076.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-12-20T03:10:32.7Z,1,REGULAR,3pt,Jump Shot,[],1630559,66.83639947437582,61.274509803921575,1610612747,0,3,2024-12-20T03:11:06Z,70000,False,56.0,259.0,1,right,A. Reaves 26' 3PT pullup (3 PTS) (A. Davis 1 AST),"[1630559, 203076]",1610612747.0,LAL,pullup,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Center,26.53,Made,3.0,A. Davis,203076.0,1.0,,,,,,,,,,,,,,
9,PT11M31.00S,2024-12-20T03:10:46.1Z,1,REGULAR,turnover,bad pass,[],1627734,,,1610612758,0,3,2024-12-20T03:11:34Z,90000,False,,,0,,D. Sabonis bad pass TURNOVER (1 TO),"[1627734, 203076]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,16-24 Right Center,,,,,,,1.0,Davis,203076.0,,,,,,,,,,,
10,PT11M31.00S,2024-12-20T03:10:46.1Z,1,REGULAR,steal,,[],203076,,,1610612747,0,3,2024-12-20T03:10:48Z,100000,False,,,0,,A. Davis STEAL (1 STL),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
11,PT11M24.00S,2024-12-20T03:10:55.2Z,1,REGULAR,foul,personal,['2freethrow'],1628368,,,1610612747,0,3,2024-12-20T03:11:30Z,110000,False,,,0,,D. Fox shooting personal FOUL (1 PF) (Christie 2 FT),"[1628368, 1631108]",1610612758.0,SAC,shooting,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,204058.0,1.0,0.0,Christie,1631108.0,,,,,,
13,PT11M24.00S,2024-12-20T03:11:31.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1631108,,,1610612747,0,4,2024-12-20T03:11:31Z,130000,False,,,0,,M. Christie Free Throw 1 of 2 (1 PTS),[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
14,PT11M24.00S,2024-12-20T03:11:41.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1631108,,,1610612747,0,5,2024-12-20T03:11:41Z,140000,False,,,0,,M. Christie Free Throw 2 of 2 (2 PTS),[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
16,PT11M00.00S,2024-12-20T03:12:20.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201942,11.908672798948752,37.254901960784316,1610612758,0,5,2024-12-20T03:12:39Z,160000,False,64.0,59.0,1,left,MISS D. DeRozan 8' driving Layup - blocked,"[201942, 203076]",1610612758.0,SAC,driving,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),8-16 Right,8.71,Missed,,,,,,,,,,,,,Davis,203076.0,,,,
17,PT11M00.00S,2024-12-20T03:12:20.9Z,1,REGULAR,block,,[],203076,,,1610612758,0,5,2024-12-20T03:12:23Z,170000,False,,,0,,A. Davis BLOCK (1 BLK),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
