actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-01-17T03:05:27.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-17T03:05:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-17T03:05:30.6Z,1,REGULAR,jumpball,recovered,[],1641708,,,1610612745,0,0,2025-01-17T03:05:30Z,40000,False,,,0,,Jump Ball J. Green vs. D. Sabonis: Tip to A. Thompson,"[1641708, 201145, 1627734]",1610612745.0,HOU,startperiod,A. Thompson,1641708.0,Thompson,A. Thompson,Green,201145.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-01-17T03:05:47.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,16.770696452036795,50.73529411764706,1610612745,0,0,2025-01-17T03:09:40Z,70000,False,-4.0,105.0,1,left,MISS A. Sengun 10' Hook,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,10.52,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2025-01-17T03:05:49.2Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,0,2025-01-17T03:09:40Z,80000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M34.00S,2025-01-17T03:05:55.9Z,1,REGULAR,turnover,out-of-bounds,[],1628370,,,1610612758,0,0,2025-01-17T03:08:39Z,90000,False,,,0,,M. Monk lost ball out-of-bounds TURNOVER (1 TO),[1628370],1610612758.0,SAC,lost ball,,,Monk,M. Monk,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,201639.0,1.0,,,,,,,,,,,,
10,PT11M20.00S,2025-01-17T03:06:16.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630224,30.831143232588698,79.65686274509804,1610612745,0,0,2025-01-17T03:10:54Z,100000,False,-148.0,237.0,1,left,MISS J. Green 27' step back 3PT,[1630224],1610612745.0,HOU,step back,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,27.98,Missed,,,,,,,,,,,,,,,,,,
11,PT11M17.00S,2025-01-17T03:06:19.0Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,0,2025-01-17T03:10:54Z,110000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Left Center,,,10.0,2.0,2.0,0.0,,,,,,,,,,,,,,
12,PT11M06.00S,2025-01-17T03:06:26.7Z,1,REGULAR,turnover,lost ball,[],1627734,,,1610612758,0,0,2025-01-17T03:08:02Z,120000,False,,,0,,D. Sabonis lost ball TURNOVER (1 TO),"[1627734, 1628415]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,Brooks,1628415.0,,,,,,,,,,
13,PT11M06.00S,2025-01-17T03:06:26.7Z,1,REGULAR,steal,,[],1628415,,,1610612745,0,0,2025-01-17T03:26:39Z,130000,False,,,0,,D. Brooks STEAL (1 STL),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
14,PT10M56.00S,2025-01-17T03:06:39.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630578,23.209592641261498,75.49019607843137,1610612745,0,0,2025-01-17T03:12:28Z,140000,False,-127.0,166.0,1,left,MISS A. Sengun 20' Jump Shot,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Left Center,20.91,Missed,,,,,,,,,,,,,,,,,,
