actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-20T02:10:14.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-20T02:10:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-20T02:10:17.2Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,0,2025-03-20T02:10:17Z,40000,False,,,0,,Jump Ball J. Allen vs. J. Valančiūnas: Tip to E. Mobley,"[1630596, 1628386, 202685]",1610612739.0,CLE,startperiod,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Valančiūnas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2025-03-20T02:10:36.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630596,86.64586070959264,44.85294117647059,1610612739,0,2,2025-03-20T02:10:55Z,70000,False,-26.0,73.0,1,right,E. Mobley 7' turnaround Hook (2 PTS),[1630596],1610612739.0,CLE,turnaround,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,7.74,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2025-03-20T02:10:52.9Z,1,REGULAR,foul,offensive,[],202685,,,1610612758,0,2,2025-03-20T02:11:05Z,80000,False,,,0,,J. Valančiūnas offensive FOUL (1 PF),"[202685, 1628378]",1610612758.0,SAC,,,,Valančiūnas,J. Valančiūnas,,,,,In The Paint (Non-RA),8-16 Left,,,,2003.0,1.0,0.0,Mitchell,1628378.0,,,,,,,,,,,,
10,PT11M25.00S,2025-03-20T02:10:52.9Z,1,REGULAR,turnover,offensive foul,[],202685,,,1610612758,0,2,2025-03-20T02:11:05Z,100000,False,,,0,,J. Valančiūnas offensive foul TURNOVER (1 TO),[202685],1610612758.0,SAC,,,,Valančiūnas,J. Valančiūnas,,,,,In The Paint (Non-RA),8-16 Left,,,,2003.0,,,,,1.0,,,,,,,,,,,
11,PT11M13.00S,2025-03-20T02:11:15.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630596,91.19579500657031,32.8201593137255,1610612739,0,2,2025-03-20T02:11:22Z,110000,False,-86.0,30.0,1,right,MISS E. Mobley 9' driving bank Shot,[1630596],1610612739.0,CLE,driving bank,,,Mobley,E. Mobley,,,,,Mid-Range,8-16 Left,9.11,Missed,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2025-03-20T02:11:17.6Z,1,REGULAR,rebound,defensive,[],202685,,,1610612758,0,2,2025-03-20T02:11:22Z,120000,False,,,0,,J. Valančiūnas REBOUND (Off:0 Def:1),[202685],1610612758.0,SAC,,,,Valančiūnas,J. Valančiūnas,,,,,Mid-Range,8-16 Left,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,
13,PT10M52.00S,2025-03-20T02:11:36.5Z,1,REGULAR,2pt,Jump Shot,[],1628370,13.058475689881732,74.50980392156863,1610612758,0,2,2025-03-20T02:11:41Z,130000,False,-123.0,70.0,1,left,MISS M. Monk 14' fadeaway Shot,[1628370],1610612758.0,SAC,fadeaway,,,Monk,M. Monk,,,,,Mid-Range,8-16 Left,14.12,Missed,,,,,,,,,,,,,,,,,,
14,PT10M48.00S,2025-03-20T02:11:40.5Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,0,2,2025-03-20T02:11:41Z,140000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Left,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,
15,PT10M45.00S,2025-03-20T02:11:43.8Z,1,REGULAR,turnover,out-of-bounds,[],1628378,,,1610612739,0,2,2025-03-20T02:11:58Z,150000,False,,,0,,D. Mitchell bad pass out-of-bounds TURNOVER (1 TO),[1628378],1610612739.0,CLE,bad pass,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,,,,1627524.0,,,,,1.0,,,,,,,,,,,
