actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-12-09T02:10:46.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-09T02:10:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-12-09T02:10:49.9Z,1,REGULAR,jumpball,recovered,[],1641718,,,1610612762,0,0,2024-12-09T02:10:49Z,40000,False,,,0,,Jump Ball W. Kessler vs. D. Sabonis: Tip to K. George,"[1641718, 1631117, 1627734]",1610612762.0,UTA,startperiod,K. George,1641718.0,George,K. George,Kessler,1631117.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-12-09T02:11:04.3Z,1,REGULAR,turnover,out-of-bounds,[],1628374,,,1610612762,0,0,2024-12-09T02:11:23Z,70000,False,,,0,,L. Markkanen bad pass out-of-bounds TURNOVER (1 TO),[1628374],1610612762.0,UTA,bad pass,,,Markkanen,L. Markkanen,,,,,Mid-Range,8-16 Right,202027.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2024-12-09T02:11:24.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628370,69.20170827858082,28.186274509803923,1610612758,0,0,2024-12-09T02:11:30Z,80000,False,-109.0,237.0,1,right,MISS M. Monk 26' 3PT,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,Above the Break 3,24+ Left Center,,,26.09,Missed,,,,,,,,,,,,,,,,
9,PT11M29.00S,2024-12-09T02:11:26.6Z,1,REGULAR,rebound,defensive,[],1629012,,,1610612762,0,0,2024-12-09T02:11:56Z,90000,False,,,0,,C. Sexton REBOUND (Off:0 Def:1),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Left Center,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M17.00S,2024-12-09T02:11:40.4Z,1,REGULAR,3pt,Jump Shot,[],1628374,8.09789750328515,4.166666666666666,1610612762,0,0,2024-12-09T02:12:12Z,100000,False,229.0,24.0,1,left,MISS L. Markkanen 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Right Corner 3,24+ Right,,,23.04,Missed,,,,,,,,,,,,,,,,
11,PT11M15.00S,2024-12-09T02:11:42.4Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,0,2024-12-09T02:12:12Z,110000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Right Corner 3,24+ Right,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT11M06.00S,2024-12-09T02:11:49.9Z,1,REGULAR,2pt,Jump Shot,[],1628368,72.88107752956637,47.794117647058826,1610612758,2,0,2024-12-09T02:11:54Z,120000,False,-11.0,202.0,1,right,D. Fox 20' pullup Jump Shot (2 PTS),[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,Mid-Range,16-24 Center,,,20.27,Made,,,,,2.0,,,,,,,,,,,
13,PT10M51.00S,2024-12-09T02:12:04.5Z,1,REGULAR,turnover,bad pass,[],1641718,,,1610612762,2,0,2024-12-09T02:12:09Z,130000,False,,,0,,K. George bad pass TURNOVER (1 TO),"[1641718, 1627734]",1610612762.0,UTA,,,,George,K. George,,,,,Restricted Area,0-8 Center,,1.0,,,,,,,,Sabonis,1627734.0,,,,,,,,,
14,PT10M51.00S,2024-12-09T02:12:04.5Z,1,REGULAR,steal,,[],1627734,,,1610612758,2,0,2024-12-09T02:14:57Z,140000,False,,,0,,D. Sabonis STEAL (1 STL),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
