actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2025-01-20T02:10:30.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-20T02:10:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2025-01-20T02:10:35.6Z,1,REGULAR,jumpball,recovered,[],1642267,,,1610612764,0,0,2025-01-20T02:10:35Z,40000,False,,,0,,Jump Ball A. Sarr vs. D. Sabonis: Tip to C. Carrington,"[1642267, 1642259, 1627734]",1610612764.0,WAS,startperiod,C. Carrington,1642267.0,Carrington,C. Carrington,Sarr,1642259.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2025-01-20T02:10:50.9Z,1,REGULAR,3pt,Jump Shot,[],1628398,67.62483574244416,69.11764705882352,1610612764,0,0,2025-01-20T02:11:06Z,70000,False,96.0,252.0,1,right,MISS K. Kuzma 26' step back 3PT,[1628398],1610612764.0,WAS,step back,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,26.93,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2025-01-20T02:10:52.9Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,0,0,2025-01-20T02:10:55Z,80000,False,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2025-01-20T02:10:56.9Z,1,REGULAR,turnover,bad pass,[],1628368,,,1610612758,0,0,2025-01-20T02:11:03Z,90000,False,,,0,,D. Fox bad pass TURNOVER (1 TO),"[1628368, 1629673]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Poole,1629673.0,,,,,,,,,,,
10,PT11M33.00S,2025-01-20T02:10:56.9Z,1,REGULAR,steal,,[],1629673,,,1610612764,0,0,2025-01-20T02:10:59Z,100000,False,,,0,,J. Poole STEAL (1 STL),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M27.00S,2025-01-20T02:11:02.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629673,69.46452036793693,25.735294117647058,1610612764,0,3,2025-01-20T02:11:08Z,110000,False,-121.0,235.0,1,right,J. Poole 26' 3PT running pullup (3 PTS),[1629673],1610612764.0,WAS,running pullup,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,26.4,Made,,,,,,,,3.0,,,,,,,,,,
12,PT11M11.00S,2025-01-20T02:11:17.8Z,1,REGULAR,3pt,Jump Shot,[],1631099,31.882391590013142,25.98039215686275,1610612758,0,3,2025-01-20T02:11:23Z,120000,False,120.0,247.0,1,left,MISS K. Murray 27' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,27.48,Missed,,,,,,,,,,,,,,,,,,
13,PT11M08.00S,2025-01-20T02:11:20.8Z,1,REGULAR,rebound,defensive,[],1642267,,,1610612764,0,3,2025-01-20T02:11:23Z,130000,False,,,0,,C. Carrington REBOUND (Off:0 Def:1),[1642267],1610612764.0,WAS,,,,Carrington,C. Carrington,,,,,Above the Break 3,24+ Right Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M59.00S,2025-01-20T02:11:30.8Z,1,REGULAR,3pt,Jump Shot,[],1629673,92.46057818659659,96.32352941176471,1610612764,0,3,2025-01-20T02:11:35Z,140000,False,232.0,18.0,1,right,MISS J. Poole 3PT - blocked,"[1629673, 1628368]",1610612764.0,WAS,,,,Poole,J. Poole,,,,,Right Corner 3,24+ Right,23.23,Missed,,,,,,,,,Fox,1628368.0,,,,,,,,
15,PT10M59.00S,2025-01-20T02:11:30.8Z,1,REGULAR,block,,[],1628368,,,1610612764,0,3,2025-01-20T02:11:33Z,150000,False,,,0,,D. Fox BLOCK (1 BLK),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,,,,,,
16,PT10M59.00S,2025-01-20T02:11:30.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,0,3,2025-01-20T02:11:35Z,160000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Right Corner 3,24+ Right,,,14.0,,,,,,,,,,,,,,,,,
18,PT10M47.00S,2025-01-20T02:11:54.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628398,73.66951379763469,85.29411764705883,1610612764,0,6,2025-01-20T02:12:00Z,180000,False,176.0,195.0,1,right,K. Kuzma 26' 3PT step back (3 PTS),[1628398],1610612764.0,WAS,step back,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,26.3,Made,,,,,,,,3.0,,,,,,,,,,
19,PT10M34.00S,2025-01-20T02:12:07.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627734,6.389618922470433,57.107843137254896,1610612758,2,6,2025-01-20T02:12:11Z,190000,False,-36.0,8.0,1,left,D. Sabonis driving DUNK (2 PTS),[1627734],1610612758.0,SAC,driving,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,3.63,Made,,,,,,,,2.0,,,,,,,,,,
20,PT10M22.00S,2025-01-20T02:12:20.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642259,92.72339027595268,43.38235294117647,1610612764,2,6,2025-01-20T02:12:51Z,200000,False,-33.0,16.0,1,right,MISS A. Sarr turnaround Hook,[1642259],1610612764.0,WAS,turnaround,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,3.67,Missed,,,,,,,,,,,,,,,,,,
21,PT10M18.00S,2025-01-20T02:12:24.5Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,2,6,2025-01-20T02:12:26Z,210000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT10M15.00S,2025-01-20T02:12:27.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627734,7.835085413929041,53.431372549019606,1610612758,4,6,2025-01-20T02:12:32Z,220000,False,-17.0,21.0,1,left,D. Sabonis running Layup (4 PTS),[1627734],1610612758.0,SAC,running,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,2.72,Made,,,,,,,,4.0,,,,,,,,,,
23,PT09M50.00S,2025-01-20T02:12:51.8Z,1,REGULAR,2pt,Jump Shot,[],1642267,94.30026281208936,69.6078431372549,1610612764,4,6,2025-01-20T02:12:56Z,230000,False,98.0,1.0,1,right,MISS C. Carrington 9' fadeaway Shot,[1642267],1610612764.0,WAS,fadeaway,,,Carrington,C. Carrington,,,,,Mid-Range,8-16 Right,9.8,Missed,,,,,,,,,,,,,,,,,,
