actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-25T02:10:12.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-25T02:10:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-11-25T02:10:17.0Z,1,REGULAR,jumpball,recovered,[],1630533,,,1610612751,0,0,2024-11-25T02:10:17Z,40000,False,,,0,,Jump Ball N. Claxton vs. D. Sabonis: Tip to Z. Williams,"[1630533, 1629651, 1627734]",1610612751.0,BKN,startperiod,Z. Williams,1630533.0,Williams,Z. Williams,Claxton,1629651.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2024-11-25T02:10:37.0Z,1,REGULAR,foul,personal,['2freethrow'],1628989,,,1610612751,0,0,2024-11-25T02:10:46Z,70000,False,,,0,,K. Huerter shooting personal FOUL (1 PF) (Thomas 2 FT),"[1628989, 1630560]",1610612758.0,SAC,shooting,,,Huerter,K. Huerter,,,,,Mid-Range,8-16 Left,1627526.0,1.0,0.0,Thomas,1630560.0,,,,,,,,,,,,,,,
9,PT11M38.00S,2024-11-25T02:10:59.8Z,1,REGULAR,freethrow,1 of 2,[],1630560,,,1610612751,0,1,2024-11-25T02:10:59Z,90000,False,,,0,,C. Thomas Free Throw 1 of 2 (1 PTS),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M38.00S,2024-11-25T02:11:16.0Z,1,REGULAR,freethrow,2 of 2,[],1630560,,,1610612751,0,2,2024-11-25T02:11:16Z,100000,False,,,0,,C. Thomas Free Throw 2 of 2 (2 PTS),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M16.00S,2024-11-25T02:11:39.1Z,1,REGULAR,turnover,bad pass,[],1628989,,,1610612758,0,2,2024-11-25T02:11:46Z,110000,False,,,0,,K. Huerter bad pass TURNOVER (1 TO),"[1628989, 1627732]",1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,,,,,,,,1.0,Simmons,1627732.0,,,,,,,,,,
12,PT11M16.00S,2024-11-25T02:11:39.1Z,1,REGULAR,steal,,[],1627732,,,1610612751,0,2,2024-11-25T02:11:43Z,120000,False,,,0,,B. Simmons STEAL (1 STL),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M00.00S,2024-11-25T02:11:55.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630560,74.98357424441524,86.27450980392157,1610612751,0,5,2024-11-25T02:12:10Z,130000,False,181.0,183.0,1,right,C. Thomas 25' 3PT  (5 PTS) (C. Johnson 1 AST),"[1630560, 1629661]",1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Right Center,,,,,,Made,5.0,,,,25.75,C. Johnson,1629661.0,1.0,,,,,,
15,PT10M51.00S,2024-11-25T02:12:06.2Z,1,REGULAR,foul,personal,['2freethrow'],1630533,,,1610612758,0,5,2024-11-25T02:12:14Z,150000,False,,,0,,Z. Williams shooting personal FOUL (1 PF) (Fox 2 FT),"[1630533, 1628368]",1610612751.0,BKN,shooting,,,Williams,Z. Williams,,,,,In The Paint (Non-RA),8-16 Center,1627526.0,1.0,0.0,Fox,1628368.0,,,,,,,,,,,,,,,
17,PT10M51.00S,2024-11-25T02:12:28.3Z,1,REGULAR,freethrow,1 of 2,[],1628368,,,1610612758,1,5,2024-11-25T02:12:28Z,170000,False,,,0,,D. Fox Free Throw 1 of 2 (1 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
