actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-02-09T03:10:12.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-09T03:10:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-02-09T03:10:16.4Z,1,REGULAR,jumpball,recovered,[],203468,,,1610612740,0,0,2025-02-09T03:10:16Z,40000,False,,,0,,Jump Ball Y. Missi vs. D. Sabonis: Tip to C. McCollum,"[203468, 1642274, 1627734]",1610612740.0,NOP,startperiod,C. McCollum,203468.0,McCollum,C. McCollum,Missi,1642274.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-02-09T03:10:28.3Z,1,REGULAR,violation,kicked ball,[],1631099,,,1610612740,0,0,2025-02-09T03:10:41Z,70000,False,,,0,,K. Murray kicked ball VIOLATION,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,1627524.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2025-02-09T03:10:55.0Z,1,REGULAR,2pt,Jump Shot,[],203468,5.863994743758213,24.019607843137255,1610612740,0,0,2025-02-09T03:11:07Z,80000,False,130.0,3.0,1,left,MISS C. McCollum 12' step back Shot,[203468],1610612740.0,NOP,step back,,,McCollum,C. McCollum,,,,,,Mid-Range,8-16 Right,12.99,Missed,,,,,,,,,,,,,,,,,
9,PT11M32.00S,2025-02-09T03:10:58.0Z,1,REGULAR,rebound,offensive,[],1629627,,,1610612740,0,0,2025-02-09T03:11:04Z,90000,False,,,0,,Z. Williamson REBOUND (Off:1 Def:0),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,Mid-Range,8-16 Right,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M31.00S,2025-02-09T03:10:58.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629627,5.732588699080158,52.94117647058824,1610612740,0,2,2025-02-09T03:11:13Z,100000,False,-15.0,1.0,1,left,Z. Williamson putback Layup (2 PTS),[1629627],1610612740.0,NOP,putback,,,Williamson,Z. Williamson,,,,,,Restricted Area,0-8 Center,1.48,Made,,,,,2.0,,,,,,,,,,,,
11,PT11M17.00S,2025-02-09T03:11:15.9Z,1,REGULAR,turnover,bad pass,[],201942,,,1610612758,0,2,2025-02-09T03:11:44Z,110000,False,,,0,,D. DeRozan bad pass TURNOVER (1 TO),"[201942, 1630631]",1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,Restricted Area,0-8 Center,,,,,,,,1.0,Alvarado,1630631.0,,,,,,,,,
12,PT11M17.00S,2025-02-09T03:11:15.9Z,1,REGULAR,steal,,[],1630631,,,1610612740,0,2,2025-02-09T03:11:18Z,120000,False,,,0,,J. Alvarado STEAL (1 STL),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
13,PT11M15.00S,2025-02-09T03:11:19.7Z,1,REGULAR,turnover,bad pass,[],1630631,,,1610612740,0,2,2025-02-09T03:11:47Z,130000,False,,,0,,J. Alvarado bad pass TURNOVER (1 TO),"[1630631, 1631099]",1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,Murray,1631099.0,,,,,,,,,
14,PT11M15.00S,2025-02-09T03:11:19.7Z,1,REGULAR,steal,,[],1631099,,,1610612758,0,2,2025-02-09T03:11:21Z,140000,False,,,0,,K. Murray STEAL (1 STL),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
