actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2024-12-22T23:10:42.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-22T23:10:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2024-12-22T23:10:59.4Z,1,REGULAR,jumpball,recovered,[],1630169,,,1610612754,0,0,2024-12-22T23:10:59Z,40000,False,,,0,,Jump Ball M. Turner vs. D. Sabonis: Tip to T. Haliburton,"[1630169, 1626167, 1627734]",1610612754.0,IND,startperiod,T. Haliburton,1630169.0,Haliburton,T. Haliburton,Turner,1626167.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M32.00S,2024-12-22T23:11:21.8Z,1,REGULAR,3pt,Jump Shot,[],1627783,33.327858081471746,52.69607843137255,1610612754,0,0,2024-12-22T23:11:30Z,70000,False,-13.0,261.0,1,left,MISS P. Siakam 26' 3PT,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,26.11,Missed,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2024-12-22T23:11:24.3Z,1,REGULAR,rebound,offensive,[],1630169,,,1610612754,0,0,2024-12-22T23:11:24Z,80000,False,,,0,,T. Haliburton REBOUND (Off:1 Def:0),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M17.00S,2024-12-22T23:11:37.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627783,17.821944809461236,3.1862745098039214,1610612754,0,0,2024-12-22T23:11:43Z,90000,False,234.0,115.0,1,left,MISS P. Siakam 26' 3PT,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,26.08,Missed,,,,,,,,,,,,,,,,,,
10,PT11M14.00S,2024-12-22T23:11:40.1Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,0,2024-12-22T23:11:43Z,100000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT10M53.00S,2024-12-22T23:12:03.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,83.26215505913272,45.34313725490196,1610612758,0,0,2024-12-23T00:09:00Z,110000,False,-23.0,105.0,1,right,MISS D. Fox 10' driving floating Shot - blocked,"[1628368, 1626167]",1610612758.0,SAC,driving floating,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Center,10.74,Missed,,,,,Turner,1626167.0,,,,,,,,,,,,
12,PT10M53.00S,2024-12-22T23:12:03.8Z,1,REGULAR,block,,[],1626167,,,1610612758,0,0,2024-12-22T23:12:07Z,120000,False,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
13,PT10M52.00S,2024-12-22T23:12:04.8Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,0,0,2024-12-23T00:09:00Z,130000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),8-16 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M47.00S,2024-12-22T23:12:13.9Z,1,REGULAR,foul,personal,['2freethrow'],201942,,,1610612754,0,0,2024-12-22T23:12:31Z,140000,False,,,0,,D. DeRozan shooting personal FOUL (1 PF) (Siakam 2 FT),"[201942, 1627783]",1610612758.0,SAC,shooting,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,,,,,,,,,203591.0,1.0,0.0,Siakam,1627783.0,,,,,,,
16,PT10M47.00S,2024-12-22T23:12:36.7Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1627783,,,1610612754,0,1,2024-12-22T23:12:36Z,160000,False,,,0,,P. Siakam Free Throw 1 of 2 (1 PTS),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
17,PT10M47.00S,2024-12-22T23:12:36.7Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1627783,,,1610612754,0,1,2024-12-22T23:13:00Z,170000,False,,,0,,MISS P. Siakam Free Throw 2 of 2,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
18,PT10M44.00S,2024-12-22T23:12:39.7Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,1,2024-12-22T23:13:00Z,180000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,17.0,2.0,2.0,0.0,,,,,,,,,,,,,,
19,PT10M36.00S,2024-12-22T23:13:05.5Z,1,REGULAR,turnover,bad pass,[],1628370,,,1610612758,0,1,2024-12-22T23:13:22Z,190000,False,,,0,,M. Monk bad pass TURNOVER (1 TO),"[1628370, 1626167]",1610612758.0,SAC,,,,Monk,M. Monk,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,1.0,Turner,1626167.0,,,
20,PT10M36.00S,2024-12-22T23:13:05.5Z,1,REGULAR,steal,,[],1626167,,,1610612754,0,1,2024-12-22T23:21:22Z,200000,False,,,0,,M. Turner STEAL (1 STL),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
21,PT10M31.00S,2024-12-22T23:13:10.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627783,12.959921156373195,49.754901960784316,1610612754,0,1,2024-12-22T23:19:02Z,210000,False,1.0,69.0,1,left,MISS P. Siakam 6' running Layup - blocked,"[1627783, 1628370]",1610612754.0,IND,running,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,6.93,Missed,,,,,Monk,1628370.0,,,,,,,,,,,,
22,PT10M31.00S,2024-12-22T23:13:10.2Z,1,REGULAR,block,,[],1628370,,,1610612754,0,1,2024-12-22T23:13:14Z,220000,False,,,0,,M. Monk BLOCK (1 BLK),[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
