actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-25T02:10:24.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-25T02:10:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-03-25T02:10:30.0Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2025-03-25T02:10:30Z,40000,False,,,0,,Jump Ball K. Porziņģis vs. D. Sabonis: Tip to D. White,"[1628401, 204001, 1627734]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Porziņģis,204001.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2025-03-25T02:10:41.5Z,1,REGULAR,foul,personal,[],1627734,,,1610612738,0,0,2025-03-25T02:11:11Z,70000,False,,,0,,D. Sabonis personal FOUL (1 PF),"[1627734, 204001]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Right,204058.0,1.0,0.0,Porziņģis,204001.0,,,,,,,,,,,,,,,
9,PT11M45.00S,2025-03-25T02:11:01.0Z,1,REGULAR,3pt,Jump Shot,[],201950,66.5735873850197,38.23529411764706,1610612738,0,3,2025-03-25T02:11:06Z,90000,False,-59.0,262.0,1,right,J. Holiday 26' 3PT  (3 PTS) (J. Tatum 1 AST),"[201950, 1628369]",1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Center,,,,,,26.82,Made,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,
11,PT11M30.00S,2025-03-25T02:11:15.8Z,1,REGULAR,2pt,Jump Shot,[],201942,16.63929040735874,32.59803921568628,1610612758,0,3,2025-03-25T02:11:22Z,110000,False,87.0,104.0,1,left,MISS D. DeRozan 13' pullup Shot,[201942],1610612758.0,SAC,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Right,,,,,,13.55,Missed,,,,,,,,,,,,,
12,PT11M27.00S,2025-03-25T02:11:18.8Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,0,3,2025-03-25T02:11:22Z,120000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,
13,PT11M22.00S,2025-03-25T02:11:25.8Z,1,REGULAR,foul,personal,[],1631165,,,1610612738,0,3,2025-03-25T02:11:39Z,130000,False,,,0,,K. Ellis personal FOUL (1 PF),"[1631165, 1627759]",1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Restricted Area,0-8 Center,1626301.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,,
15,PT11M14.00S,2025-03-25T02:11:46.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,88.64980289093299,49.01960784313725,1610612738,0,5,2025-03-25T02:11:56Z,150000,False,-5.0,54.0,1,right,J. Brown Layup (2 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,5.44,Made,2.0,,,,,,,,,,,,
16,PT11M02.00S,2025-03-25T02:11:58.4Z,1,REGULAR,3pt,Jump Shot,[],1631099,28.728646517739815,79.90196078431373,1610612758,3,5,2025-03-25T02:12:05Z,160000,False,-150.0,218.0,1,left,K. Murray 26' 3PT  (3 PTS) (Z. LaVine 1 AST),"[1631099, 203897]",1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,,,,,,26.39,Made,3.0,Z. LaVine,203897.0,1.0,,,,,,,,,
18,PT10M51.00S,2025-03-25T02:12:09.4Z,1,REGULAR,3pt,Jump Shot,[],201950,69.20170827858082,13.725490196078432,1610612738,3,5,2025-03-25T02:12:14Z,180000,False,-181.0,237.0,1,right,MISS J. Holiday 29' pullup 3PT,[201950],1610612738.0,BOS,pullup,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Left Center,,,,,,29.85,Missed,,,,,,,,,,,,,
