actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-10-29T02:10:24.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-10-29T02:10:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M52.00S,2024-10-29T02:10:30.8Z,1,REGULAR,jumpball,recovered,[],1641739,,,1610612757,0,0,2024-10-29T02:10:30Z,40000,False,,,0,,Jump Ball D. Ayton vs. D. Sabonis: Tip to T. Camara,"[1641739, 1629028, 1627734]",1610612757.0,POR,startperiod,T. Camara,1641739.0,Camara,T. Camara,Ayton,1629028.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-10-29T02:10:39.4Z,1,REGULAR,3pt,Jump Shot,[],1629014,76.2976346911958,87.5,1610612757,0,0,2024-10-29T02:10:47Z,70000,False,188.0,170.0,1,right,MISS A. Simons 25' 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Right Center,25.33,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2024-10-29T02:10:42.4Z,1,REGULAR,rebound,defensive,[],201942,,,1610612758,0,0,2024-10-29T02:10:47Z,80000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2024-10-29T02:11:01.4Z,1,REGULAR,turnover,lost ball,[],1631099,,,1610612758,0,0,2024-10-29T02:11:08Z,90000,False,,,0,,K. Murray lost ball TURNOVER (1 TO),"[1631099, 203924]",1610612758.0,SAC,,,,Murray,K. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Grant,203924.0,,,,,,,,,,,
10,PT11M22.00S,2024-10-29T02:11:01.4Z,1,REGULAR,steal,,[],203924,,,1610612757,0,0,2024-10-29T02:11:04Z,100000,False,,,0,,J. Grant STEAL (1 STL),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M16.00S,2024-10-29T02:11:07.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629014,93.38042049934296,97.79411764705883,1610612757,0,0,2024-10-29T02:11:38Z,110000,False,239.0,10.0,1,right,MISS A. Simons running 3PT,[1629014],1610612757.0,POR,running,,,Simons,A. Simons,,,,,Right Corner 3,24+ Right,23.92,Missed,,,,,,,,,,,,,,,,,,
12,PT11M13.00S,2024-10-29T02:11:10.8Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612757,0,0,2024-10-29T02:11:10Z,120000,False,,,0,,D. Ayton REBOUND (Off:1 Def:0),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Right Corner 3,24+ Right,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT11M02.00S,2024-10-29T02:11:23.2Z,1,REGULAR,turnover,traveling,[],1629014,,,1610612757,0,0,2024-10-29T02:11:29Z,130000,False,,,0,,A. Simons traveling TURNOVER (1 TO),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,,,1627962.0,,,,,,,,,,
14,PT10M48.00S,2024-10-29T02:11:48.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627734,10.988830486202366,54.41176470588235,1610612758,0,0,2024-10-29T02:11:54Z,140000,False,-22.0,51.0,1,left,MISS D. Sabonis driving Layup,[1627734],1610612758.0,SAC,driving,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,5.54,Missed,,,,,,,,,,,,,,,,,,
