actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-12-27T03:10:17.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-27T03:10:17Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-12-27T03:10:31.5Z,1,REGULAR,jumpball,recovered,[],0,,,1610612765,0,0,2024-12-27T03:10:31Z,40000,False,,,0,,Jump Ball J. Duren vs. A. Len: Tip to Team (DET),"[1631105, 203458]",1610612765.0,DET,startperiod,Team (DET),Duren,1631105.0,Len,203458.0,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2024-12-27T03:10:53.6Z,1,REGULAR,3pt,Jump Shot,[],1631093,81.68528252299606,92.40196078431373,1610612765,0,3,2024-12-27T03:11:01Z,70000,False,212.0,120.0,1,right,J. Ivey 24' 3PT  (3 PTS) (T. Hardaway Jr. 1 AST),"[1631093, 203501]",1610612765.0,DET,,,,,,,Above the Break 3,24+ Right Center,24.35,Made,3.0,Ivey,J. Ivey,T. Hardaway Jr.,203501.0,1.0,,,,,,,,,,,,,,
9,PT11M25.00S,2024-12-27T03:11:09.5Z,1,REGULAR,foul,personal,['2freethrow'],1631105,,,1610612758,0,3,2024-12-27T03:11:27Z,90000,False,,,0,,J. Duren shooting personal FOUL (1 PF) (Murray 2 FT),"[1631105, 1631099]",1610612765.0,DET,shooting,,,,,,Restricted Area,0-8 Center,,,,Duren,J. Duren,,,,1162.0,1.0,0.0,Murray,1631099.0,,,,,,,,,
11,PT11M25.00S,2024-12-27T03:11:36.1Z,1,REGULAR,freethrow,1 of 2,[],1631099,,,1610612758,1,3,2024-12-27T03:11:36Z,110000,False,,,0,,K. Murray Free Throw 1 of 2 (1 PTS),[1631099],1610612758.0,SAC,,,,,,,,,,Made,1.0,Murray,K. Murray,,,,,,,,,,,,,,,,,
12,PT11M25.00S,2024-12-27T03:11:49.2Z,1,REGULAR,freethrow,2 of 2,[],1631099,,,1610612758,2,3,2024-12-27T03:11:49Z,120000,False,,,0,,K. Murray Free Throw 2 of 2 (2 PTS),[1631099],1610612758.0,SAC,,,,,,,,,,Made,2.0,Murray,K. Murray,,,,,,,,,,,,,,,,,
13,PT11M14.00S,2024-12-27T03:12:03.8Z,1,REGULAR,foul,personal,['2freethrow'],1631099,,,1610612765,2,3,2024-12-27T03:12:20Z,130000,False,,,0,,K. Murray shooting personal FOUL (1 PF) (Cunningham 2 FT),"[1631099, 1630595]",1610612758.0,SAC,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,Murray,K. Murray,,,,1162.0,1.0,0.0,Cunningham,1630595.0,,,,,,,,,
15,PT11M14.00S,2024-12-27T03:12:25.8Z,1,REGULAR,freethrow,1 of 2,[],1630595,,,1610612765,2,4,2024-12-27T03:12:25Z,150000,False,,,0,,C. Cunningham Free Throw 1 of 2 (1 PTS),[1630595],1610612765.0,DET,,,,,,,,,,Made,1.0,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,
16,PT11M14.00S,2024-12-27T03:12:41.4Z,1,REGULAR,freethrow,2 of 2,[],1630595,,,1610612765,2,5,2024-12-27T03:12:41Z,160000,False,,,0,,C. Cunningham Free Throw 2 of 2 (2 PTS),[1630595],1610612765.0,DET,,,,,,,,,,Made,2.0,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,
17,PT10M57.00S,2024-12-27T03:13:01.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,12.434296977660972,50.49019607843137,1610612758,2,5,2024-12-27T03:13:36Z,170000,False,-2.0,64.0,1,left,MISS D. Fox 6' driving floating Shot,[1628368],1610612758.0,SAC,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,6.44,Missed,,Fox,D. Fox,,,,,,,,,,,,,,,,,
