actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-16T03:11:31.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-16T03:11:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-11-16T03:11:34.4Z,1,REGULAR,jumpball,recovered,[],1627734,,,1610612758,0,0,2024-11-16T03:11:34Z,40000,False,,,0,,Jump Ball A. Len vs. R. Gobert: Tip to D. Sabonis,"[1627734, 203458, 203497]",1610612758.0,SAC,startperiod,D. Sabonis,1627734.0,Sabonis,D. Sabonis,Len,203458.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2024-11-16T03:12:17.3Z,1,REGULAR,foul,personal,[],1630162,,,1610612758,0,0,2024-11-16T03:12:35Z,80000,False,,,0,,A. Edwards personal FOUL (1 PF),"[1630162, 1631099]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,1630886.0,1.0,0.0,Murray,1631099.0,,,,,,,,,,,,,,,
10,PT11M23.00S,2024-11-16T03:12:49.3Z,1,REGULAR,3pt,Jump Shot,[],203458,94.56307490144546,4.6568627450980395,1610612758,0,0,2024-11-16T03:13:05Z,100000,False,-227.0,-1.0,1,right,MISS A. Len 3PT,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,Left Corner 3,24+ Left,,,,,,22.67,Missed,,,,,,,,,,,,,
11,PT11M21.00S,2024-11-16T03:12:51.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,0,0,2024-11-16T03:13:05Z,110000,False,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Left Corner 3,24+ Left,,,,,,,,10.0,,,,,,,,,,,,
13,PT11M02.00S,2024-11-16T03:13:14.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,7.046649145860711,50.73529411764706,1610612750,0,2,2024-11-16T03:13:25Z,130000,False,-4.0,14.0,1,left,R. Gobert DUNK (2 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,1.42,Made,,2.0,,,,,,,,,,,
14,PT10M50.00S,2024-11-16T03:13:26.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,80.50262812089356,52.94117647058824,1610612758,2,2,2024-11-16T03:13:56Z,140000,False,15.0,131.0,1,right,D. Fox 13' driving floating Jump Shot (2 PTS),[1628368],1610612758.0,SAC,driving floating,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Center,,,,,,13.16,Made,,2.0,,,,,,,,,,,
15,PT10M35.00S,2024-11-16T03:13:42.0Z,1,REGULAR,3pt,Jump Shot,[],203944,26.363337713534822,80.3921568627451,1610612750,2,2,2024-11-16T03:13:46Z,150000,False,-152.0,195.0,1,left,MISS J. Randle 24' 3PT,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,,,,,,24.75,Missed,,,,,,,,,,,,,
16,PT10M33.00S,2024-11-16T03:13:44.0Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,2,2,2024-11-16T03:13:46Z,160000,False,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Left Center,,,,,,,,15.0,,1.0,1.0,0.0,,,,,,,,
17,PT10M31.00S,2024-11-16T03:13:46.4Z,1,REGULAR,turnover,bad pass,[],1628368,,,1610612758,2,2,2024-11-16T03:13:50Z,170000,False,,,0,,D. Fox bad pass TURNOVER (1 TO),"[1628368, 201144]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1.0,Conley,201144.0,,,,,
