actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-19T03:10:06.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-19T03:10:06Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-11-19T03:10:09.4Z,1,REGULAR,jumpball,recovered,[],1628368,,,1610612758,0,0,2024-11-19T03:10:09Z,40000,False,,,0,,Jump Ball A. Len vs. C. Capela: Tip to D. Fox,"[1628368, 203458, 203991]",1610612758.0,SAC,startperiod,D. Fox,1628368.0,Fox,D. Fox,Len,203458.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2024-11-19T03:10:19.2Z,1,REGULAR,turnover,out-of-bounds,[],1628368,,,1610612758,0,0,2024-11-19T03:10:32Z,70000,False,,,0,,D. Fox bad pass out-of-bounds TURNOVER (1 TO),[1628368],1610612758.0,SAC,bad pass,,,Fox,D. Fox,,,,,Right Corner 3,24+ Right,2002.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2024-11-19T03:10:34.7Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,0,0,2024-11-19T03:11:02Z,80000,False,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 1631099]",1610612737.0,ATL,,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,1.0,Murray,1631099.0,,,,,,,,,,,,,,,,
9,PT11M36.00S,2024-11-19T03:10:34.7Z,1,REGULAR,steal,,[],1631099,,,1610612758,0,0,2024-11-19T03:10:36Z,90000,False,,,0,,K. Murray STEAL (1 STL),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2024-11-19T03:10:51.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628989,5.863994743758213,53.92156862745098,1610612758,0,0,2024-11-19T03:11:43Z,100000,False,-20.0,3.0,1,left,MISS K. Huerter driving floating bank Shot,[1628989],1610612758.0,SAC,driving floating bank,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,,,,,1.98,Missed,,,,,,,,,,,,,,
11,PT11M19.00S,2024-11-19T03:10:53.5Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,0,2024-11-19T03:11:43Z,110000,False,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M05.00S,2024-11-19T03:11:04.9Z,1,REGULAR,3pt,Jump Shot,[],1642258,91.93495400788436,96.07843137254902,1610612737,0,3,2024-11-19T03:11:13Z,120000,False,230.0,23.0,1,right,Z. Risacher 3PT  (3 PTS) (T. Young 1 AST),"[1642258, 1629027]",1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Right Corner 3,24+ Right,,,,,23.16,Made,,,,,3.0,T. Young,1629027.0,1.0,,,,,,
14,PT10M42.00S,2024-11-19T03:11:28.2Z,1,REGULAR,3pt,Jump Shot,[],1631099,30.042706964520367,30.14705882352941,1610612758,0,3,2024-11-19T03:11:38Z,140000,False,99.0,230.0,1,left,MISS K. Murray 25' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,,,,,25.04,Missed,,,,,,,,,,,,,,
15,PT10M41.00S,2024-11-19T03:11:29.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,0,3,2024-11-19T03:11:38Z,150000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,14.0,,,,,,,,,,,,,
17,PT10M28.00S,2024-11-19T03:11:49.0Z,1,REGULAR,turnover,bad pass,[],1630700,,,1610612737,0,3,2024-11-19T03:11:58Z,170000,False,,,0,,D. Daniels bad pass TURNOVER (1 TO),"[1630700, 1631099]",1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Mid-Range,16-24 Center,,1.0,Murray,1631099.0,,,,,,,,,,,,,,,,
18,PT10M28.00S,2024-11-19T03:11:49.0Z,1,REGULAR,steal,,[],1631099,,,1610612758,0,3,2024-11-19T03:11:51Z,180000,False,,,0,,K. Murray STEAL (2 STL),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M24.00S,2024-11-19T03:11:54.1Z,1,REGULAR,foul,personal,['2freethrow'],1642258,,,1610612758,0,3,2024-11-19T03:12:33Z,190000,False,,,0,,Z. Risacher shooting personal FOUL (1 PF) (Fox 2 FT),"[1642258, 1628368]",1610612737.0,ATL,shooting,,,Risacher,Z. Risacher,,,,,In The Paint (Non-RA),8-16 Center,1626302.0,,,,,,,,,,,,,,1.0,0.0,Fox,1628368.0,,
21,PT10M24.00S,2024-11-19T03:12:35.0Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1628368,,,1610612758,0,3,2024-11-19T03:12:55Z,210000,False,,,0,,MISS D. Fox Free Throw 1 of 2,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
22,PT10M24.00S,2024-11-19T03:12:35.0Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612758,0,3,2024-11-19T03:12:55Z,220000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,
23,PT10M24.00S,2024-11-19T03:12:35.0Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",1628368,,,1610612758,1,3,2024-11-19T03:12:55Z,230000,False,,,0,,D. Fox Free Throw 2 of 2 (1 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,Made,,,,,1.0,,,,,,,,,
24,PT10M09.00S,2024-11-19T03:12:57.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630700,90.88370565045992,58.08823529411765,1610612737,1,3,2024-11-19T03:13:03Z,240000,False,40.0,33.0,1,right,MISS D. Daniels driving Layup,[1630700],1610612737.0,ATL,driving,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,5.23,Missed,,,,,,,,,,,,,,
25,PT10M08.00S,2024-11-19T03:12:58.5Z,1,REGULAR,rebound,defensive,[],203458,,,1610612758,1,3,2024-11-19T03:13:03Z,250000,False,,,0,,A. Len REBOUND (Off:0 Def:1),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,
26,PT10M01.00S,2024-11-19T03:13:05.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631099,19.004599211563733,62.5,1610612758,1,3,2024-11-19T03:13:43Z,260000,False,-62.0,126.0,1,left,MISS K. Murray 14' step back Shot,[1631099],1610612758.0,SAC,step back,,,Murray,K. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,,,14.07,Missed,,,,,,,,,,,,,,
27,PT09M59.00S,2024-11-19T03:13:07.8Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,1,3,2024-11-19T03:13:43Z,270000,False,,,0,,D. Daniels REBOUND (Off:0 Def:1),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,
28,PT09M54.00S,2024-11-19T03:13:14.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203991,93.38042049934296,52.94117647058824,1610612737,1,3,2024-11-19T03:14:18Z,280000,False,15.0,10.0,1,right,MISS C. Capela running Layup - blocked,"[203991, 203458]",1610612737.0,ATL,running,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,1.76,Missed,,,,,,,,,,,,,Len,203458.0
29,PT09M54.00S,2024-11-19T03:13:14.9Z,1,REGULAR,block,,[],203458,,,1610612737,1,3,2024-11-19T03:13:17Z,290000,False,,,0,,A. Len BLOCK (1 BLK),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
30,PT09M52.00S,2024-11-19T03:13:16.9Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,1,3,2024-11-19T03:14:18Z,300000,False,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,
31,PT09M45.00S,2024-11-19T03:13:21.9Z,1,REGULAR,turnover,bad pass,[],1631099,,,1610612758,1,3,2024-11-19T03:13:31Z,310000,False,,,0,,K. Murray bad pass TURNOVER (1 TO),"[1631099, 1642258]",1610612758.0,SAC,,,,Murray,K. Murray,,,,,Mid-Range,16-24 Right Center,,1.0,Risacher,1642258.0,,,,,,,,,,,,,,,,
32,PT09M45.00S,2024-11-19T03:13:21.9Z,1,REGULAR,steal,,[],1642258,,,1610612737,1,3,2024-11-19T03:13:23Z,320000,False,,,0,,Z. Risacher STEAL (1 STL),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
33,PT09M34.00S,2024-11-19T03:13:32.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630700,90.3580814717477,50.73529411764706,1610612737,1,5,2024-11-19T03:14:52Z,330000,False,4.0,38.0,1,right,D. Daniels cutting finger roll Layup (2 PTS) (T. Young 2 AST),"[1630700, 1629027]",1610612737.0,ATL,cutting finger roll,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,3.83,Made,,,,,2.0,T. Young,1629027.0,2.0,,,,,,
35,PT09M24.00S,2024-11-19T03:13:42.4Z,1,REGULAR,3pt,Jump Shot,[],1626168,26.757555847568987,20.833333333333336,1610612758,4,5,2024-11-19T03:13:49Z,350000,False,146.0,199.0,1,left,T. Lyles 24' 3PT  (3 PTS) (D. Fox 1 AST),"[1626168, 1628368]",1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,Above the Break 3,24+ Right Center,,,,,24.67,Made,,,,,3.0,D. Fox,1628368.0,1.0,,,,,,
37,PT09M06.00S,2024-11-19T03:13:59.7Z,1,REGULAR,3pt,Jump Shot,[],1642258,85.10183968462549,2.450980392156863,1610612737,4,8,2024-11-19T03:14:06Z,370000,False,-238.0,88.0,1,right,Z. Risacher 25' 3PT  (6 PTS) (T. Young 3 AST),"[1642258, 1629027]",1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Left Corner 3,24+ Left,,,,,25.33,Made,,,,,6.0,T. Young,1629027.0,3.0,,,,,,
39,PT08M57.00S,2024-11-19T03:14:08.8Z,1,REGULAR,3pt,Jump Shot,[],1626168,29.122864651773984,25.98039215686275,1610612758,4,8,2024-11-19T03:14:16Z,390000,False,120.0,221.0,1,left,MISS T. Lyles 25' 3PT,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,Above the Break 3,24+ Right Center,,,,,25.18,Missed,,,,,,,,,,,,,,
40,PT08M55.00S,2024-11-19T03:14:10.8Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,4,8,2024-11-19T03:14:16Z,400000,False,,,0,,C. Capela REBOUND (Off:0 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Above the Break 3,24+ Right Center,,,,,,,39.0,2.0,2.0,0.0,,,,,,,,,,
41,PT08M47.00S,2024-11-19T03:14:19.5Z,1,REGULAR,foul,offensive,[],1642258,,,1610612737,4,8,2024-11-19T03:14:45Z,410000,False,,,0,,Z. Risacher offensive FOUL (2 PF),"[1642258, 1626168]",1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Left Corner 3,24+ Left,2002.0,,,,,,,,,,,,,,2.0,0.0,Lyles,1626168.0,,
43,PT08M47.00S,2024-11-19T03:14:19.5Z,1,REGULAR,turnover,offensive foul,[],1642258,,,1610612737,4,8,2024-11-19T03:14:19Z,430000,False,,,0,,Z. Risacher offensive foul TURNOVER (1 TO),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Left Corner 3,24+ Left,2002.0,1.0,,,,,,,,,,,,,,,,,,
44,PT08M38.00S,2024-11-19T03:14:46.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628368,12.565703022339028,56.372549019607845,1610612758,4,8,2024-11-19T03:16:08Z,440000,False,-32.0,66.0,1,left,MISS D. Fox 7' driving floating Shot,[1628368],1610612758.0,SAC,driving floating,,,Fox,D. Fox,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.29,Missed,,,,,,,,,,,,,,
45,PT08M37.00S,2024-11-19T03:14:47.1Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,4,8,2024-11-19T03:16:08Z,450000,False,,,0,,C. Capela REBOUND (Off:0 Def:3),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,44.0,3.0,3.0,0.0,,,,,,,,,,
