actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-02-11T00:10:54.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-11T00:10:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-02-11T00:10:58.0Z,1,REGULAR,jumpball,recovered,[],201942,,,1610612741,0,0,2024-02-11T00:10:58Z,40000,False,,,0,,Jump Ball N. Vucevic vs. W. Carter Jr.: Tip to D. DeRozan,"[201942, 202696, 1628976]",1610612741.0,CHI,startperiod,D. DeRozan,201942.0,DeRozan,D. DeRozan,Vucevic,202696.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2024-02-11T00:11:20.1Z,1,REGULAR,2pt,Jump Shot,[],202696,19.530223390275953,72.05882352941177,1610612741,0,0,2024-02-11T00:11:28Z,70000,False,-110.0,131.0,1,left,MISS N. Vucevic 17' turnaround fadeaway Shot,[202696],1610612741.0,CHI,turnaround fadeaway,,,Vucevic,N. Vucevic,,,,,Mid-Range,16-24 Left Center,17.13,Missed,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2024-02-11T00:11:23.1Z,1,REGULAR,rebound,defensive,[],1628365,,,1610612753,0,0,2024-02-11T00:11:28Z,80000,False,,,0,,M. Fultz REBOUND (Off:0 Def:1),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Mid-Range,16-24 Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M23.00S,2024-02-11T00:11:29.9Z,1,REGULAR,3pt,Jump Shot,[],1628976,74.72076215505913,82.35294117647058,1610612753,0,0,2024-02-11T00:11:36Z,90000,False,162.0,185.0,1,right,MISS W. Carter Jr. 24' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Right Center,24.58,Missed,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2024-02-11T00:11:32.9Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,0,0,2024-02-11T00:11:36Z,100000,False,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M14.00S,2024-02-11T00:11:38.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629632,34.11629434954008,49.01960784313725,1610612741,0,0,2024-02-11T00:12:13Z,110000,False,5.0,268.0,1,left,MISS C. White 26' running 3PT,[1629632],1610612741.0,CHI,running,,,White,C. White,,,,,Above the Break 3,24+ Center,26.82,Missed,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2024-02-11T00:11:41.9Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,0,0,2024-02-11T00:11:44Z,120000,False,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M00.00S,2024-02-11T00:11:55.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,91.80354796320631,56.127450980392155,1610612753,2,0,2024-02-11T00:12:06Z,130000,False,31.0,25.0,1,right,F. Wagner driving Layup (2 PTS),[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,3.92,Made,,,,,2.0,,,,,,,,,,,,,
14,PT11M00.00S,2024-02-11T00:11:57.0Z,1,REGULAR,foul,personal,['1freethrow'],1627936,,,1610612753,2,0,2024-02-11T00:12:07Z,140000,False,,,0,,A. Caruso shooting personal FOUL (1 PF) (Wagner 1 FT),"[1627936, 1630532]",1610612741.0,CHI,shooting,,,Caruso,A. Caruso,,,,,Restricted Area,0-8 Center,,,,,,,,201245.0,1.0,0.0,Wagner,1630532.0,,,,,,,,
16,PT11M00.00S,2024-02-11T00:12:18.3Z,1,REGULAR,freethrow,1 of 1,[],1630532,,,1610612753,2,0,2024-02-11T00:12:20Z,160000,False,,,0,,MISS F. Wagner Free Throw 1 of 1,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
17,PT10M57.00S,2024-02-11T00:12:21.3Z,1,REGULAR,rebound,defensive,[],1627936,,,1610612741,2,0,2024-02-11T00:12:20Z,170000,False,,,0,,A. Caruso REBOUND (Off:0 Def:1),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M41.00S,2024-02-11T00:12:35.6Z,1,REGULAR,3pt,Jump Shot,[],1630245,6.389618922470433,4.901960784313726,1610612741,2,0,2024-02-11T00:12:39Z,180000,False,225.0,8.0,1,left,MISS A. Dosunmu 3PT,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Right Corner 3,24+ Right,22.56,Missed,,,,,,,,,,,,,,,,,,
19,PT10M38.00S,2024-02-11T00:12:38.6Z,1,REGULAR,rebound,defensive,[],1628365,,,1610612753,2,0,2024-02-11T00:12:39Z,190000,False,,,0,,M. Fultz REBOUND (Off:0 Def:2),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Right Corner 3,24+ Right,,,18.0,2.0,2.0,0.0,,,,,,,,,,,,,,
20,PT10M24.00S,2024-02-11T00:12:53.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,94.43166885676742,59.31372549019608,1610612753,4,0,2024-02-11T00:12:58Z,200000,False,47.0,0.0,1,right,F. Wagner cutting Layup (4 PTS) (M. Fultz 1 AST),"[1630532, 1628365]",1610612753.0,ORL,cutting,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,4.66,Made,,,,,4.0,,,,,,M. Fultz,1628365.0,1.0,,,,,
22,PT10M15.00S,2024-02-11T00:13:03.6Z,1,REGULAR,foul,personal,[],1631094,,,1610612741,4,0,2024-02-11T00:13:11Z,220000,False,,,0,,P. Banchero personal FOUL (1 PF),"[1631094, 201942]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,,,,,,,,201245.0,1.0,0.0,DeRozan,201942.0,,,,,,,,
24,PT10M01.00S,2024-02-11T00:13:30.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627936,15.719448094612352,35.78431372549019,1610612741,4,2,2024-02-11T00:13:39Z,240000,False,71.0,95.0,1,left,A. Caruso 11' pullup Jump Shot (2 PTS),[1627936],1610612741.0,CHI,pullup,,,Caruso,A. Caruso,,,,,In The Paint (Non-RA),8-16 Right,11.89,Made,,,,,2.0,,,,,,,,,,,,,
25,PT09M43.00S,2024-02-11T00:14:00.1Z,1,REGULAR,foul,technical,['1freethrow'],202696,,,1610612753,4,2,2024-02-11T00:21:36Z,250000,False,,,0,,N. Vucevic defensive-3-second technical FOUL (1 Tech),[202696],1610612741.0,CHI,defensive-3-second,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,200832.0,0.0,1.0,,,,,,,,,,
26,PT09M43.00S,2024-02-11T00:14:09.5Z,1,REGULAR,freethrow,1 of 1,[],1630532,,,1610612753,4,2,2024-02-11T00:14:09Z,260000,False,,,0,,MISS F. Wagner technical Free Throw 1 of 1,[1630532],1610612753.0,ORL,technical,,,Wagner,F. Wagner,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
27,PT09M43.00S,2024-02-11T00:14:09.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612753,4,2,2024-02-11T00:14:09Z,270000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,
29,PT09M28.00S,2024-02-11T00:15:34.1Z,1,REGULAR,3pt,Jump Shot,[],1630591,60.66031537450722,16.42156862745098,1610612753,7,2,2024-02-11T00:15:39Z,290000,False,-168.0,317.0,1,right,J. Suggs 35' 3PT  (3 PTS) (F. Wagner 1 AST),"[1630591, 1630532]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Left Center,35.9,Made,,,,,3.0,,,,,,F. Wagner,1630532.0,1.0,,,,,
31,PT09M09.00S,2024-02-11T00:15:54.4Z,1,REGULAR,2pt,Jump Shot,[],1629632,15.456636005256241,75.49019607843137,1610612741,7,4,2024-02-11T00:15:59Z,310000,False,-127.0,93.0,1,left,C. White 15' driving floating bank Jump Shot (2 PTS) (A. Dosunmu 1 AST),"[1629632, 1630245]",1610612741.0,CHI,driving floating bank,,,White,C. White,,,,,Mid-Range,8-16 Left,15.77,Made,,,,,2.0,,,,,,A. Dosunmu,1630245.0,1.0,,,,,
33,PT08M50.00S,2024-02-11T00:16:12.2Z,1,REGULAR,2pt,Jump Shot,[],1631094,94.03745072273325,82.35294117647058,1610612753,9,4,2024-02-11T00:16:16Z,330000,False,162.0,4.0,1,right,P. Banchero 16' pullup Jump Shot (2 PTS),[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Right,16.18,Made,,,,,2.0,,,,,,,,,,,,,
34,PT08M40.00S,2024-02-11T00:16:24.4Z,1,REGULAR,foul,personal,['2freethrow'],1630591,,,1610612741,9,4,2024-02-11T00:16:32Z,340000,False,,,0,,J. Suggs shooting personal FOUL (1 PF) (White 2 FT),"[1630591, 1629632]",1610612753.0,ORL,shooting,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,,,,,,,,201245.0,1.0,0.0,White,1629632.0,,,,,,,,
36,PT08M40.00S,2024-02-11T00:16:51.7Z,1,REGULAR,freethrow,1 of 2,[],1629632,,,1610612741,9,5,2024-02-11T00:16:51Z,360000,False,,,0,,C. White Free Throw 1 of 2 (3 PTS),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
37,PT08M40.00S,2024-02-11T00:17:07.1Z,1,REGULAR,freethrow,2 of 2,[],1629632,,,1610612741,9,6,2024-02-11T00:17:07Z,370000,False,,,0,,C. White Free Throw 2 of 2 (4 PTS),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
38,PT08M19.00S,2024-02-11T00:17:31.2Z,1,REGULAR,turnover,bad pass,[],1630591,,,1610612753,9,6,2024-02-11T00:17:38Z,380000,False,,,0,,J. Suggs bad pass TURNOVER (1 TO),"[1630591, 1630245]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,1.0,Dosunmu,1630245.0,,
