actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-02-09T00:12:24.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-09T00:12:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-02-09T00:12:28.5Z,1,REGULAR,jumpball,recovered,[],1631110,,,1610612759,0,0,2024-02-09T00:12:28Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. W. Carter Jr.: Tip to J. Sochan,"[1631110, 1641705, 1628976]",1610612759.0,SAS,startperiod,J. Sochan,1631110.0,Sochan,J. Sochan,Wembanyama,1641705.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2024-02-09T00:12:47.2Z,1,REGULAR,3pt,Jump Shot,[],1630170,29.25427069645204,21.568627450980394,1610612759,0,0,2024-02-09T00:13:20Z,70000,False,142.0,222.0,1,left,MISS D. Vassell 26' pullup 3PT,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,26.41,Missed,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2024-02-09T00:12:51.2Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,0,0,2024-02-09T00:12:52Z,80000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M13.00S,2024-02-09T00:13:28.8Z,1,REGULAR,3pt,Jump Shot,[],1630532,64.07687253613666,23.03921568627451,1610612753,0,0,2024-02-09T00:13:35Z,100000,False,-135.0,285.0,1,right,MISS F. Wagner 31' pullup 3PT,[1630532],1610612753.0,ORL,pullup,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Left Center,31.55,Missed,,,,,,,,,,,,,,,,,,
11,PT11M11.00S,2024-02-09T00:13:34.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,0,0,2024-02-09T00:13:34Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Above the Break 3,24+ Left Center,,,10.0,,,,,,,,,,,,,,,,,
13,PT11M08.00S,2024-02-09T00:13:49.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630532,91.67214191852825,53.67647058823529,1610612753,2,0,2024-02-09T00:13:55Z,130000,False,18.0,26.0,1,right,F. Wagner cutting Layup (2 PTS) (M. Fultz 1 AST),"[1630532, 1628365]",1610612753.0,ORL,cutting,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,3.17,Made,,,,,2.0,M. Fultz,1628365.0,1.0,,,,,,,,,,
15,PT10M52.00S,2024-02-09T00:14:05.2Z,1,REGULAR,2pt,Jump Shot,[],1641705,7.440867279894875,68.13725490196079,1610612759,2,0,2024-02-09T00:14:24Z,150000,False,-91.0,17.0,1,left,MISS V. Wembanyama 9' driving floating Shot,[1641705],1610612759.0,SAS,driving floating,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,8-16 Left,9.24,Missed,,,,,,,,,,,,,,,,,,
16,PT10M50.00S,2024-02-09T00:14:07.2Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,2,0,2024-02-09T00:14:10Z,160000,False,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Mid-Range,8-16 Left,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M43.00S,2024-02-09T00:14:14.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,89.70105124835742,52.450980392156865,1610612753,4,0,2024-02-09T00:14:20Z,170000,False,12.0,44.0,1,right,P. Banchero Layup (2 PTS) (F. Wagner 1 AST),"[1631094, 1630532]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,4.6,Made,,,,,2.0,F. Wagner,1630532.0,1.0,,,,,,,,,,
19,PT10M29.00S,2024-02-09T00:14:27.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630200,15.193823915900131,37.00980392156863,1610612759,4,0,2024-02-09T00:14:39Z,190000,False,65.0,90.0,1,left,MISS T. Jones 11' driving floating Shot,[1630200],1610612759.0,SAS,driving floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Right,11.13,Missed,,,,,,,,,,,,,,,,,,
20,PT10M27.00S,2024-02-09T00:14:29.7Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,4,0,2024-02-09T00:14:39Z,200000,False,,,0,,F. Wagner REBOUND (Off:0 Def:2),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Right,,,19.0,2.0,2.0,0.0,,,,,,,,,,,,,,
21,PT10M15.00S,2024-02-09T00:14:41.8Z,1,REGULAR,3pt,Jump Shot,[],1628976,68.80749014454665,27.941176470588236,1610612753,7,0,2024-02-09T00:14:47Z,210000,False,-110.0,241.0,1,right,W. Carter Jr. 26' 3PT  (3 PTS) (P. Banchero 1 AST),"[1628976, 1631094]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Left Center,26.48,Made,,,,,3.0,P. Banchero,1631094.0,1.0,,,,,,,,,,
23,PT10M03.00S,2024-02-09T00:15:04.8Z,1,REGULAR,violation,kicked ball,[],1630532,,,1610612759,7,0,2024-02-09T00:15:36Z,230000,False,,,0,,F. Wagner kicked ball VIOLATION,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,1162.0,,,,,,,,,
24,PT09M49.00S,2024-02-09T00:15:25.5Z,1,REGULAR,3pt,Jump Shot,[],1630170,15.456636005256241,5.147058823529411,1610612759,7,0,2024-02-09T00:15:32Z,240000,False,224.0,93.0,1,left,MISS D. Vassell 24' 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right,24.27,Missed,,,,,,,,,,,,,,,,,,
25,PT09M42.00S,2024-02-09T00:15:32.5Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,7,0,2024-02-09T00:15:32Z,250000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Right,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
26,PT09M37.00S,2024-02-09T00:15:38.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631094,91.40932982917214,51.225490196078425,1610612753,9,0,2024-02-09T00:17:07Z,260000,False,6.0,28.0,1,right,P. Banchero cutting DUNK (4 PTS) (F. Wagner 2 AST),"[1631094, 1630532]",1610612753.0,ORL,cutting,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,2.89,Made,,,,,4.0,F. Wagner,1630532.0,2.0,,,,,,,,,,
28,PT09M37.00S,2024-02-09T00:17:40.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,9,0,2024-02-09T00:17:40Z,280000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M25.00S,2024-02-09T00:18:42.3Z,1,REGULAR,3pt,Jump Shot,[],1630577,25.837713534822605,12.990196078431374,1610612759,9,3,2024-02-09T00:18:48Z,310000,False,185.0,190.0,1,left,J. Champagnie 26' 3PT  (3 PTS) (D. Vassell 1 AST),"[1630577, 1630170]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Right Center,26.55,Made,,,,,3.0,D. Vassell,1630170.0,1.0,,,,,,,,,,
33,PT09M03.00S,2024-02-09T00:19:04.3Z,1,REGULAR,3pt,Jump Shot,[],1630591,69.85873850197109,76.47058823529412,1610612753,9,3,2024-02-09T00:19:16Z,330000,False,132.0,231.0,1,right,MISS J. Suggs 26' 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Right Center,26.61,Missed,,,,,,,,,,,,,,,,,,
