actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-12-30T00:11:06.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-30T00:11:06Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-12-30T00:11:09.4Z,1,REGULAR,jumpball,recovered,[],203944,,,1610612752,0,0,2023-12-30T00:11:09Z,40000,False,,,0,,Jump Ball I. Hartenstein vs. G. Bitadze: Tip to J. Randle,"[203944, 1628392, 1629048]",1610612752.0,NYK,startperiod,J. Randle,203944.0,Randle,J. Randle,Hartenstein,1628392.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2023-12-30T00:11:39.7Z,1,REGULAR,2pt,Jump Shot,[],1628973,83.52496714848883,68.38235294117648,1610612752,0,0,2023-12-30T00:11:46Z,80000,False,92.0,102.0,1,right,MISS J. Brunson 13' pullup Shot,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Right,13.76,Missed,,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2023-12-30T00:11:43.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,0,0,2023-12-30T00:11:46Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Mid-Range,8-16 Right,,,8.0,,,,,,,,,,,,,,,,,
11,PT11M35.00S,2023-12-30T00:12:03.6Z,1,REGULAR,foul,personal,['2freethrow'],1630591,,,1610612752,0,0,2023-12-30T00:12:16Z,110000,False,,,0,,J. Suggs shooting personal FOUL (1 PF) (Brunson 2 FT),"[1630591, 1628973]",1610612753.0,ORL,shooting,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),0-8 Center,,,,201245.0,1.0,0.0,Brunson,1628973.0,,,,,,,,,,,,
13,PT11M35.00S,2023-12-30T00:12:31.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628973,,,1610612752,0,1,2023-12-30T00:12:31Z,130000,False,,,0,,J. Brunson Free Throw 1 of 2 (1 PTS),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
14,PT11M35.00S,2023-12-30T00:12:48.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628973,,,1610612752,0,2,2023-12-30T00:12:48Z,140000,False,,,0,,J. Brunson Free Throw 2 of 2 (2 PTS),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
15,PT11M19.00S,2023-12-30T00:13:06.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,10.5946123521682,54.166666666666664,1610612753,0,2,2023-12-30T00:14:24Z,150000,False,-21.0,47.0,1,left,MISS F. Wagner driving finger roll Layup,[1630532],1610612753.0,ORL,driving finger roll,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,5.15,Missed,,,,,,,,,,,,,,,,,,
16,PT11M14.00S,2023-12-30T00:13:11.6Z,1,REGULAR,rebound,offensive,[],1641710,,,1610612753,0,2,2023-12-30T00:13:26Z,160000,False,,,0,,A. Black REBOUND (Off:1 Def:0),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,In The Paint (Non-RA),0-8 Center,,,15.0,,,,,,,1.0,0.0,1.0,,,,,,,,
17,PT11M14.00S,2023-12-30T00:13:10.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1641710,5.590000152587891,50.0,1610612753,2,2,2023-12-30T00:13:22Z,170000,False,0.0,0.0,1,left,A. Black tip Layup (2 PTS),[1641710],1610612753.0,ORL,tip,,,Black,A. Black,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,2.0,,,,,,,,,,,
18,PT11M00.00S,2023-12-30T00:13:24.9Z,1,REGULAR,3pt,Jump Shot,[],203944,72.35545335085413,83.33333333333334,1610612752,2,2,2023-12-30T00:13:30Z,180000,False,167.0,207.0,1,right,MISS J. Randle 26' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,26.61,Missed,,,,,,,,,,,,,,,,,,
19,PT10M57.00S,2023-12-30T00:13:27.9Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,2,2,2023-12-30T00:13:30Z,190000,False,,,0,,G. Bitadze REBOUND (Off:0 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Above the Break 3,24+ Right Center,,,18.0,,,,,,,1.0,1.0,0.0,,,,,,,,
20,PT10M49.00S,2023-12-30T00:13:36.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630591,9.411957950065702,41.66666666666667,1610612753,4,2,2023-12-30T00:13:45Z,200000,False,42.0,36.0,1,left,J. Suggs floating Jump Shot (2 PTS),[1630591],1610612753.0,ORL,floating,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),0-8 Center,5.51,Made,,,,,,,2.0,,,,,,,,,,,
21,PT10M33.00S,2023-12-30T00:13:52.2Z,1,REGULAR,turnover,lost ball,[],1628973,,,1610612752,4,2,2023-12-30T00:13:57Z,210000,False,,,0,,J. Brunson lost ball TURNOVER (1 TO),"[1628973, 1631094]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,1.0,Banchero,1631094.0,,,,,
22,PT10M33.00S,2023-12-30T00:13:52.2Z,1,REGULAR,steal,,[],1631094,,,1610612753,4,2,2023-12-30T00:22:36Z,220000,False,,,0,,P. Banchero STEAL (1 STL),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
