actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-23T00:10:50.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-23T00:10:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-11-23T00:10:52.9Z,1,REGULAR,jumpball,recovered,[],202704,,,1610612743,0,0,2023-11-23T00:10:52Z,40000,False,,,0,,Jump Ball N. Jokic vs. G. Bitadze: Tip to R. Jackson,"[202704, 203999, 1629048]",1610612743.0,DEN,startperiod,R. Jackson,202704.0,Jackson,R. Jackson,Jokic,203999.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2023-11-23T00:11:16.3Z,1,REGULAR,2pt,Jump Shot,[],203932,93.11760840998686,20.588235294117645,1610612743,0,0,2023-11-23T00:13:30Z,70000,False,-147.0,12.0,1,right,MISS A. Gordon 14' turnaround fadeaway Shot,[203932],1610612743.0,DEN,turnaround fadeaway,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Left,14.76,Missed,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2023-11-23T00:11:19.1Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,0,0,2023-11-23T00:11:19Z,80000,False,,,0,,G. Bitadze REBOUND (Off:0 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Mid-Range,8-16 Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2023-11-23T00:11:23.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630591,6.176084099868594,46.802236519607845,1610612753,0,0,2023-11-23T00:12:05Z,90000,False,16.0,6.0,1,left,MISS J. Suggs running Layup,[1630591],1610612753.0,ORL,running,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,1.7,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2023-11-23T00:11:25.3Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,0,0,2023-11-23T00:12:05Z,100000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M09.00S,2023-11-23T00:11:43.1Z,1,REGULAR,foul,personal,['2freethrow'],1641710,,,1610612743,0,0,2023-11-23T00:11:52Z,110000,False,,,0,,A. Black shooting personal FOUL (1 PF) (Jokic 2 FT),"[1641710, 203999]",1610612753.0,ORL,shooting,,,Black,A. Black,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1151.0,1.0,0.0,Jokic,203999.0,,,,,,,,,
13,PT11M09.00S,2023-11-23T00:12:14.6Z,1,REGULAR,freethrow,1 of 2,[],203999,,,1610612743,0,1,2023-11-23T00:12:14Z,130000,False,,,0,,N. Jokic Free Throw 1 of 2 (1 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
14,PT11M09.00S,2023-11-23T00:12:30.4Z,1,REGULAR,freethrow,2 of 2,[],203999,,,1610612743,0,2,2023-11-23T00:12:30Z,140000,False,,,0,,N. Jokic Free Throw 2 of 2 (2 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
15,PT10M57.00S,2023-11-23T00:12:48.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641710,8.672798948751643,46.77925857843137,1610612753,0,2,2023-11-23T00:12:58Z,150000,False,16.0,29.0,1,left,MISS A. Black driving Layup,[1641710],1610612753.0,ORL,driving,,,Black,A. Black,,,,,Restricted Area,0-8 Center,3.32,Missed,,,,,,,,,,,,,,,,,,
