actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-10-25T23:14:20.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-25T23:14:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-10-25T23:14:24.1Z,1,REGULAR,jumpball,recovered,[],1631094,,,1610612753,0,0,2023-10-25T23:14:24Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. A. Sengun: Tip to P. Banchero,"[1631094, 1628976, 1630578]",1610612753.0,ORL,startperiod,P. Banchero,1631094.0,Banchero,P. Banchero,Carter Jr.,1628976.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-10-25T23:14:34.9Z,1,REGULAR,2pt,Jump Shot,[],1628365,78.26872536136662,62.5,1610612753,0,0,2023-10-25T23:14:45Z,70000,False,62.0,152.0,1,right,MISS M. Fultz 16' turnaround Shot,[1628365],1610612753.0,ORL,turnaround,,,Fultz,M. Fultz,,,,,Mid-Range,16-24 Right Center,16.42,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2023-10-25T23:14:39.9Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,0,2023-10-25T23:14:45Z,80000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M22.00S,2023-10-25T23:15:21.9Z,1,REGULAR,turnover,out-of-bounds,[],1630224,,,1610612745,0,0,2023-10-25T23:15:30Z,110000,False,,,0,,J. Green lost ball out-of-bounds TURNOVER (1 TO),[1630224],1610612745.0,HOU,lost ball,,,Green,J. Green,,,,,Mid-Range,8-16 Left,,,,,,,204059.0,1.0,,,,,,,,,,,,
12,PT11M09.00S,2023-10-25T23:15:37.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630591,81.15965834428384,54.166666666666664,1610612753,0,0,2023-10-25T23:15:46Z,120000,False,21.0,125.0,1,right,MISS J. Suggs 12' driving floating Shot,[1630591],1610612753.0,ORL,driving floating,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),8-16 Center,12.63,Missed,,,,,,,,,,,,,,,,,,
13,PT11M05.00S,2023-10-25T23:15:41.8Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,0,2023-10-25T23:15:46Z,130000,False,,,0,,A. Sengun REBOUND (Off:0 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,,,12.0,2.0,2.0,0.0,,,,,,,,,,,,,,
14,PT10M55.00S,2023-10-25T23:15:51.0Z,1,REGULAR,2pt,Jump Shot,[],1631095,10.988830486202366,74.26470588235294,1610612745,0,0,2023-10-25T23:16:13Z,140000,False,-121.0,51.0,1,left,MISS J. Smith Jr. 13' pullup Shot,[1631095],1610612745.0,HOU,pullup,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,8-16 Left,13.15,Missed,,,,,,,,,,,,,,,,,,
15,PT10M53.00S,2023-10-25T23:15:53.0Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,0,0,2023-10-25T23:15:56Z,150000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Left,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M40.00S,2023-10-25T23:16:05.9Z,1,REGULAR,3pt,Jump Shot,[],1630591,69.33311432325887,70.58823529411765,1610612753,3,0,2023-10-25T23:16:12Z,160000,False,103.0,236.0,1,right,J. Suggs 25' 3PT  (3 PTS) (W. Carter Jr. 1 AST),"[1630591, 1628976]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Right Center,25.73,Made,,,,,,,3.0,W. Carter Jr.,1628976.0,1.0,,,,,,,,
