actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-02-15T00:10:51.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-15T00:10:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2024-02-15T00:10:57.2Z,1,REGULAR,jumpball,recovered,[],1628973,,,1610612752,0,0,2024-02-15T00:10:57Z,40000,False,,,0,,Jump Ball J. Sims vs. W. Carter Jr.: Tip to J. Brunson,"[1628973, 1630579, 1628976]",1610612752.0,NYK,startperiod,J. Brunson,1628973.0,Brunson,J. Brunson,Sims,1630579.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-02-15T00:11:08.3Z,1,REGULAR,turnover,bad pass,[],1628973,,,1610612752,0,0,2024-02-15T00:11:13Z,70000,False,,,0,,J. Brunson bad pass TURNOVER (1 TO),"[1628973, 1630532]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Center,1.0,Wagner,1630532.0,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2024-02-15T00:11:08.3Z,1,REGULAR,steal,,[],1630532,,,1610612753,0,0,2024-02-15T00:11:10Z,80000,False,,,0,,F. Wagner STEAL (1 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2024-02-15T00:11:12.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630532,8.492115637319317,49.01960784313725,1610612753,2,0,2024-02-15T00:11:18Z,90000,False,5.0,27.0,1,left,F. Wagner running DUNK (2 PTS),[1630532],1610612753.0,ORL,running,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,,,2.77,Made,2.0,,,,,,,,,,,,,,
10,PT11M12.00S,2024-02-15T00:11:38.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630173,91.01511169513797,47.05882352941176,1610612752,2,0,2024-02-15T00:12:15Z,100000,False,-15.0,32.0,1,right,MISS P. Achiuwa driving finger roll Layup,[1630173],1610612752.0,NYK,driving finger roll,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,,3.52,Missed,,,,,,,,,,,,,,,
11,PT11M11.00S,2024-02-15T00:11:39.0Z,1,REGULAR,rebound,offensive,[],1630173,,,1610612752,2,0,2024-02-15T00:11:43Z,110000,False,,,0,,P. Achiuwa REBOUND (Off:1 Def:0),[1630173],1610612752.0,NYK,,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,,,
12,PT11M09.00S,2024-02-15T00:11:40.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630173,91.67214191852825,50.0,1610612752,2,2,2024-02-15T00:11:47Z,120000,False,0.0,26.0,1,right,P. Achiuwa putback Layup (2 PTS),[1630173],1610612752.0,NYK,putback,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,,2.58,Made,2.0,,,,,,,,,,,,,,
13,PT10M48.00S,2024-02-15T00:12:02.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641710,8.672798948751643,45.369944852941174,1610612753,2,2,2024-02-15T00:13:18Z,130000,False,23.0,29.0,1,left,MISS A. Black driving Layup,[1641710],1610612753.0,ORL,driving,,,Black,A. Black,,,,,Restricted Area,0-8 Center,,,,3.71,Missed,,,,,,,,,,,,,,,
14,PT10M48.00S,2024-02-15T00:12:02.5Z,1,REGULAR,rebound,offensive,[],1641710,,,1610612753,2,2,2024-02-15T00:13:05Z,140000,False,,,0,,A. Black REBOUND (Off:1 Def:0),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,Restricted Area,0-8 Center,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,
