actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
60,PT06M34.00S,2024-01-20T00:22:35.9Z,1,REGULAR,foul,personal,['2freethrow'],1629048,,,1610612755,13,16,2024-01-20T00:22:46Z,600000,False,,,0,,G. Bitadze shooting personal FOUL (1 PF) (Embiid 2 FT),"[1629048, 203954]",1610612753.0,ORL,shooting,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1199.0,1.0,0.0,Embiid,203954.0
62,PT06M34.00S,2024-01-20T00:23:02.4Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203954,,,1610612755,13,17,2024-01-20T00:23:02Z,620000,False,,,0,,J. Embiid Free Throw 1 of 2 (6 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
63,PT06M34.00S,2024-01-20T00:23:20.3Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203954,,,1610612755,13,18,2024-01-20T00:23:20Z,630000,False,,,0,,J. Embiid Free Throw 2 of 2 (7 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
64,PT06M12.00S,2024-01-20T00:23:45.1Z,1,REGULAR,2pt,Jump Shot,[],1631094,10.5946123521682,69.11764705882352,1610612753,15,18,2024-01-20T00:23:50Z,640000,False,-96.0,47.0,1,left,P. Banchero 10' turnaround fadeaway Jump Shot (4 PTS),[1631094],1610612753.0,ORL,turnaround fadeaway,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Left,10.66,Made,4.0,,,,,,,,,,,,,,,,,
65,PT05M54.00S,2024-01-20T00:24:02.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,80.1084099868594,50.0,1610612755,15,18,2024-01-20T00:24:07Z,650000,False,0.0,134.0,1,right,MISS J. Embiid 13' fadeaway Shot,[203954],1610612755.0,PHI,fadeaway,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,13.45,Missed,,,,,,,,,,,,,,,,,,
66,PT05M51.00S,2024-01-20T00:24:05.4Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,15,18,2024-01-20T00:24:07Z,660000,False,,,0,,P. Banchero REBOUND (Off:0 Def:2),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,65.0,2.0,2.0,0.0,,,,,,,,,,
67,PT05M46.00S,2024-01-20T00:24:11.0Z,1,REGULAR,3pt,Jump Shot,[],1629048,24.26084099868594,85.29411764705883,1610612753,15,18,2024-01-20T00:24:18Z,670000,False,-176.0,176.0,1,left,MISS G. Bitadze 24' 3PT,[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Above the Break 3,24+ Left Center,24.9,Missed,,,,,,,,,,,,,,,,,,
68,PT05M43.00S,2024-01-20T00:24:14.0Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,15,18,2024-01-20T00:24:18Z,680000,False,,,0,,T. Harris REBOUND (Off:0 Def:2),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,,,,,,,67.0,2.0,2.0,0.0,,,,,,,,,,
69,PT05M38.00S,2024-01-20T00:24:18.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203954,92.85479632063075,52.20588235294118,1610612755,15,20,2024-01-20T00:24:30Z,690000,False,11.0,15.0,1,right,J. Embiid running Layup (9 PTS) (T. Harris 1 AST),"[203954, 202699]",1610612755.0,PHI,running,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,1.84,Made,9.0,T. Harris,202699.0,1.0,,,,,,,,,,,,,,
71,PT05M24.00S,2024-01-20T00:24:32.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,15.850854139290407,61.76470588235294,1610612753,17,20,2024-01-20T00:24:39Z,710000,False,-59.0,96.0,1,left,P. Banchero 11' pullup Jump Shot (6 PTS),[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Left,11.3,Made,6.0,,,,,,,,,,,,,,,,,
73,PT05M13.00S,2024-01-20T00:25:01.1Z,1,REGULAR,foul,personal,['2freethrow'],1629643,,,1610612755,17,20,2024-01-20T00:25:37Z,730000,False,,,0,,C. Okeke shooting personal FOUL (2 PF) (Harris 2 FT),"[1629643, 202699]",1610612753.0,ORL,shooting,,,Okeke,C. Okeke,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,1199.0,2.0,0.0,Harris,202699.0
75,PT05M13.00S,2024-01-20T00:25:21.0Z,1,REGULAR,freethrow,1 of 2,[],202699,,,1610612755,17,21,2024-01-20T00:25:21Z,750000,False,,,0,,T. Harris Free Throw 1 of 2 (6 PTS),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
76,PT05M13.00S,2024-01-20T00:25:34.4Z,1,REGULAR,substitution,out,[],1629048,,,1610612755,17,21,2024-01-20T00:26:01Z,760000,False,,,0,,SUB out: G. Bitadze,[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M13.00S,2024-01-20T00:25:34.4Z,1,REGULAR,substitution,out,[],1631216,,,1610612755,17,21,2024-01-20T00:26:01Z,770000,False,,,0,,SUB out: C. Houstan,[1631216],1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M13.00S,2024-01-20T00:25:34.4Z,1,REGULAR,substitution,out,[],1630178,,,1610612755,17,21,2024-01-20T00:26:01Z,780000,False,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
