actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-04-07T22:10:50.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-07T22:10:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-04-07T22:10:53.2Z,1,REGULAR,jumpball,recovered,[],1630591,,,1610612753,0,0,2024-04-07T22:10:53Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. N. Vucevic: Tip to J. Suggs,"[1630591, 1628976, 202696]",1610612753.0,ORL,startperiod,J. Suggs,1630591.0,Suggs,J. Suggs,Carter Jr.,1628976.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-04-07T22:11:05.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630591,92.9862023653088,50.0,1610612753,2,0,2024-04-07T22:11:10Z,70000,False,0.0,13.0,1,right,J. Suggs driving DUNK (2 PTS),[1630591],1610612753.0,ORL,driving,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,1.34,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M29.00S,2024-04-07T22:11:19.3Z,1,REGULAR,2pt,Jump Shot,[],1630245,21.23850197109067,48.03921568627451,1610612741,2,0,2024-04-07T22:11:25Z,80000,False,10.0,147.0,1,left,MISS A. Dosunmu 14' pullup Shot,[1630245],1610612741.0,CHI,pullup,,,Dosunmu,A. Dosunmu,,,,,Mid-Range,8-16 Center,14.74,Missed,,,,,,,,,,,,,,,,,,
9,PT11M26.00S,2024-04-07T22:11:22.3Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,2,0,2024-04-07T22:11:25Z,90000,False,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Mid-Range,8-16 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M22.00S,2024-04-07T22:11:26.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628976,70.12155059132719,80.3921568627451,1610612753,2,0,2024-04-07T22:11:34Z,100000,False,152.0,228.0,1,right,MISS W. Carter Jr. 27' running 3PT,[1628976],1610612753.0,ORL,running,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Right Center,27.44,Missed,,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2024-04-07T22:11:27.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,2,0,2024-04-07T22:11:34Z,110000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Above the Break 3,24+ Right Center,,,,10.0,,,,,,,,,,,,,,,,
13,PT11M02.00S,2024-04-07T22:12:03.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,15.325229960578188,51.225490196078425,1610612741,2,0,2024-04-07T22:12:07Z,130000,False,-6.0,92.0,1,left,MISS N. Vucevic 9' turnaround Hook,[202696],1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),8-16 Center,9.18,Missed,,,,,,,,,,,,,,,,,,
14,PT10M59.00S,2024-04-07T22:12:05.8Z,1,REGULAR,rebound,defensive,[],203914,,,1610612753,2,0,2024-04-07T22:12:05Z,140000,False,,,0,,G. Harris REBOUND (Off:0 Def:1),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,In The Paint (Non-RA),8-16 Center,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
15,PT10M46.00S,2024-04-07T22:12:18.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631094,87.46714848883047,54.90196078431373,1610612753,4,0,2024-04-07T22:12:23Z,150000,False,25.0,65.0,1,right,P. Banchero 6' turnaround Hook (2 PTS) (G. Harris 1 AST),"[1631094, 203914]",1610612753.0,ORL,turnaround,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,6.97,Made,2.0,,,,,G. Harris,203914.0,1.0,,,,,,,,,,
17,PT10M38.00S,2024-04-07T22:12:26.6Z,1,REGULAR,3pt,Jump Shot,[],202696,34.641918528252305,49.01960784313725,1610612741,4,0,2024-04-07T22:12:31Z,170000,False,5.0,273.0,1,left,MISS N. Vucevic 27' 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Center,27.31,Missed,,,,,,,,,,,,,,,,,,
18,PT10M34.00S,2024-04-07T22:12:30.6Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,4,0,2024-04-07T22:12:31Z,180000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Center,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,
19,PT10M20.00S,2024-04-07T22:12:44.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628976,82.60512483574244,59.55882352941176,1610612753,4,0,2024-04-07T22:12:56Z,190000,False,48.0,111.0,1,right,MISS W. Carter Jr. 12' Jump Shot,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),8-16 Center,12.09,Missed,,,,,,,,,,,,,,,,,,
20,PT10M18.00S,2024-04-07T22:12:46.0Z,1,REGULAR,rebound,offensive,[],1630532,,,1610612753,4,0,2024-04-07T22:12:56Z,200000,False,,,0,,F. Wagner REBOUND (Off:1 Def:0),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Center,,,,19.0,1.0,0.0,1.0,,,,,,,,,,,,,
