actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-04-14T17:13:24.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-14T17:13:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-04-14T17:13:27.5Z,1,REGULAR,jumpball,recovered,[],203081,,,1610612749,0,0,2024-04-14T17:13:27Z,40000,False,,,0,,Jump Ball B. Lopez vs. J. Isaac: Tip to D. Lillard,"[203081, 201572, 1628371]",1610612749.0,MIL,startperiod,D. Lillard,203081.0,Lillard,D. Lillard,Lopez,201572.0,Isaac,1628371.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2024-04-14T17:13:35.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201572,91.40932982917214,53.67647058823529,1610612749,0,0,2024-04-14T17:14:24Z,70000,False,18.0,28.0,1,right,MISS B. Lopez driving Layup - blocked,"[201572, 1628371]",1610612749.0,MIL,driving,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,3.38,Missed,Isaac,1628371.0,,,,,,,,,,,,,,,,
8,PT11M50.00S,2024-04-14T17:13:35.9Z,1,REGULAR,block,,[],1628371,,,1610612749,0,0,2024-04-14T17:13:38Z,80000,False,,,0,,J. Isaac BLOCK (1 BLK),[1628371],1610612753.0,ORL,,,,Isaac,J. Isaac,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M49.00S,2024-04-14T17:13:36.9Z,1,REGULAR,rebound,offensive,[],203114,,,1610612749,0,0,2024-04-14T17:14:24Z,90000,False,,,0,,K. Middleton REBOUND (Off:1 Def:0),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M48.00S,2024-04-14T17:13:41.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203114,94.40999984741211,50.0,1610612749,0,2,2024-04-14T17:14:32Z,100000,False,0.0,0.0,1,right,K. Middleton putback Layup (2 PTS),[203114],1610612749.0,MIL,putback,,,Middleton,K. Middleton,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,2.0,,,,,,,,,,,
11,PT11M34.00S,2024-04-14T17:13:49.0Z,1,REGULAR,2pt,Jump Shot,[],1631094,21.50131406044678,41.911764705882355,1610612753,2,2,2024-04-14T17:14:02Z,110000,False,40.0,150.0,1,left,P. Banchero 15' pullup Jump Shot (2 PTS) (J. Isaac 1 AST),"[1631094, 1628371]",1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Center,15.5,Made,,,,,,,2.0,J. Isaac,1628371.0,1.0,,,,,,,,
13,PT11M18.00S,2024-04-14T17:14:08.0Z,1,REGULAR,turnover,out-of-bounds,[],201976,,,1610612749,2,2,2024-04-14T17:14:16Z,130000,False,,,0,,P. Beverley bad pass out-of-bounds TURNOVER (1 TO),[201976],1610612749.0,MIL,bad pass,,,Beverley,P. Beverley,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,202058.0,1.0,,,,,,
14,PT11M04.00S,2024-04-14T17:14:28.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630591,30.042706964520367,70.83333333333334,1610612753,2,2,2024-04-14T17:14:36Z,140000,False,-104.0,230.0,1,left,MISS J. Suggs 25' 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Left Center,25.24,Missed,,,,,,,,,,,,,,,,,,
15,PT11M01.00S,2024-04-14T17:14:31.3Z,1,REGULAR,rebound,defensive,[],201976,,,1610612749,2,2,2024-04-14T17:14:49Z,150000,False,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612749.0,MIL,,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Left Center,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,
