actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-10T00:10:41.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-10T00:10:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-01-10T00:10:43.5Z,1,REGULAR,jumpball,recovered,[],1630591,,,1610612753,0,0,2024-01-10T00:10:43Z,40000,False,,,0,,Jump Ball G. Bitadze vs. R. Gobert: Tip to J. Suggs,"[1630591, 1629048, 203497]",1610612753.0,ORL,startperiod,J. Suggs,1630591.0,Suggs,J. Suggs,Bitadze,1629048.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M32.00S,2024-01-10T00:11:09.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,18.74178712220762,52.450980392156865,1610612753,0,0,2024-01-10T00:11:21Z,70000,False,-12.0,124.0,1,left,MISS P. Banchero 12' turnaround fadeaway Shot,[1631094],1610612753.0,ORL,turnaround fadeaway,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,12.43,Missed,,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2024-01-10T00:11:10.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,0,0,2024-01-10T00:11:21Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,,,,,,,,,,,,,,,,,
9,PT11M31.00S,2024-01-10T00:11:14.2Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612753,0,0,2024-01-10T00:12:13Z,90000,False,,,0,,ORL shot clock Team TURNOVER,[],1610612753.0,ORL,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,2003.0,,,,,,,,,,,,,,,,
10,PT11M16.00S,2024-01-10T00:11:37.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626157,91.01511169513797,3.431372549019608,1610612750,0,3,2024-01-10T00:11:43Z,100000,False,-233.0,32.0,1,right,K. Towns 3PT  (3 PTS) (A. Edwards 1 AST),"[1626157, 1630162]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,Left Corner 3,24+ Left,23.5,Made,,,3.0,A. Edwards,1630162.0,1.0,,,,,,,,,,,,
12,PT10M57.00S,2024-01-10T00:11:55.7Z,1,REGULAR,2pt,Jump Shot,[],1629643,4.681340341655716,71.81372549019608,1610612753,0,3,2024-01-10T00:12:36Z,120000,False,-109.0,-8.0,1,left,MISS C. Okeke 10' pullup Shot,[1629643],1610612753.0,ORL,pullup,,,Okeke,C. Okeke,,,,,Mid-Range,8-16 Left,10.94,Missed,,,,,,,,,,,,,,,,,,
13,PT10M54.00S,2024-01-10T00:11:58.7Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,0,3,2024-01-10T00:12:05Z,130000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,8-16 Left,,,12.0,,,,,,1.0,1.0,0.0,,,,,,,,,
14,PT10M53.00S,2024-01-10T00:12:10.8Z,1,REGULAR,foul,personal,[],1630591,,,1610612750,0,3,2024-01-10T00:12:22Z,140000,False,,,0,,J. Suggs personal FOUL (1 PF),"[1630591, 1630183]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),0-8 Center,,,,1662.0,,,,,,,,1.0,0.0,McDaniels,1630183.0,,,,,
16,PT10M43.00S,2024-01-10T00:12:31.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,91.80354796320631,54.90196078431373,1610612750,0,5,2024-01-10T00:12:36Z,160000,False,25.0,25.0,1,right,R. Gobert Layup (2 PTS) (K. Towns 1 AST),"[203497, 1626157]",1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,3.46,Made,,,2.0,K. Towns,1626157.0,1.0,,,,,,,,,,,,
18,PT10M34.00S,2024-01-10T00:12:41.1Z,1,REGULAR,3pt,Jump Shot,[],1630591,10.463206307490145,95.34313725490196,1610612753,0,5,2024-01-10T00:13:20Z,180000,False,-227.0,46.0,1,left,MISS J. Suggs step back 3PT,[1630591],1610612753.0,ORL,step back,,,Suggs,J. Suggs,,,,,Left Corner 3,24+ Left,23.13,Missed,,,,,,,,,,,,,,,,,,
19,PT10M31.00S,2024-01-10T00:12:44.1Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,0,5,2024-01-10T00:12:52Z,190000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Left Corner 3,24+ Left,,,18.0,,,,,,1.0,1.0,0.0,,,,,,,,,
