actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-02T00:10:13.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-02T00:10:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-12-02T00:10:15.8Z,1,REGULAR,jumpball,recovered,[],1629673,,,1610612764,0,0,2023-12-02T00:10:15Z,40000,False,,,0,,Jump Ball D. Gafford vs. G. Bitadze: Tip to J. Poole,"[1629673, 1629655, 1629048]",1610612764.0,WAS,startperiod,J. Poole,1629673.0,Poole,J. Poole,Gafford,1629655.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2023-12-02T00:10:38.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,6.1268068331143235,55.63725490196079,1610612764,0,2,2023-12-02T00:10:50Z,70000,False,-28.0,5.0,1,left,D. Avdija reverse Layup (2 PTS) (D. Gafford 1 AST),"[1630166, 1629655]",1610612764.0,WAS,reverse,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,2.87,Made,2.0,D. Gafford,1629655.0,1.0,,,,,,,,,,,,,,
9,PT11M13.00S,2023-12-02T00:10:59.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630591,92.32917214191852,55.63725490196079,1610612753,2,2,2023-12-02T00:11:13Z,90000,False,28.0,20.0,1,right,J. Suggs reverse Layup (2 PTS) (F. Wagner 1 AST),"[1630591, 1630532]",1610612753.0,ORL,reverse,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,3.43,Made,2.0,F. Wagner,1630532.0,1.0,,,,,,,,,,,,,,
11,PT10M58.00S,2023-12-02T00:11:16.0Z,1,REGULAR,foul,personal,['2freethrow'],1641710,,,1610612764,2,2,2023-12-02T00:11:28Z,110000,False,,,0,,A. Black shooting personal FOUL (1 PF) (Kuzma 2 FT),"[1641710, 1628398]",1610612753.0,ORL,shooting,,,Black,A. Black,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,201638.0,1.0,0.0,Kuzma,1628398.0,,,,,,,,,
13,PT10M58.00S,2023-12-02T00:11:51.5Z,1,REGULAR,freethrow,1 of 2,[],1628398,,,1610612764,2,3,2023-12-02T00:11:51Z,130000,False,,,0,,K. Kuzma Free Throw 1 of 2 (1 PTS),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
14,PT10M58.00S,2023-12-02T00:11:51.5Z,1,REGULAR,freethrow,2 of 2,[],1628398,,,1610612764,2,3,2023-12-02T00:12:15Z,140000,False,,,0,,MISS K. Kuzma Free Throw 2 of 2,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
15,PT10M55.00S,2023-12-02T00:11:54.5Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,2,3,2023-12-02T00:12:15Z,150000,False,,,0,,G. Bitadze REBOUND (Off:0 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,
16,PT10M38.00S,2023-12-02T00:12:30.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,89.30683311432325,59.55882352941176,1610612753,2,3,2023-12-02T00:12:37Z,160000,False,48.0,48.0,1,right,MISS F. Wagner 6' Layup,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,6.77,Missed,,,,,,,,,,,,,,,,,,
17,PT10M35.00S,2023-12-02T00:12:33.6Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612764,2,3,2023-12-02T00:12:37Z,170000,False,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,
