actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2023-12-28T00:10:57.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-28T00:10:57Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-12-28T00:11:01.9Z,1,REGULAR,jumpball,recovered,[],202699,,,1610612755,0,0,2023-12-28T00:11:02Z,40000,False,,,0,,Jump Ball P. Reed vs. W. Carter Jr.: Tip to T. Harris,"[202699, 1630194, 1628976]",1610612755.0,PHI,startperiod,T. Harris,202699.0,Harris,T. Harris,Reed,1630194.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2023-12-28T00:12:10.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626162,89.96386333771353,56.86274509803921,1610612755,0,0,2023-12-28T00:12:17Z,90000,False,34.0,42.0,1,right,MISS K. Oubre Jr. driving Layup - blocked,"[1626162, 1628976]",1610612755.0,PHI,driving,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.41,Missed,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,
10,PT11M34.00S,2023-12-28T00:12:10.2Z,1,REGULAR,block,,[],1628976,,,1610612755,0,0,2023-12-28T00:12:13Z,100000,False,,,0,,W. Carter Jr. BLOCK (1 BLK),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M34.00S,2023-12-28T00:12:10.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,0,0,2023-12-28T00:12:17Z,110000,False,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,9.0,,,,,,,,,,,,,,,
13,PT11M17.00S,2023-12-28T00:12:33.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628976,14.011169513797633,50.73529411764706,1610612753,0,0,2023-12-28T00:12:39Z,130000,False,-4.0,79.0,1,left,MISS W. Carter Jr. 7' floating Shot,[1628976],1610612753.0,ORL,floating,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,7.93,Missed,,,,,,,,,,,,,,,,,,
14,PT11M16.00S,2023-12-28T00:12:34.3Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,0,0,2023-12-28T00:12:39Z,140000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,
15,PT11M07.00S,2023-12-28T00:12:43.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,84.70762155059133,42.40196078431372,1610612755,0,2,2023-12-28T00:12:47Z,150000,False,-38.0,91.0,1,right,T. Harris 9' driving floating bank Jump Shot (2 PTS),[202699],1610612755.0,PHI,driving floating bank,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,9.88,Made,,,,,,,2.0,,,,,,,,,,,
16,PT10M50.00S,2023-12-28T00:13:00.4Z,1,REGULAR,turnover,bad pass,[],1631094,,,1610612753,0,2,2023-12-28T00:13:03Z,160000,False,,,0,,P. Banchero bad pass TURNOVER (1 TO),"[1631094, 1629001]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,1.0,Melton,1629001.0,,,,,,,,
17,PT10M50.00S,2023-12-28T00:13:00.4Z,1,REGULAR,steal,,[],1629001,,,1610612755,0,2,2023-12-28T00:13:02Z,170000,False,,,0,,D. Melton STEAL (1 STL),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
