actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-19T23:10:40.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-19T23:10:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2024-03-19T23:10:44.5Z,1,REGULAR,jumpball,recovered,[],1630591,,,1610612753,0,0,2024-03-19T23:10:44Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. N. Richards: Tip to J. Suggs,"[1630591, 1628976, 1630208]",1610612753.0,ORL,startperiod,J. Suggs,1630591.0,Suggs,J. Suggs,Carter Jr.,1628976.0,Richards,1630208.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2024-03-19T23:11:04.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,92.46057818659659,46.81372549019608,1610612753,2,0,2024-03-19T23:11:13Z,70000,False,-16.0,18.0,1,right,F. Wagner driving Layup (2 PTS),[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,2.43,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M16.00S,2024-03-19T23:11:22.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203995,20.05584756898817,55.392156862745104,1610612766,2,2,2024-03-19T23:11:27Z,80000,False,-27.0,136.0,1,left,V. Micic 13' pullup Jump Shot (2 PTS),[203995],1610612766.0,CHA,pullup,,,Micic,V. Micic,,,,,In The Paint (Non-RA),8-16 Center,13.87,Made,2.0,,,,,,,,,,,,,,,,,
9,PT10M48.00S,2024-03-19T23:11:52.8Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612753,2,2,2024-03-19T23:12:01Z,90000,False,,,0,,ORL shot clock Team TURNOVER,[],1610612753.0,ORL,,,,,,,,,,Above the Break 3,24+ Right Center,,,,1627962.0,,,,,,,,,,,,,,,,
10,PT10M31.00S,2024-03-19T23:12:20.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203995,20.367936925098554,85.80729166666666,1610612766,2,4,2024-03-19T23:12:27Z,100000,False,-179.0,139.0,1,left,V. Micic 22' Jump Shot (4 PTS) (B. Miller 1 AST),"[203995, 1641706]",1610612766.0,CHA,,,,Micic,V. Micic,,,,,Mid-Range,16-24 Left Center,22.66,Made,4.0,,B. Miller,1641706.0,1.0,,,,,,,,,,,,,
12,PT10M18.00S,2024-03-19T23:12:36.2Z,1,REGULAR,foul,personal,[],203995,,,1610612753,2,4,2024-03-19T23:12:52Z,120000,False,,,0,,V. Micic personal FOUL (1 PF),"[203995, 1628976]",1610612766.0,CHA,,,,Micic,V. Micic,,,,,Restricted Area,0-8 Center,,,,202058.0,,,,1.0,0.0,Carter Jr.,1628976.0,,,,,,,,,
14,PT10M06.00S,2024-03-19T23:13:13.3Z,1,REGULAR,turnover,out-of-bounds,[],1628976,,,1610612753,2,4,2024-03-19T23:13:27Z,140000,False,,,0,,W. Carter Jr. step out-of-bounds TURNOVER (1 TO),[1628976],1610612753.0,ORL,step,,,Carter Jr.,W. Carter Jr.,,,,,Right Corner 3,24+ Right,,,,202058.0,,,,,,,,1.0,,,,,,,,
15,PT09M44.00S,2024-03-19T23:13:45.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203995,30.56833114323259,70.09803921568627,1610612766,2,4,2024-03-19T23:13:50Z,150000,False,-100.0,235.0,1,left,MISS V. Micic 25' 3PT,[203995],1610612766.0,CHA,,,,Micic,V. Micic,,,,,Above the Break 3,24+ Left Center,25.54,Missed,,,,,,,,,,,,,,,,,,
16,PT09M41.00S,2024-03-19T23:13:48.8Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,2,4,2024-03-19T23:13:50Z,160000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,
17,PT09M39.00S,2024-03-19T23:13:54.2Z,1,REGULAR,foul,personal,[],1641706,,,1610612753,2,4,2024-03-19T23:14:02Z,170000,False,,,0,,B. Miller personal FOUL (1 PF),"[1641706, 1630591]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,Mid-Range,16-24 Right Center,,,,202058.0,,,,1.0,0.0,Suggs,1630591.0,,,,,,,,,
19,PT09M30.00S,2024-03-19T23:14:20.7Z,1,REGULAR,turnover,out-of-bounds,[],203914,,,1610612753,2,4,2024-03-19T23:14:28Z,190000,False,,,0,,G. Harris step out-of-bounds TURNOVER (1 TO),[203914],1610612753.0,ORL,step,,,Harris,G. Harris,,,,,Right Corner 3,24+ Right,,,,1627962.0,,,,,,,,1.0,,,,,,,,
20,PT09M10.00S,2024-03-19T23:14:47.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1641706,18.347568988173457,37.99019607843137,1610612766,2,4,2024-03-19T23:14:52Z,200000,False,60.0,120.0,1,left,MISS B. Miller 13' pullup Shot,[1641706],1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,In The Paint (Non-RA),8-16 Center,13.42,Missed,,,,,,,,,,,,,,,,,,
21,PT09M07.00S,2024-03-19T23:14:50.6Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,2,4,2024-03-19T23:14:52Z,210000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,20.0,2.0,2.0,0.0,,,,
22,PT08M54.00S,2024-03-19T23:15:03.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,92.72339027595268,46.568627450980394,1610612753,4,4,2024-03-19T23:15:09Z,220000,False,-17.0,16.0,1,right,P. Banchero driving Layup (2 PTS),[1631094],1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,2.34,Made,2.0,,,,,,,,,,,,,,,,,
23,PT08M30.00S,2024-03-19T23:15:30.7Z,1,REGULAR,turnover,out-of-bounds,[],203995,,,1610612766,4,4,2024-03-19T23:15:50Z,230000,False,,,0,,V. Micic lost ball out-of-bounds TURNOVER (1 TO),[203995],1610612766.0,CHA,lost ball,,,Micic,V. Micic,,,,,In The Paint (Non-RA),0-8 Center,,,,202058.0,,,,,,,,1.0,,,,,,,,
24,PT08M19.00S,2024-03-19T23:15:50.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628976,66.17936925098554,56.61764705882353,1610612753,4,4,2024-03-19T23:15:55Z,240000,False,33.0,265.0,1,right,MISS W. Carter Jr. 26' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Center,26.75,Missed,,,,,,,,,,,,,,,,,,
25,PT08M15.00S,2024-03-19T23:15:54.3Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,4,4,2024-03-19T23:15:55Z,250000,False,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,
26,PT08M09.00S,2024-03-19T23:16:01.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630544,9.017739816031538,56.372549019607845,1610612766,4,4,2024-03-19T23:17:06Z,260000,False,-32.0,32.0,1,left,MISS T. Mann driving floating Shot,[1630544],1610612766.0,CHA,driving floating,,,Mann,T. Mann,,,,,In The Paint (Non-RA),0-8 Center,4.54,Missed,,,,,,,,,,,,,,,,,,
27,PT08M09.00S,2024-03-19T23:16:01.8Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,4,4,2024-03-19T23:17:06Z,270000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:3),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,26.0,3.0,3.0,0.0,,,,
28,PT07M55.00S,2024-03-19T23:16:14.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630591,93.64323258869908,54.41176470588235,1610612753,6,4,2024-03-19T23:17:26Z,280000,False,22.0,7.0,1,right,J. Suggs cutting Layup (2 PTS) (P. Banchero 1 AST),"[1630591, 1631094]",1610612753.0,ORL,cutting,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,2.33,Made,2.0,,P. Banchero,1631094.0,1.0,,,,,,,,,,,,,
30,PT07M39.00S,2024-03-19T23:16:31.8Z,1,REGULAR,foul,personal,['2freethrow'],1628976,,,1610612766,6,4,2024-03-19T23:16:45Z,300000,False,,,0,,W. Carter Jr. shooting personal FOUL (1 PF) (Micic 2 FT),"[1628976, 203995]",1610612753.0,ORL,shooting,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,8-16 Right,,,,202058.0,,,,1.0,0.0,Micic,203995.0,,,,,,,,,
32,PT07M39.00S,2024-03-19T23:17:06.4Z,1,REGULAR,freethrow,1 of 2,[],203995,,,1610612766,6,5,2024-03-19T23:17:06Z,320000,False,,,0,,V. Micic Free Throw 1 of 2 (5 PTS),[203995],1610612766.0,CHA,,,,Micic,V. Micic,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
33,PT07M39.00S,2024-03-19T23:17:26.6Z,1,REGULAR,freethrow,2 of 2,[],203995,,,1610612766,6,6,2024-03-19T23:17:26Z,330000,False,,,0,,V. Micic Free Throw 2 of 2 (6 PTS),[203995],1610612766.0,CHA,,,,Micic,V. Micic,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
34,PT07M19.00S,2024-03-19T23:17:48.5Z,1,REGULAR,3pt,Jump Shot,[],1630591,80.1084099868594,93.13725490196079,1610612753,6,6,2024-03-19T23:17:55Z,340000,False,216.0,134.0,1,right,MISS J. Suggs 25' step back 3PT,[1630591],1610612753.0,ORL,step back,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Right Center,25.42,Missed,,,,,,,,,,,,,,,,,,
35,PT07M16.00S,2024-03-19T23:17:51.5Z,1,REGULAR,rebound,defensive,[],1641706,,,1610612766,6,6,2024-03-19T23:21:12Z,350000,False,,,0,,B. Miller REBOUND (Off:0 Def:1),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,
36,PT07M12.00S,2024-03-19T23:17:55.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641706,7.178055190538765,47.05882352941176,1610612766,6,6,2024-03-19T23:18:05Z,360000,False,15.0,15.0,1,left,MISS B. Miller running Layup,[1641706],1610612766.0,CHA,running,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,2.1,Missed,,,,,,,,,,,,,,,,,,
37,PT07M09.00S,2024-03-19T23:17:58.4Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,6,6,2024-03-19T23:18:05Z,370000,False,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,36.0,1.0,1.0,0.0,,,,
38,PT07M07.00S,2024-03-19T23:18:00.6Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1630532,93.64323258869908,50.73529411764706,1610612753,8,6,2024-03-19T23:19:14Z,380000,False,4.0,7.0,1,right,F. Wagner running DUNK (4 PTS) (J. Suggs 1 AST),"[1630532, 1630591]",1610612753.0,ORL,running,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,0.82,Made,4.0,,J. Suggs,1630591.0,1.0,,,,,,,,,,,,,
48,PT06M50.00S,2024-03-19T23:18:10.3Z,1,REGULAR,2pt,Jump Shot,[],1641706,19.793035479632064,67.8921568627451,1610612766,8,6,2024-03-19T23:20:15Z,387500,False,-89.0,134.0,1,left,MISS B. Miller 16' pullup Shot - blocked,"[1641706, 1630591]",1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,Mid-Range,16-24 Left Center,16.08,Missed,,,,,,,,,,,,,,,Suggs,1630591.0,,
49,PT06M50.00S,2024-03-19T23:18:10.3Z,1,REGULAR,block,,[],1630591,,,1610612766,8,6,2024-03-19T23:20:15Z,388750,False,,,0,,J. Suggs BLOCK (1 BLK),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
50,PT06M49.00S,2024-03-19T23:18:11.3Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,8,6,2024-03-19T23:20:29Z,389375,False,,,0,,J. Suggs REBOUND (Off:0 Def:2),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,48.0,2.0,2.0,0.0,,,,
41,PT06M37.00S,2024-03-19T23:18:30.7Z,1,REGULAR,3pt,Jump Shot,[],203914,91.67214191852825,3.1862745098039214,1610612753,8,6,2024-03-19T23:20:20Z,410000,False,-234.0,26.0,1,right,MISS G. Harris 3PT,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,Left Corner 3,24+ Left,23.55,Missed,,,,,,,,,,,,,,,,,,
42,PT06M31.00S,2024-03-19T23:18:36.7Z,1,REGULAR,rebound,defensive,[],1641706,,,1610612766,8,6,2024-03-19T23:18:40Z,420000,False,,,0,,B. Miller REBOUND (Off:0 Def:2),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,41.0,2.0,2.0,0.0,,,,
43,PT06M27.00S,2024-03-19T23:18:41.0Z,1,REGULAR,3pt,Jump Shot,[],1628970,27.54599211563732,22.058823529411764,1610612766,8,6,2024-03-19T23:18:51Z,430000,False,140.0,206.0,1,left,MISS M. Bridges 24' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,24.92,Missed,,,,,,,,,,,,,,,,,,
44,PT06M26.00S,2024-03-19T23:18:42.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,8,6,2024-03-19T23:18:51Z,440000,False,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,43.0,,,,,,,
46,PT06M26.00S,2024-03-19T23:18:57.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,8,6,2024-03-19T23:18:57Z,460000,False,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
