actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-10T22:11:03.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-10T22:11:03Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-10T22:11:05.3Z,1,REGULAR,jumpball,recovered,[],1631094,,,1610612753,0,0,2024-03-10T22:11:05Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. M. Turner: Tip to P. Banchero,"[1631094, 1628976, 1626167]",1610612753.0,ORL,startperiod,P. Banchero,1631094.0,Banchero,P. Banchero,Carter Jr.,1628976.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-03-10T22:11:20.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,86.94152431011827,56.127450980392155,1610612753,2,0,2024-03-10T22:11:28Z,70000,False,31.0,70.0,1,right,F. Wagner 7' driving floating Jump Shot (2 PTS),[1630532],1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,7.66,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M17.00S,2024-03-10T22:11:44.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629614,16.90210249671485,41.66666666666667,1610612754,2,0,2024-03-10T22:11:52Z,80000,False,42.0,106.0,1,left,MISS A. Nembhard 11' turnaround fadeaway Shot,[1629614],1610612754.0,IND,turnaround fadeaway,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Center,11.43,Missed,,,,,,,,,,,,,,,,,,
9,PT11M14.00S,2024-03-10T22:11:47.5Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,2,0,2024-03-10T22:11:52Z,90000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M02.00S,2024-03-10T22:12:04.5Z,1,REGULAR,foul,personal,['2freethrow'],1626167,,,1610612753,2,0,2024-03-10T22:12:14Z,100000,False,,,0,,M. Turner shooting personal FOUL (1 PF) (Wagner 2 FT),"[1626167, 1630532]",1610612754.0,IND,shooting,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1198.0,1.0,0.0,Wagner,1630532.0,,,,,,,,
12,PT11M02.00S,2024-03-10T22:12:27.1Z,1,REGULAR,freethrow,1 of 2,[],1630532,,,1610612753,3,0,2024-03-10T22:12:45Z,120000,False,,,0,,F. Wagner Free Throw 1 of 2 (3 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
13,PT11M02.00S,2024-03-10T22:12:27.1Z,1,REGULAR,freethrow,2 of 2,[],1630532,,,1610612753,3,0,2024-03-10T22:12:45Z,130000,False,,,0,,MISS F. Wagner Free Throw 2 of 2,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2024-03-10T22:12:29.1Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,3,0,2024-03-10T22:12:45Z,140000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
15,PT10M48.00S,2024-03-10T22:12:54.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,7.30946123521682,54.41176470588235,1610612754,3,2,2024-03-10T22:13:01Z,150000,False,-22.0,16.0,1,left,P. Siakam driving Layup (2 PTS) (A. Nembhard 1 AST),"[1627783, 1629614]",1610612754.0,IND,driving,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,2.74,Made,2.0,,,,,,,,,,A. Nembhard,1629614.0,1.0,,,,,
17,PT10M34.00S,2024-03-10T22:13:08.9Z,1,REGULAR,3pt,Jump Shot,[],1631094,69.59592641261499,73.52941176470588,1610612753,3,2,2024-03-10T22:13:14Z,170000,False,118.0,233.0,1,right,MISS P. Banchero 26' pullup 3PT,[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Right Center,26.13,Missed,,,,,,,,,,,,,,,,,,
18,PT10M31.00S,2024-03-10T22:13:11.9Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,3,2,2024-03-10T22:13:14Z,180000,False,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,
19,PT10M22.00S,2024-03-10T22:13:21.7Z,1,REGULAR,3pt,Jump Shot,[],1626167,5.601182654402102,3.6764705882352944,1610612754,3,2,2024-03-10T22:13:27Z,190000,False,232.0,0.0,1,left,MISS M. Turner 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Right Corner 3,24+ Right,23.16,Missed,,,,,,,,,,,,,,,,,,
20,PT10M18.00S,2024-03-10T22:13:25.7Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,3,2,2024-03-10T22:13:27Z,200000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Right Corner 3,24+ Right,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,
22,PT10M09.00S,2024-03-10T22:13:54.6Z,1,REGULAR,3pt,Jump Shot,[],1628976,68.15045992115637,70.09803921568627,1610612753,3,2,2024-03-10T22:14:03Z,220000,False,100.0,247.0,1,right,MISS W. Carter Jr. 26' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Right Center,26.66,Missed,,,,,,,,,,,,,,,,,,
23,PT10M06.00S,2024-03-10T22:13:57.6Z,1,REGULAR,rebound,offensive,[],1631216,,,1610612753,3,2,2024-03-10T22:38:14Z,230000,False,,,0,,C. Houstan REBOUND (Off:1 Def:0),[1631216],1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,Above the Break 3,24+ Right Center,,,,22.0,1.0,0.0,1.0,,,,,,,,,,,,,
24,PT10M05.00S,2024-03-10T22:14:01.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631216,92.59198423127464,49.754901960784316,1610612753,3,2,2024-03-10T22:38:34Z,240000,False,-1.0,17.0,1,right,MISS C. Houstan putback Layup,[1631216],1610612753.0,ORL,putback,,,Houstan,C. Houstan,,,,,Restricted Area,0-8 Center,1.71,Missed,,,,,,,,,,,,,,,,,,
25,PT10M04.00S,2024-03-10T22:14:02.0Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,3,2,2024-03-10T22:38:34Z,250000,False,,,0,,W. Carter Jr. REBOUND (Off:1 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,24.0,2.0,1.0,1.0,,,,,,,,,,,,,
26,PT10M02.00S,2024-03-10T22:14:04.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628976,93.24901445466492,51.9607843137255,1610612753,3,2,2024-03-10T22:38:43Z,260000,False,10.0,11.0,1,right,MISS W. Carter Jr. putback Layup,[1628976],1610612753.0,ORL,putback,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,1.47,Missed,,,,,,,,,,,,,,,,,,
27,PT10M01.00S,2024-03-10T22:14:05.4Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,3,2,2024-03-10T22:38:43Z,270000,False,,,0,,W. Carter Jr. REBOUND (Off:2 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,26.0,3.0,1.0,2.0,,,,,,,,,,,,,
28,PT09M55.00S,2024-03-10T22:14:08.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628976,91.5407358738502,49.26470588235294,1610612753,5,2,2024-03-10T22:14:14Z,280000,False,-4.0,27.0,1,right,W. Carter Jr. putback Layup (2 PTS),[1628976],1610612753.0,ORL,putback,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,2.73,Made,2.0,,,,,,,,,,,,,,,,,
29,PT09M42.00S,2024-03-10T22:14:20.9Z,1,REGULAR,3pt,Jump Shot,[],1630169,34.510512483574246,26.96078431372549,1610612754,5,2,2024-03-10T22:14:27Z,290000,False,115.0,272.0,1,left,MISS T. Haliburton 29' pullup 3PT,[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,29.53,Missed,,,,,,,,,,,,,,,,,,
30,PT09M40.00S,2024-03-10T22:14:22.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,5,2,2024-03-10T22:14:27Z,300000,False,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Above the Break 3,24+ Right Center,,,,29.0,,,,,,,,,,,,,,,,
32,PT09M26.00S,2024-03-10T22:14:50.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,91.5407358738502,54.41176470588235,1610612753,7,2,2024-03-10T22:14:56Z,320000,False,22.0,27.0,1,right,F. Wagner driving Layup (5 PTS) (W. Carter Jr. 1 AST),"[1630532, 1628976]",1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,3.49,Made,5.0,,,,,,,,,,W. Carter Jr.,1628976.0,1.0,,,,,
34,PT09M14.00S,2024-03-10T22:15:01.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,19.004599211563733,51.9607843137255,1610612754,7,2,2024-03-10T22:45:45Z,340000,False,-10.0,126.0,1,left,MISS P. Siakam 12' turnaround fadeaway Shot,[1627783],1610612754.0,IND,turnaround fadeaway,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,12.65,Missed,,,,,,,,,,,,,,,,,,
