actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2023-12-21T00:12:38.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-21T00:12:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-12-21T00:12:40.8Z,1,REGULAR,jumpball,recovered,[],200768,,,1610612748,0,0,2023-12-21T00:12:40Z,40000,False,,,0,,Jump Ball B. Adebayo vs. W. Carter Jr.: Tip to K. Lowry,"[200768, 1628389, 1628976]",1610612748.0,MIA,startperiod,K. Lowry,200768.0,Lowry,K. Lowry,Adebayo,1628389.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2023-12-21T00:13:29.9Z,1,REGULAR,2pt,Jump Shot,[],1628389,88.12417871222075,73.0392156862745,1610612748,0,0,2023-12-21T00:14:04Z,80000,False,115.0,59.0,1,right,MISS B. Adebayo 12' turnaround Shot,[1628389],1610612748.0,MIA,turnaround,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Right,12.95,Missed,,,,,,,,,,,,,,,,,,
9,PT11M45.00S,2023-12-21T00:13:36.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,0,0,2023-12-21T00:13:36Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Mid-Range,8-16 Right,,,8.0,,,,,,,,,,,,,,,,,
10,PT11M45.00S,2023-12-21T00:13:40.3Z,1,REGULAR,foul,personal,[],1641710,,,1610612748,0,0,2023-12-21T00:14:22Z,100000,False,,,0,,A. Black double personal FOUL (1 PF),"[1641710, 200768]",1610612753.0,ORL,double,,,Black,A. Black,,,,,In The Paint (Non-RA),0-8 Center,,,,202035.0,1.0,0.0,Lowry,200768.0,,,,,,,,,,,,
15,PT11M45.00S,2023-12-21T00:13:40.3Z,1,REGULAR,foul,personal,[],200768,,,1610612748,0,0,2023-12-21T00:14:22Z,115000,False,,,0,,K. Lowry double personal FOUL (1 PF),"[200768, 1641710]",1610612748.0,MIA,double,,,Lowry,K. Lowry,,,,,In The Paint (Non-RA),0-8 Center,,,,,1.0,0.0,Black,1641710.0,,,,,,,,,,,,
12,PT11M34.00S,2023-12-21T00:14:00.0Z,1,REGULAR,2pt,Jump Shot,[],1629639,79.31997371879106,52.450980392156865,1610612748,0,2,2023-12-21T00:15:04Z,120000,False,12.0,142.0,1,right,T. Herro 14' driving floating bank Jump Shot (2 PTS),[1629639],1610612748.0,MIA,driving floating bank,,,Herro,T. Herro,,,,,Mid-Range,8-16 Center,14.24,Made,,,,,,,2.0,,,,,,,,,,,
13,PT11M21.00S,2023-12-21T00:14:14.1Z,1,REGULAR,turnover,lost ball,[],1630591,,,1610612753,0,2,2023-12-21T00:14:25Z,130000,False,,,0,,J. Suggs lost ball TURNOVER (1 TO),"[1630591, 1628997]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,1.0,Martin,1628997.0,,,,,,,,
14,PT11M21.00S,2023-12-21T00:14:14.1Z,1,REGULAR,steal,,[],1628997,,,1610612748,0,2,2023-12-21T00:23:09Z,140000,False,,,0,,C. Martin STEAL (1 STL),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
17,PT11M08.00S,2023-12-21T00:14:26.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628997,80.6340341655716,50.98039215686274,1610612748,0,2,2023-12-21T00:15:52Z,150000,False,5.0,130.0,1,right,MISS C. Martin 12' driving finger roll Layup - blocked,"[1628997, 1630532]",1610612748.0,MIA,driving finger roll,,,Martin,C. Martin,,,,,In The Paint (Non-RA),8-16 Center,12.96,Missed,,,,,,,,,,,Wagner,1630532.0,,,,,,
