actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-22T00:11:02.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-22T00:11:02Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-11-22T00:11:05.5Z,1,REGULAR,jumpball,recovered,[],203471,,,1610612761,0,0,2023-11-22T00:11:05Z,40000,False,,,0,,Jump Ball J. Poeltl vs. G. Bitadze: Tip to D. Schroder,"[203471, 1627751, 1629048]",1610612761.0,TOR,startperiod,D. Schroder,203471.0,Schroder,D. Schroder,Poeltl,1627751.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-11-22T00:11:20.9Z,1,REGULAR,2pt,Jump Shot,[],203471,7.178055190538765,24.264705882352942,1610612761,0,2,2023-11-22T00:12:41Z,70000,False,129.0,15.0,1,left,D. Schroder 12' pullup Jump Shot (2 PTS),[203471],1610612761.0,TOR,pullup,,,Schroder,D. Schroder,,,,,Mid-Range,8-16 Right,12.96,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2023-11-22T00:11:28.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630591,92.32917214191852,50.0,1610612753,2,2,2023-11-22T00:13:29Z,80000,False,0.0,20.0,1,right,J. Suggs driving Layup (2 PTS),[1630591],1610612753.0,ORL,driving,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,1.96,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M25.00S,2023-11-22T00:11:43.5Z,1,REGULAR,foul,personal,[],1630591,,,1610612761,2,2,2023-11-22T00:11:56Z,90000,False,,,0,,J. Suggs personal FOUL (1 PF),"[1630591, 203471]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Left Center,,,,202058.0,1.0,0.0,Schroder,203471.0,,,,,,,,,,,,
11,PT11M17.00S,2023-11-22T00:12:09.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,6.258212877792378,49.754901960784316,1610612761,2,4,2023-11-22T00:12:13Z,110000,False,1.0,6.0,1,left,J. Poeltl Layup (2 PTS) (P. Siakam 1 AST),"[1627751, 1627783]",1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,0.64,Made,2.0,,,,,,P. Siakam,1627783.0,1.0,,,,,,,,,
13,PT10M58.00S,2023-11-22T00:12:28.5Z,1,REGULAR,2pt,Jump Shot,[],1631094,78.79434954007884,64.70588235294117,1610612753,2,4,2023-11-22T00:12:32Z,130000,False,74.0,147.0,1,right,MISS P. Banchero 16' pullup Shot,[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Right Center,16.42,Missed,,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2023-11-22T00:12:31.3Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,2,4,2023-11-22T00:12:31Z,140000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,
15,PT10M52.00S,2023-11-22T00:12:34.8Z,1,REGULAR,turnover,bad pass,[],1630567,,,1610612761,2,4,2023-11-22T00:12:45Z,150000,False,,,0,,S. Barnes bad pass TURNOVER (1 TO),"[1630567, 1630532]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,1.0,Wagner,1630532.0,,
16,PT10M52.00S,2023-11-22T00:12:34.8Z,1,REGULAR,steal,,[],1630532,,,1610612753,2,4,2023-11-22T00:12:36Z,160000,False,,,0,,F. Wagner STEAL (1 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
