actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-12-12T00:10:37.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-12T00:10:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-12-12T00:10:40.3Z,1,REGULAR,jumpball,recovered,[],1628378,,,1610612739,0,0,2023-12-12T00:10:40Z,40000,False,,,0,,Jump Ball J. Allen vs. G. Bitadze: Tip to D. Mitchell,"[1628378, 1628386, 1629048]",1610612739.0,CLE,startperiod,D. Mitchell,1628378.0,Mitchell,D. Mitchell,Allen,1628386.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-12-12T00:10:53.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,93.64323258869908,61.51960784313726,1610612739,0,0,2023-12-12T00:11:00Z,70000,False,58.0,7.0,1,right,MISS D. Garland driving Layup,[1629636],1610612739.0,CLE,driving,,,Garland,D. Garland,,,,,In The Paint (Non-RA),0-8 Center,5.81,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2023-12-12T00:10:54.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,0,0,2023-12-12T00:11:00Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2023-12-12T00:11:23.1Z,1,REGULAR,2pt,Jump Shot,[],1630532,6.1268068331143235,79.16666666666666,1610612753,2,0,2023-12-12T00:11:27Z,100000,False,-146.0,5.0,1,left,F. Wagner 14' step back Jump Shot (2 PTS),[1630532],1610612753.0,ORL,step back,,,Wagner,F. Wagner,,,,,Mid-Range,8-16 Left,14.59,Made,,2.0,,,,,,,,,,,,,,,,
11,PT11M02.00S,2023-12-12T00:11:43.2Z,1,REGULAR,2pt,Jump Shot,[],1628378,77.7431011826544,50.73529411764706,1610612739,2,2,2023-12-12T00:11:49Z,110000,False,4.0,157.0,1,right,D. Mitchell 15' pullup Jump Shot (2 PTS),[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Center,15.67,Made,,2.0,,,,,,,,,,,,,,,,
12,PT10M41.00S,2023-12-12T00:12:04.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629048,7.046649145860711,53.92156862745098,1610612753,4,2,2023-12-12T00:12:08Z,120000,False,-20.0,14.0,1,left,G. Bitadze Layup (2 PTS) (F. Wagner 1 AST),"[1629048, 1630532]",1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,2.39,Made,,2.0,F. Wagner,1630532.0,1.0,,,,,,,,,,,,,
14,PT10M25.00S,2023-12-12T00:12:20.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,90.75229960578186,45.34313725490196,1610612739,4,4,2023-12-12T00:12:25Z,140000,False,-23.0,34.0,1,right,J. Allen Hook (2 PTS) (M. Strus 1 AST),"[1628386, 1629622]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,4.15,Made,,2.0,M. Strus,1629622.0,1.0,,,,,,,,,,,,,
16,PT10M17.00S,2023-12-12T00:12:27.8Z,1,REGULAR,turnover,lost ball,[],1631094,,,1610612753,4,4,2023-12-12T00:12:32Z,160000,False,,,0,,P. Banchero lost ball TURNOVER (1 TO),"[1631094, 1629731]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Right Center,,,,,,,,1.0,Wade,1629731.0,,,,,,,,,,
17,PT10M17.00S,2023-12-12T00:12:27.8Z,1,REGULAR,steal,,[],1629731,,,1610612739,4,4,2023-12-12T00:12:29Z,170000,False,,,0,,D. Wade STEAL (1 STL),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
18,PT10M09.00S,2023-12-12T00:12:39.1Z,1,REGULAR,foul,offensive,[],1629731,,,1610612739,4,4,2023-12-12T00:12:54Z,180000,False,,,0,,D. Wade off-the-ball offensive FOUL (1 PF),"[1629731, 1641710]",1610612739.0,CLE,off-the-ball,,,Wade,D. Wade,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,201639.0,1.0,0.0,Black,1641710.0,,,,,
20,PT10M09.00S,2023-12-12T00:12:39.1Z,1,REGULAR,turnover,offensive foul,[],1629731,,,1610612739,4,4,2023-12-12T00:12:39Z,200000,False,,,0,,D. Wade offensive foul TURNOVER (1 TO),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Above the Break 3,24+ Right Center,,,,,,,,1.0,,,201639.0,,,,,,,,,
21,PT09M57.00S,2023-12-12T00:13:13.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631094,8.360709592641262,59.31372549019608,1610612753,4,4,2023-12-12T00:33:18Z,210000,False,-47.0,26.0,1,left,MISS P. Banchero Layup,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,5.34,Missed,,,,,,,,,,,,,,,,,,
22,PT09M56.00S,2023-12-12T00:13:14.5Z,1,REGULAR,rebound,offensive,[],1631094,,,1610612753,4,4,2023-12-12T00:33:18Z,220000,False,,,0,,P. Banchero REBOUND (Off:1 Def:0),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,21.0,,,,,,,,,,,,,1.0,0.0,1.0,,
134,PT09M56.00S,2023-12-12T00:13:16.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1631094,8.065045992115643,52.94117647058824,1610612753,4,4,2023-12-12T00:33:27Z,225000,False,-15.0,23.0,1,left,MISS P. Banchero tip Layup,[1631094],1610612753.0,ORL,tip,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,2.75,Missed,,,,,,,,,,,,,,,,,,
135,PT09M55.00S,2023-12-12T00:13:17.2Z,1,REGULAR,rebound,offensive,[],1629048,,,1610612753,4,4,2023-12-12T00:33:27Z,227500,False,,,0,,G. Bitadze REBOUND (Off:1 Def:0),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,134.0,,,,,,,,,,,,,1.0,0.0,1.0,,
23,PT09M54.00S,2023-12-12T00:13:19.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629048,5.590000152587891,50.0,1610612753,4,4,2023-12-12T00:32:04Z,230000,False,0.0,0.0,1,left,MISS G. Bitadze tip Layup,[1629048],1610612753.0,ORL,tip,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
24,PT09M53.00S,2023-12-12T00:13:20.0Z,1,REGULAR,rebound,offensive,[],1631094,,,1610612753,4,4,2023-12-12T00:15:12Z,240000,False,,,0,,P. Banchero REBOUND (Off:2 Def:0),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,23.0,,,,,,,,,,,,,2.0,0.0,2.0,,
25,PT09M53.00S,2023-12-12T00:13:20.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1631094,8.015768725361367,53.69944852941176,1610612753,4,4,2023-12-12T00:33:53Z,250000,False,-18.0,23.0,1,left,MISS P. Banchero putback Layup,[1631094],1610612753.0,ORL,putback,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,2.94,Missed,,,,,,,,,,,,,,,,,,
26,PT09M49.00S,2023-12-12T00:13:24.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,4,4,2023-12-12T00:15:36Z,260000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Restricted Area,0-8 Center,,,25.0,,,,,,,,,,,,,,,,,
28,PT09M38.00S,2023-12-12T00:13:46.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630532,8.492115637319317,3.6764705882352944,1610612753,4,4,2023-12-12T00:13:51Z,280000,False,232.0,27.0,1,left,MISS F. Wagner 3PT,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Right Corner 3,24+ Right,23.32,Missed,,,,,,,,,,,,,,,,,,
29,PT09M34.00S,2023-12-12T00:13:50.5Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,4,4,2023-12-12T00:13:51Z,290000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Right Corner 3,24+ Right,,,28.0,,,,,,,,,,,,,1.0,1.0,0.0,,
30,PT09M32.00S,2023-12-12T00:13:52.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629636,93.24901445466492,55.88235294117647,1610612739,4,6,2023-12-12T00:13:59Z,300000,False,29.0,11.0,1,right,D. Garland running Layup (2 PTS) (D. Mitchell 1 AST),"[1629636, 1628378]",1610612739.0,CLE,running,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,3.14,Made,,2.0,D. Mitchell,1628378.0,1.0,,,,,,,,,,,,,
33,PT09M20.00S,2023-12-12T00:14:19.6Z,1,REGULAR,turnover,bad pass,[],1630591,,,1610612753,4,6,2023-12-12T00:14:23Z,330000,False,,,0,,J. Suggs bad pass TURNOVER (1 TO),"[1630591, 1628386]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Mid-Range,8-16 Left,,,,,,,,1.0,Allen,1628386.0,,,,,,,,,,
34,PT09M20.00S,2023-12-12T00:14:19.6Z,1,REGULAR,steal,,[],1628386,,,1610612739,4,6,2023-12-12T00:14:21Z,340000,False,,,0,,J. Allen STEAL (1 STL),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
35,PT09M15.00S,2023-12-12T00:14:24.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629636,88.91261498028909,2.941176470588235,1610612739,4,6,2023-12-12T00:14:34Z,350000,False,-235.0,52.0,1,right,MISS D. Garland 24' running 3PT,[1629636],1610612739.0,CLE,running,,,Garland,D. Garland,,,,,Left Corner 3,24+ Left,24.09,Missed,,,,,,,,,,,,,,,,,,
36,PT09M11.00S,2023-12-12T00:14:28.7Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,4,6,2023-12-12T00:14:34Z,360000,False,,,0,,G. Bitadze REBOUND (Off:1 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Left Corner 3,24+ Left,,,35.0,,,,,,,,,,,,,2.0,1.0,1.0,,
37,PT09M06.00S,2023-12-12T00:14:33.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630532,7.440867279894875,55.63725490196079,1610612753,4,6,2023-12-12T00:14:42Z,370000,False,-28.0,17.0,1,left,MISS F. Wagner running alley-oop Layup,[1630532],1610612753.0,ORL,running alley-oop,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,3.31,Missed,,,,,,,,,,,,,,,,,,
38,PT09M06.00S,2023-12-12T00:14:33.1Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,4,6,2023-12-12T00:14:42Z,380000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:2),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,37.0,,,,,,,,,,,,,2.0,2.0,0.0,,
39,PT09M00.00S,2023-12-12T00:14:38.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628378,72.09264126149803,78.67647058823529,1610612739,4,9,2023-12-12T00:14:50Z,390000,False,143.0,210.0,1,right,D. Mitchell 25' 3PT running pullup (5 PTS),[1628378],1610612739.0,CLE,running pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,25.41,Made,,5.0,,,,,,,,,,,,,,,,
40,PT08M48.00S,2023-12-12T00:14:53.1Z,1,REGULAR,foul,personal,[],1629731,,,1610612753,4,9,2023-12-12T00:15:06Z,400000,False,,,0,,D. Wade personal FOUL (2 PF),"[1629731, 1631094]",1610612739.0,CLE,,,,Wade,D. Wade,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,204058.0,2.0,0.0,Banchero,1631094.0,,,,,
42,PT08M39.00S,2023-12-12T00:15:28.0Z,1,REGULAR,turnover,bad pass,[],1631094,,,1610612753,4,9,2023-12-12T00:15:31Z,420000,False,,,0,,P. Banchero bad pass TURNOVER (2 TO),"[1631094, 1629622]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,,,,,2.0,Strus,1629622.0,,,,,,,,,,
43,PT08M39.00S,2023-12-12T00:15:28.0Z,1,REGULAR,steal,,[],1629622,,,1610612739,4,9,2023-12-12T00:15:29Z,430000,False,,,0,,M. Strus STEAL (1 STL),[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
44,PT08M34.00S,2023-12-12T00:15:32.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628378,85.10183968462549,95.83333333333334,1610612739,4,9,2023-12-12T00:15:39Z,440000,False,229.0,88.0,1,right,MISS D. Mitchell 24' running 3PT,[1628378],1610612739.0,CLE,running,,,Mitchell,D. Mitchell,,,,,Right Corner 3,24+ Right,24.53,Missed,,,,,,,,,,,,,,,,,,
45,PT08M28.00S,2023-12-12T00:15:38.7Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,4,9,2023-12-12T00:15:47Z,450000,False,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Right Corner 3,24+ Right,,,44.0,,,,,,,,,,,,,1.0,1.0,0.0,,
46,PT08M25.00S,2023-12-12T00:15:42.9Z,1,REGULAR,foul,personal,['2freethrow'],1629622,,,1610612753,4,9,2023-12-12T00:15:58Z,460000,False,,,0,,M. Strus shooting personal FOUL (1 PF) (Wagner 2 FT),"[1629622, 1630532]",1610612739.0,CLE,shooting,,,Strus,M. Strus,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,201639.0,1.0,0.0,Wagner,1630532.0,,,,,
48,PT08M25.00S,2023-12-12T00:16:07.9Z,1,REGULAR,freethrow,1 of 2,[],1630532,,,1610612753,5,9,2023-12-12T00:16:07Z,480000,False,,,0,,F. Wagner Free Throw 1 of 2 (3 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Made,,3.0,,,,,,,,,,,,,,,,
49,PT08M25.00S,2023-12-12T00:16:29.1Z,1,REGULAR,freethrow,2 of 2,[],1630532,,,1610612753,6,9,2023-12-12T00:16:29Z,490000,False,,,0,,F. Wagner Free Throw 2 of 2 (4 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Made,,4.0,,,,,,,,,,,,,,,,
50,PT08M16.00S,2023-12-12T00:16:43.8Z,1,REGULAR,foul,personal,[],1641710,,,1610612739,6,9,2023-12-12T00:16:51Z,500000,False,,,0,,A. Black personal FOUL (1 PF),"[1641710, 1629636]",1610612753.0,ORL,,,,Black,A. Black,,,,,Above the Break 3,24+ Center,,,,,,,,,,,204058.0,1.0,0.0,Garland,1629636.0,,,,,
52,PT08M09.00S,2023-12-12T00:17:06.8Z,1,REGULAR,3pt,Jump Shot,[],1629622,69.07030223390277,21.323529411764707,1610612739,6,9,2023-12-12T00:17:15Z,520000,False,-143.0,238.0,1,right,MISS M. Strus 27' 3PT,[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Left Center,27.8,Missed,,,,,,,,,,,,,,,,,,
53,PT08M07.00S,2023-12-12T00:17:08.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,6,9,2023-12-12T00:17:15Z,530000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Above the Break 3,24+ Left Center,,,52.0,,,,,,,,,,,,,,,,,
55,PT08M02.00S,2023-12-12T00:17:33.2Z,1,REGULAR,turnover,out-of-bounds,[],1628378,,,1610612739,6,9,2023-12-12T00:17:39Z,550000,False,,,0,,D. Mitchell lost ball out-of-bounds TURNOVER (1 TO),[1628378],1610612739.0,CLE,lost ball,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,,,1627961.0,,,,,,,,,
56,PT07M48.00S,2023-12-12T00:17:50.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631094,14.536793692509855,41.911764705882355,1610612753,8,9,2023-12-12T00:17:55Z,560000,False,40.0,84.0,1,left,P. Banchero 9' driving floating bank Jump Shot (2 PTS),[1631094],1610612753.0,ORL,driving floating bank,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,9.33,Made,,2.0,,,,,,,,,,,,,,,,
57,PT07M26.00S,2023-12-12T00:18:11.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,80.3712220762155,57.84313725490197,1610612739,8,9,2023-12-12T00:23:51Z,570000,False,39.0,132.0,1,right,MISS D. Garland 13' pullup Shot,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,In The Paint (Non-RA),8-16 Center,13.77,Missed,,,,,,,,,,,,,,,,,,
58,PT07M23.00S,2023-12-12T00:18:14.3Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,8,9,2023-12-12T00:18:16Z,580000,False,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Center,,,57.0,,,,,,,,,,,,,1.0,0.0,1.0,,
