actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2024-03-30T23:10:50.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-30T23:10:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-30T23:10:53.4Z,1,REGULAR,jumpball,recovered,[],1631216,,,1610612753,0,0,2024-03-30T23:10:53Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. J. Jackson Jr.: Tip to C. Houstan,"[1631216, 1628976, 1628991]",1610612753.0,ORL,startperiod,C. Houstan,1631216.0,Houstan,C. Houstan,Carter Jr.,1628976.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-03-30T23:11:07.6Z,1,REGULAR,3pt,Jump Shot,[],1628976,67.88764783180025,69.11764705882352,1610612753,0,0,2024-03-30T23:11:13Z,70000,False,96.0,249.0,1,right,MISS W. Carter Jr. 26' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Right Center,26.71,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2024-03-30T23:11:11.6Z,1,REGULAR,rebound,defensive,[],1630590,,,1610612763,0,0,2024-03-30T23:11:13Z,80000,False,,,0,,S. Pippen Jr. REBOUND (Off:0 Def:1),[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M23.00S,2024-03-30T23:11:26.5Z,1,REGULAR,3pt,Jump Shot,[],1628379,30.56833114323259,33.57843137254902,1610612763,0,0,2024-03-30T23:11:31Z,90000,False,82.0,235.0,1,left,MISS L. Kennard 24' 3PT,[1628379],1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,Above the Break 3,24+ Right Center,24.87,Missed,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2024-03-30T23:11:28.5Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,0,0,2024-03-30T23:11:31Z,100000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M03.00S,2024-03-30T23:11:46.4Z,1,REGULAR,3pt,Jump Shot,[],1630532,67.09921156373193,29.901960784313726,1610612753,0,0,2024-03-30T23:11:51Z,110000,False,-100.0,257.0,1,right,MISS F. Wagner 27' 3PT,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Left Center,27.58,Missed,,,,,,,,,,,,,,,,,,
12,PT11M00.00S,2024-03-30T23:11:49.4Z,1,REGULAR,rebound,defensive,[],1628379,,,1610612763,0,0,2024-03-30T23:11:51Z,120000,False,,,0,,L. Kennard REBOUND (Off:0 Def:1),[1628379],1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,Above the Break 3,24+ Left Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M52.00S,2024-03-30T23:11:57.4Z,1,REGULAR,turnover,lost ball,[],1628991,,,1610612763,0,0,2024-03-30T23:12:03Z,130000,False,,,0,,J. Jackson Jr. lost ball TURNOVER (1 TO),"[1628991, 1630532]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,,,,1.0,Wagner,1630532.0,,,,,,,,,,,
14,PT10M52.00S,2024-03-30T23:11:57.4Z,1,REGULAR,steal,,[],1630532,,,1610612753,0,0,2024-03-30T23:25:14Z,140000,False,,,0,,F. Wagner STEAL (1 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
