actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-26T23:10:39.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-26T23:10:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-11-26T23:10:42.4Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2023-11-26T23:10:42Z,40000,False,,,0,,Jump Ball M. Williams vs. G. Bitadze: Tip to L. Ball,"[1630163, 1631109, 1629048]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Williams,1631109.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2023-11-26T23:10:56.8Z,1,REGULAR,turnover,lost ball,[],202330,,,1610612766,0,0,2023-11-26T23:11:01Z,70000,False,,,0,,G. Hayward lost ball TURNOVER (1 TO),"[202330, 1631094]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Mid-Range,16-24 Left Center,1.0,Banchero,1631094.0,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2023-11-26T23:10:56.8Z,1,REGULAR,steal,,[],1631094,,,1610612753,0,0,2023-11-26T23:10:59Z,80000,False,,,0,,P. Banchero STEAL (1 STL),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2023-11-26T23:11:03.5Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631094,84.97043363994744,52.20588235294118,1610612753,2,0,2023-11-27T01:28:29Z,90000,False,11.0,89.0,1,right,P. Banchero 8' turnaround Jump Shot (2 PTS),[1631094],1610612753.0,ORL,turnaround,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,,,,8.95,Made,2.0,,,,,,,,,,,,,,
10,PT11M25.00S,2023-11-26T23:11:13.3Z,1,REGULAR,2pt,Jump Shot,[],1630163,21.632720105124836,34.068627450980394,1610612766,2,0,2023-11-26T23:11:20Z,100000,False,80.0,151.0,1,left,MISS L. Ball 17' pullup Shot,[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,Mid-Range,16-24 Right Center,,,,17.06,Missed,,,,,,,,,,,,,,,
11,PT11M25.00S,2023-11-26T23:11:13.3Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,2,0,2023-11-26T23:11:20Z,110000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Right Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M15.00S,2023-11-26T23:11:23.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630591,91.5407358738502,53.92156862745098,1610612753,4,0,2023-11-26T23:11:31Z,120000,False,20.0,27.0,1,right,J. Suggs running Layup (2 PTS) (P. Banchero 1 AST),"[1630591, 1631094]",1610612753.0,ORL,running,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,,,,3.34,Made,2.0,,,,,P. Banchero,1631094.0,1.0,,,,,,,
14,PT11M04.00S,2023-11-26T23:11:38.7Z,1,REGULAR,turnover,backcourt,[],1628970,,,1610612766,4,0,2023-11-26T23:11:55Z,140000,False,,,0,,M. Bridges backcourt TURNOVER (1 TO),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,1.0,,,,,,,,,,,,,1193.0,,,,,,
15,PT10M47.00S,2023-11-26T23:12:10.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629048,91.67214191852825,49.26470588235294,1610612753,6,0,2023-11-27T01:29:06Z,150000,False,-4.0,26.0,1,right,G. Bitadze DUNK (2 PTS) (A. Black 1 AST),"[1629048, 1641710]",1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,,2.61,Made,2.0,,,,,A. Black,1641710.0,1.0,,,,,,,
