actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-02-27T02:10:41.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-27T02:10:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-02-27T02:10:43.4Z,1,REGULAR,jumpball,recovered,[],1628370,,,1610612758,0,0,2025-02-27T02:10:43Z,40000,False,,,0,,Jump Ball D. Sabonis vs. W. Kessler: Tip to M. Monk,"[1628370, 1627734, 1631117]",1610612758.0,SAC,startperiod,M. Monk,1628370.0,Monk,M. Monk,Sabonis,1627734.0,Kessler,1631117.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-02-27T02:10:59.9Z,1,REGULAR,turnover,lost ball,[],1627734,,,1610612758,0,0,2025-02-27T02:11:04Z,70000,False,,,0,,D. Sabonis lost ball TURNOVER (1 TO),"[1627734, 1631117]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,1.0,Kessler,1631117.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-02-27T02:10:59.9Z,1,REGULAR,steal,,[],1631117,,,1610612762,0,0,2025-02-27T02:11:02Z,80000,False,,,0,,W. Kessler STEAL (1 STL),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2025-02-27T02:11:05.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1641729,94.69448094612353,95.34313725490196,1610612762,0,0,2025-02-27T02:11:37Z,90000,False,227.0,-3.0,1,right,MISS B. Sensabaugh running 3PT,[1641729],1610612762.0,UTA,running,,,Sensabaugh,B. Sensabaugh,,,,,Right Corner 3,24+ Right,,,,22.67,Missed,,,,,,,,,,,,,,,
10,PT11M33.00S,2025-02-27T02:11:07.1Z,1,REGULAR,rebound,defensive,[],203897,,,1610612758,0,0,2025-02-27T02:11:10Z,100000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,Right Corner 3,24+ Right,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M09.00S,2025-02-27T02:12:02.5Z,1,REGULAR,2pt,Jump Shot,[],203897,5.075558475689881,17.15686274509804,1610612758,0,0,2025-02-27T02:12:26Z,130000,False,164.0,-5.0,1,left,MISS Z. LaVine 16' turnaround fadeaway Shot,[203897],1610612758.0,SAC,turnaround fadeaway,,,LaVine,Z. LaVine,,,,,Mid-Range,16-24 Right,,,,16.43,Missed,,,,,,,,,,,,,,,
14,PT11M09.00S,2025-02-27T02:12:02.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,0,0,2025-02-27T02:12:16Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Mid-Range,16-24 Right,,,,,,13.0,,,,,,,,,,,,,,
15,PT11M09.00S,2025-02-27T02:12:05.4Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612758,0,0,2025-02-27T02:12:20Z,150000,False,,,0,,SAC shot clock Team TURNOVER,[],1610612758.0,SAC,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,1626300.0,,,,,,,,,,
16,PT10M54.00S,2025-02-27T02:12:28.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203903,67.62483574244416,56.127450980392155,1610612762,0,0,2025-02-27T02:12:34Z,160000,False,31.0,252.0,1,right,MISS J. Clarkson 25' 3PT,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Center,,,,25.37,Missed,,,,,,,,,,,,,,,
17,PT10M50.00S,2025-02-27T02:12:32.9Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,0,2025-02-27T02:12:34Z,170000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Center,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,
18,PT10M42.00S,2025-02-27T02:12:43.5Z,1,REGULAR,turnover,out-of-bounds,[],203897,,,1610612758,0,0,2025-02-27T02:12:53Z,180000,False,,,0,,Z. LaVine bad pass out-of-bounds TURNOVER (1 TO),[203897],1610612758.0,SAC,bad pass,,,LaVine,Z. LaVine,,,,,In The Paint (Non-RA),8-16 Right,1.0,,,,,,,,,2534.0,,,,,,,,,,
