actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-04T02:10:52.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-04T02:10:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-03-04T02:11:17.0Z,1,REGULAR,jumpball,recovered,[],1630231,,,1610612762,0,0,2025-03-04T02:11:17Z,40000,False,,,0,,Jump Ball W. Kessler vs. J. Duren: Tip to K. Martin,"[1630231, 1631117, 1631105]",1610612762.0,UTA,startperiod,K. Martin,1630231.0,Martin,K. Martin,Kessler,1631117.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-03-04T02:11:27.8Z,1,REGULAR,3pt,Jump Shot,[],1630548,96.92838370565046,96.32352941176471,1610612762,3,0,2025-03-04T02:11:33Z,70000,False,232.0,-24.0,1,right,J. Juzang 3PT  (3 PTS) (I. Collier 1 AST),"[1630548, 1642268]",1610612762.0,UTA,,,,Juzang,J. Juzang,,,,,Right Corner 3,24+ Right,23.28,Made,3.0,I. Collier,1642268.0,1.0,,,,,,,,,,,,,,
9,PT11M28.00S,2025-03-04T02:11:44.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641709,5.863994743758213,52.450980392156865,1610612765,3,2,2025-03-04T02:11:49Z,90000,False,-12.0,3.0,1,left,A. Thompson cutting Layup (2 PTS) (C. Cunningham 1 AST),"[1641709, 1630595]",1610612765.0,DET,cutting,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,1.26,Made,2.0,C. Cunningham,1630595.0,1.0,,,,,,,,,,,,,,
11,PT11M14.00S,2025-03-04T02:11:58.8Z,1,REGULAR,turnover,out-of-bounds,[],1642268,,,1610612762,3,2,2025-03-04T02:12:05Z,110000,False,,,0,,I. Collier lost ball out-of-bounds TURNOVER (1 TO),[1642268],1610612762.0,UTA,lost ball,,,Collier,I. Collier,,,,,Above the Break 3,24+ Center,,,,,,,1662.0,1.0,,,,,,,,,,,,
12,PT11M04.00S,2025-03-04T02:12:22.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627736,32.14520367936925,47.30392156862745,1610612765,3,2,2025-03-04T02:12:26Z,120000,False,13.0,250.0,1,left,MISS M. Beasley 25' 3PT,[1627736],1610612765.0,DET,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Center,25.01,Missed,,,,,,,,,,,,,,,,,,
13,PT11M01.00S,2025-03-04T02:12:25.6Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,3,2,2025-03-04T02:12:26Z,130000,False,,,0,,W. Kessler REBOUND (Off:0 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Center,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
14,PT10M50.00S,2025-03-04T02:12:36.0Z,1,REGULAR,3pt,Jump Shot,[],1629012,68.28186596583443,37.254901960784316,1610612762,3,2,2025-03-04T02:12:40Z,140000,False,-64.0,246.0,1,right,MISS C. Sexton 25' 3PT,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Center,25.38,Missed,,,,,,,,,,,,,,,,,,
15,PT10M47.00S,2025-03-04T02:12:39.0Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,3,2,2025-03-04T02:12:49Z,150000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Center,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,
16,PT10M41.00S,2025-03-04T02:12:44.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630595,29.517082785808146,24.754901960784316,1610612765,3,2,2025-03-04T02:13:02Z,160000,False,126.0,225.0,1,left,MISS C. Cunningham 25' running 3PT,[1630595],1610612765.0,DET,running,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Right Center,25.8,Missed,,,,,,,,,,,,,,,,,,
