actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-03-22T01:40:40.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-22T01:40:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-03-22T01:40:42.9Z,1,REGULAR,jumpball,recovered,[],1629012,,,1610612762,0,0,2025-03-22T01:40:43Z,40000,False,,,0,,Jump Ball W. Kessler vs. K. Porziņģis: Tip to C. Sexton,"[1629012, 1631117, 204001]",1610612762.0,UTA,startperiod,C. Sexton,1629012.0,Sexton,C. Sexton,Kessler,1631117.0,Porziņģis,204001.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-03-22T01:40:59.8Z,1,REGULAR,2pt,Jump Shot,[],1629012,89.17542706964521,32.59803921568628,1610612762,2,0,2025-03-22T01:41:05Z,70000,False,-87.0,49.0,1,right,C. Sexton 10' driving floating bank Jump Shot (2 PTS) (W. Kessler 1 AST),"[1629012, 1631117]",1610612762.0,UTA,driving floating bank,,,Sexton,C. Sexton,,,,,Mid-Range,8-16 Left,10.0,Made,2.0,W. Kessler,1631117.0,1.0,,,,,,,,,,,,,,
9,PT11M20.00S,2025-03-22T01:41:20.5Z,1,REGULAR,turnover,bad pass,[],1628369,,,1610612738,2,0,2025-03-22T01:41:26Z,90000,False,,,0,,J. Tatum bad pass TURNOVER (1 TO),"[1628369, 1629004]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,,1.0,Mykhailiuk,1629004.0,,,,,,,,,,,
10,PT11M20.00S,2025-03-22T01:41:20.5Z,1,REGULAR,steal,,[],1629004,,,1610612762,2,0,2025-03-22T01:41:22Z,100000,False,,,0,,S. Mykhailiuk STEAL (1 STL),[1629004],1610612762.0,UTA,,,,Mykhailiuk,S. Mykhailiuk,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
11,PT11M15.00S,2025-03-22T01:41:24.9Z,1,REGULAR,turnover,lost ball,[],1629012,,,1610612762,2,0,2025-03-22T01:41:29Z,110000,False,,,0,,C. Sexton lost ball TURNOVER (1 TO),"[1629012, 1628401]",1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Left Center,,,,,,,1.0,White,1628401.0,,,,,,,,,,,
12,PT11M15.00S,2025-03-22T01:41:24.9Z,1,REGULAR,steal,,[],1628401,,,1610612738,2,0,2025-03-22T01:41:26Z,120000,False,,,0,,D. White STEAL (1 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
13,PT11M08.00S,2025-03-22T01:41:32.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],204001,33.98488830486202,32.59803921568628,1610612738,2,0,2025-03-22T01:41:39Z,130000,False,87.0,267.0,1,left,MISS K. Porziņģis 28' 3PT,[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Center,28.08,Missed,,,,,,,,,,,,,,,,,,
14,PT11M04.00S,2025-03-22T01:41:36.1Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,2,0,2025-03-22T01:41:39Z,140000,False,,,0,,W. Kessler REBOUND (Off:0 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Center,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,
15,PT10M57.00S,2025-03-22T01:41:43.1Z,1,REGULAR,3pt,Jump Shot,[],1629004,72.22404730617609,17.892156862745097,1610612762,2,0,2025-03-22T01:41:50Z,150000,False,-161.0,209.0,1,right,MISS S. Mykhailiuk 26' step back 3PT,[1629004],1610612762.0,UTA,step back,,,Mykhailiuk,S. Mykhailiuk,,,,,Above the Break 3,24+ Left Center,26.32,Missed,,,,,,,,,,,,,,,,,,
