actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-04-10T01:10:47.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-10T01:10:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-04-10T01:10:52.3Z,1,REGULAR,jumpball,recovered,[],1641739,,,1610612757,0,0,2025-04-10T01:10:52Z,40000,False,,,0,,Jump Ball D. Clingan vs. K. Filipowski: Tip to T. Camara,"[1641739, 1642270, 1642271]",1610612757.0,POR,startperiod,T. Camara,1641739.0,Camara,T. Camara,Clingan,1642270.0,Filipowski,1642271.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2025-04-10T01:10:58.9Z,1,REGULAR,foul,personal,[],1642271,,,1610612757,0,0,2025-04-10T01:11:16Z,70000,False,,,0,,K. Filipowski personal FOUL (1 PF),"[1642271, 1642270]",1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Restricted Area,0-8 Center,1204.0,1.0,0.0,Clingan,1642270.0,,,,,,,,,,,,,,,
9,PT11M37.00S,2025-04-10T01:11:28.3Z,1,REGULAR,3pt,Jump Shot,[],1630625,73.53810775295663,80.88235294117648,1610612757,0,0,2025-04-10T01:11:34Z,90000,False,154.0,196.0,1,right,MISS D. Banton 24' 3PT,[1630625],1610612757.0,POR,,,,Banton,D. Banton,,,,,Above the Break 3,24+ Right Center,,,,,,24.97,Missed,,,,,,,,,,,,,
10,PT11M35.00S,2025-04-10T01:11:30.3Z,1,REGULAR,rebound,offensive,[],1631101,,,1610612757,0,0,2025-04-10T01:11:49Z,100000,False,,,0,,S. Sharpe REBOUND (Off:1 Def:0),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Right Center,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,
11,PT11M34.00S,2025-04-10T01:11:33.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631101,91.80354796320631,54.90196078431373,1610612757,0,2,2025-04-10T01:11:53Z,110000,False,25.0,25.0,1,right,S. Sharpe putback Layup (2 PTS),[1631101],1610612757.0,POR,putback,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,,,,,,3.46,Made,,,,,2.0,,,,,,,,
12,PT11M17.00S,2025-04-10T01:11:47.7Z,1,REGULAR,3pt,Jump Shot,[],1642271,31.882391590013142,64.70588235294117,1610612762,0,2,2025-04-10T01:11:52Z,120000,False,-74.0,247.0,1,left,MISS K. Filipowski 25' 3PT,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Above the Break 3,24+ Center,,,,,,25.79,Missed,,,,,,,,,,,,,
13,PT11M14.00S,2025-04-10T01:11:50.7Z,1,REGULAR,rebound,defensive,[],1629680,,,1610612757,0,2,2025-04-10T01:11:52Z,130000,False,,,0,,M. Thybulle REBOUND (Off:0 Def:1),[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Above the Break 3,24+ Center,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT10M55.00S,2025-04-10T01:12:10.9Z,1,REGULAR,turnover,bad pass,[],1629680,,,1610612757,0,2,2025-04-10T01:12:52Z,140000,False,,,0,,M. Thybulle bad pass TURNOVER (1 TO),"[1629680, 1642271]",1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,Filipowski,1642271.0,,,,,
15,PT10M55.00S,2025-04-10T01:12:10.9Z,1,REGULAR,steal,,[],1642271,,,1610612762,0,2,2025-04-10T01:13:11Z,150000,False,,,0,,K. Filipowski STEAL (1 STL),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
