actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-01T02:40:45.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-01T02:40:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-01T02:40:47.5Z,1,REGULAR,jumpball,recovered,[],1642268,,,1610612762,0,0,2025-03-01T02:40:47Z,40000,False,,,0,,Jump Ball W. Kessler vs. N. Reid: Tip to I. Collier,"[1642268, 1631117, 1629675]",1610612762.0,UTA,startperiod,I. Collier,1642268.0,Collier,I. Collier,Kessler,1631117.0,Reid,1629675.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-03-01T02:40:58.2Z,1,REGULAR,3pt,Jump Shot,[],1629012,26.757555847568987,20.098039215686274,1610612762,3,0,2025-03-01T02:41:03Z,70000,False,150.0,199.0,1,left,C. Sexton 24' 3PT pullup (3 PTS),[1629012],1610612762.0,UTA,pullup,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Right Center,24.89,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2025-03-01T02:41:13.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630545,89.56964520367937,42.40196078431372,1610612750,3,0,2025-03-01T02:41:25Z,80000,False,-38.0,46.0,1,right,MISS T. Shannon Jr. driving finger roll Layup,[1630545],1610612750.0,MIN,driving finger roll,,,Shannon Jr.,T. Shannon Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.93,Missed,,,,,,,,,,,,,,,,,,
9,PT11M30.00S,2025-03-01T02:41:15.1Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,3,0,2025-03-01T02:41:17Z,90000,False,,,0,,W. Kessler REBOUND (Off:0 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),0-8 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M14.00S,2025-03-01T02:41:30.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,8.229303547963205,46.81372549019608,1610612762,3,0,2025-03-01T02:41:55Z,100000,False,16.0,25.0,1,left,MISS J. Collins driving Layup - blocked,"[1628381, 1629675]",1610612762.0,UTA,driving,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,2.95,Missed,,,,,,Reid,1629675.0,,,,,,,,,,,
11,PT11M14.00S,2025-03-01T02:41:30.5Z,1,REGULAR,block,,[],1629675,,,1610612762,3,0,2025-03-01T02:41:32Z,110000,False,,,0,,N. Reid BLOCK (1 BLK),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M13.00S,2025-03-01T02:41:31.5Z,1,REGULAR,rebound,offensive,[],1628381,,,1610612762,3,0,2025-03-01T02:41:33Z,120000,False,,,0,,J. Collins REBOUND (Off:1 Def:0),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,
13,PT11M13.00S,2025-03-01T02:41:34.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628381,9.017739816031538,46.32352941176471,1610612762,5,0,2025-03-01T02:41:39Z,130000,False,18.0,32.0,1,left,J. Collins putback Layup (2 PTS),[1628381],1610612762.0,UTA,putback,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,3.72,Made,2.0,,,,,,,,,,,,,,,,,
14,PT11M13.00S,2025-03-01T02:41:37.0Z,1,REGULAR,foul,personal,['1freethrow'],1629675,,,1610612762,5,0,2025-03-01T02:41:46Z,140000,False,,,0,,N. Reid shooting personal FOUL (1 PF) (Collins 1 FT),"[1629675, 1628381]",1610612750.0,MIN,shooting,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,,,,,,,,,,1628951.0,1.0,0.0,Collins,1628381.0,,,,,,
