actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-12-31T02:12:16.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-31T02:12:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-12-31T02:12:19.5Z,1,REGULAR,jumpball,recovered,[],1641718,,,1610612762,0,0,2024-12-31T02:12:19Z,40000,False,,,0,,Jump Ball W. Kessler vs. N. Jokić: Tip to K. George,"[1641718, 1631117, 203999]",1610612762.0,UTA,startperiod,K. George,1641718.0,George,K. George,Kessler,1631117.0,Jokić,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2024-12-31T02:12:36.4Z,1,REGULAR,3pt,Jump Shot,[],1641718,84.97043363994744,95.09803921568627,1610612762,3,0,2024-12-31T02:12:41Z,70000,False,225.0,89.0,1,right,K. George 24' 3PT  (3 PTS),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Right Corner 3,24+ Right,24.24,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M23.00S,2024-12-31T02:12:51.5Z,1,REGULAR,2pt,Jump Shot,[],1629008,28.991458607095925,55.392156862745104,1610612743,3,0,2024-12-31T02:13:37Z,80000,False,-27.0,220.0,1,left,MISS M. Porter Jr. 22' step back Shot,[1629008],1610612743.0,DEN,step back,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Center,22.17,Missed,,,,,,,,,,,,,,,,,,
9,PT11M20.00S,2024-12-31T02:12:54.5Z,1,REGULAR,rebound,defensive,[],1629012,,,1610612762,3,0,2024-12-31T02:12:58Z,90000,False,,,0,,C. Sexton REBOUND (Off:0 Def:1),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Mid-Range,16-24 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M08.00S,2024-12-31T02:13:06.6Z,1,REGULAR,3pt,Jump Shot,[],1630548,93.9060446780552,2.941176470588235,1610612762,3,0,2024-12-31T02:13:12Z,100000,False,-235.0,5.0,1,right,MISS J. Juzang 3PT,[1630548],1610612762.0,UTA,,,,Juzang,J. Juzang,,,,,Left Corner 3,24+ Left,23.53,Missed,,,,,,,,,,,,,,,,,,
11,PT11M07.00S,2024-12-31T02:13:07.6Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,3,0,2024-12-31T02:13:12Z,110000,False,,,0,,N. Jokić REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Left Corner 3,24+ Left,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M03.00S,2024-12-31T02:13:12.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627750,26.10052562417871,81.86274509803921,1610612743,3,0,2024-12-31T02:13:19Z,120000,False,-159.0,193.0,1,left,MISS J. Murray 25' running pullup 3PT,[1627750],1610612743.0,DEN,running pullup,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left Center,25.01,Missed,,,,,,,,,,,,,,,,,,
13,PT11M00.00S,2024-12-31T02:13:15.8Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,3,0,2024-12-31T02:13:19Z,130000,False,,,0,,W. Kessler REBOUND (Off:0 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Left Center,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT10M52.00S,2024-12-31T02:13:23.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629012,91.93495400788436,42.40196078431372,1610612762,3,0,2024-12-31T02:14:41Z,140000,False,-38.0,23.0,1,right,MISS C. Sexton driving Layup - blocked,"[1629012, 1631128]",1610612762.0,UTA,driving,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,4.46,Missed,,,,,,Braun,1631128.0,,,,,,,,,,,
