actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-11-01T01:11:20.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-01T01:11:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-11-01T01:11:22.7Z,1,REGULAR,jumpball,recovered,[],203903,,,1610612762,0,0,2024-11-01T01:11:22Z,40000,False,,,0,,Jump Ball W. Kessler vs. V. Wembanyama: Tip to J. Clarkson,"[203903, 1631117, 1641705]",1610612762.0,UTA,startperiod,J. Clarkson,203903.0,Clarkson,J. Clarkson,Kessler,1631117.0,Wembanyama,1641705.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-11-01T01:11:38.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642271,6.521024967148489,56.86274509803921,1610612762,2,0,2024-11-01T01:11:58Z,70000,False,-34.0,9.0,1,left,K. Filipowski driving Layup (2 PTS),[1642271],1610612762.0,UTA,driving,,,Filipowski,K. Filipowski,,,,,Restricted Area,0-8 Center,3.54,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M27.00S,2024-11-01T01:11:51.6Z,1,REGULAR,3pt,Jump Shot,[],1641705,65.91655716162943,33.33333333333333,1610612759,2,0,2024-11-01T01:11:56Z,80000,False,-83.0,268.0,1,right,MISS V. Wembanyama 28' 3PT,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Center,28.06,Missed,,,,,,,,,,,,,,,,,,
9,PT11M25.00S,2024-11-01T01:11:53.6Z,1,REGULAR,rebound,defensive,[],1642262,,,1610612762,2,0,2024-11-01T01:11:56Z,90000,False,,,0,,C. Williams REBOUND (Off:0 Def:1),[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,Above the Break 3,24+ Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M11.00S,2024-11-01T01:12:08.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631117,9.411957950065702,41.911764705882355,1610612762,4,0,2024-11-01T01:12:14Z,100000,False,40.0,36.0,1,left,W. Kessler cutting DUNK (2 PTS) (K. George 1 AST),"[1631117, 1641718]",1610612762.0,UTA,cutting,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),0-8 Center,5.41,Made,2.0,,,,,K. George,1641718.0,1.0,,,,,,,,,,
12,PT10M51.00S,2024-11-01T01:12:27.9Z,1,REGULAR,3pt,Jump Shot,[],1641705,76.2976346911958,12.745098039215685,1610612759,4,0,2024-11-01T01:12:45Z,120000,False,-186.0,170.0,1,right,MISS V. Wembanyama 25' step back 3PT,[1641705],1610612759.0,SAS,step back,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Left Center,25.24,Missed,,,,,,,,,,,,,,,,,,
13,PT10M49.00S,2024-11-01T01:12:29.9Z,1,REGULAR,rebound,defensive,[],1642271,,,1610612762,4,0,2024-11-01T01:12:32Z,130000,False,,,0,,K. Filipowski REBOUND (Off:0 Def:1),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Above the Break 3,24+ Left Center,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT10M44.00S,2024-11-01T01:12:35.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642271,33.196452036793694,47.05882352941176,1610612762,7,0,2024-11-01T01:13:22Z,140000,False,15.0,260.0,1,left,K. Filipowski 25' 3PT running (5 PTS) (K. George 2 AST),"[1642271, 1641718]",1610612762.0,UTA,running,,,Filipowski,K. Filipowski,,,,,Above the Break 3,24+ Center,25.99,Made,5.0,,,,,K. George,1641718.0,2.0,,,,,,,,,,
16,PT10M17.00S,2024-11-01T01:13:03.0Z,1,REGULAR,3pt,Jump Shot,[],101108,68.15045992115637,22.30392156862745,1610612759,7,0,2024-11-01T01:13:08Z,160000,False,-138.0,247.0,1,right,MISS C. Paul 28' 3PT,[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,Above the Break 3,24+ Left Center,28.31,Missed,,,,,,,,,,,,,,,,,,
17,PT10M13.00S,2024-11-01T01:13:07.0Z,1,REGULAR,rebound,offensive,[],1641705,,,1610612759,7,0,2024-11-01T01:13:08Z,170000,False,,,0,,V. Wembanyama REBOUND (Off:1 Def:0),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Left Center,,,,16.0,1.0,0.0,1.0,,,,,,,,,,,,,
18,PT10M07.00S,2024-11-01T01:13:12.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203084,91.5407358738502,94.85294117647058,1610612759,7,0,2024-11-01T01:13:18Z,180000,False,224.0,27.0,1,right,MISS H. Barnes 3PT,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Right Corner 3,24+ Right,22.59,Missed,,,,,,,,,,,,,,,,,,
19,PT10M06.00S,2024-11-01T01:13:13.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,7,0,2024-11-01T01:13:18Z,190000,False,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Right Corner 3,24+ Right,,,,18.0,,,,,,,,,,,,,,,,
20,PT10M06.00S,2024-11-01T01:13:16.7Z,1,REGULAR,foul,personal,[],1631110,,,1610612762,7,0,2024-11-01T01:14:59Z,200000,False,,,0,,J. Sochan loose ball personal FOUL (1 PF),"[1631110, 1642271]",1610612759.0,SAS,loose ball,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,,,,,,,,,200832.0,1.0,0.0,Filipowski,1642271.0,,,,,
