actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-02-04T02:10:47.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-04T02:10:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-02-04T02:10:52.0Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612754,0,0,2025-02-04T02:10:52Z,40000,False,,,0,,Jump Ball T. Bryant vs. W. Kessler: Tip to P. Siakam,"[1627783, 1628418, 1631117]",1610612754.0,IND,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Bryant,1628418.0,Kessler,1631117.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-02-04T02:11:04.9Z,1,REGULAR,foul,personal,['2freethrow'],1642268,,,1610612754,0,0,2025-02-04T02:11:15Z,70000,False,,,0,,I. Collier shooting personal FOUL (1 PF) (Haliburton 2 FT),"[1642268, 1630169]",1610612762.0,UTA,shooting,,,Collier,I. Collier,,,,,Mid-Range,8-16 Right,1627962.0,1.0,0.0,Haliburton,1630169.0,,,,,,,,,,,,,,,
9,PT11M42.00S,2025-02-04T02:11:34.9Z,1,REGULAR,freethrow,1 of 2,[],1630169,,,1610612754,0,1,2025-02-04T02:11:34Z,90000,False,,,0,,T. Haliburton Free Throw 1 of 2 (1 PTS),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M42.00S,2025-02-04T02:11:45.2Z,1,REGULAR,freethrow,2 of 2,[],1630169,,,1610612754,0,2,2025-02-04T02:11:45Z,100000,False,,,0,,T. Haliburton Free Throw 2 of 2 (2 PTS),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M19.00S,2025-02-04T02:12:10.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629012,9.411957950065702,52.20588235294118,1610612762,0,2,2025-02-04T02:12:51Z,110000,False,-11.0,36.0,1,left,MISS C. Sexton cutting Layup - blocked,"[1629012, 1631097]",1610612762.0,UTA,cutting,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,,,,,,Missed,,3.76,Mathurin,1631097.0,,,,,,,,,,
12,PT11M19.00S,2025-02-04T02:12:10.6Z,1,REGULAR,block,,[],1631097,,,1610612762,0,2,2025-02-04T02:12:20Z,120000,False,,,0,,B. Mathurin BLOCK (1 BLK),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M18.00S,2025-02-04T02:12:11.6Z,1,REGULAR,rebound,offensive,[],1629012,,,1610612762,0,2,2025-02-04T02:12:16Z,130000,False,,,0,,C. Sexton REBOUND (Off:1 Def:0),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,
14,PT11M18.00S,2025-02-04T02:12:14.6Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612762,0,2,2025-02-04T02:12:25Z,140000,False,,,0,,UTA shot clock Team TURNOVER,[],1610612762.0,UTA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,1627519.0,,,,,,,,,,,,,,,,,,,
15,PT11M07.00S,2025-02-04T02:12:31.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631097,67.36202365308804,51.470588235294116,1610612754,0,2,2025-02-04T02:12:36Z,150000,False,7.0,254.0,1,right,MISS B. Mathurin 25' pullup 3PT,[1631097],1610612754.0,IND,pullup,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Center,,,,,,Missed,,25.44,,,,,,,,,,,,
16,PT11M04.00S,2025-02-04T02:12:34.7Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,0,2,2025-02-04T02:12:36Z,160000,False,,,0,,W. Kessler REBOUND (Off:0 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Center,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,
17,PT10M55.00S,2025-02-04T02:12:44.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629012,7.046649145860711,46.81372549019608,1610612762,2,2,2025-02-04T02:12:49Z,170000,False,16.0,14.0,1,left,C. Sexton driving Layup (2 PTS) (I. Collier 1 AST),"[1629012, 1642268]",1610612762.0,UTA,driving,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,2.1,,,,,,,I. Collier,1642268.0,1.0,,,
19,PT10M41.00S,2025-02-04T02:12:57.5Z,1,REGULAR,turnover,bad pass,[],1630169,,,1610612754,2,2,2025-02-04T02:13:02Z,190000,False,,,0,,T. Haliburton bad pass TURNOVER (1 TO),"[1630169, 1642268]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,1.0,Collier,1642268.0
20,PT10M41.00S,2025-02-04T02:12:57.5Z,1,REGULAR,steal,,[],1642268,,,1610612762,2,2,2025-02-04T02:12:59Z,200000,False,,,0,,I. Collier STEAL (1 STL),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
25,PT10M33.00S,2025-02-04T02:13:26.5Z,1,REGULAR,foul,personal,['2freethrow'],1631097,,,1610612762,2,2,2025-02-04T02:13:36Z,250000,False,,,0,,B. Mathurin shooting personal FOUL (1 PF) (Kessler 2 FT),"[1631097, 1631117]",1610612754.0,IND,shooting,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,1627962.0,1.0,0.0,Kessler,1631117.0,,,,,,,,,,,,,,,
27,PT10M33.00S,2025-02-04T02:13:55.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1631117,,,1610612762,3,2,2025-02-04T02:19:49Z,270000,False,,,0,,W. Kessler Free Throw 1 of 2 (1 PTS),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
28,PT10M33.00S,2025-02-04T02:14:13.8Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1631117,,,1610612762,4,2,2025-02-04T02:19:49Z,280000,False,,,0,,W. Kessler Free Throw 2 of 2 (2 PTS),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
29,PT10M13.00S,2025-02-04T02:14:36.8Z,1,REGULAR,3pt,Jump Shot,[],1627783,70.64717477003943,23.03921568627451,1610612754,4,2,2025-02-04T02:14:42Z,290000,False,-135.0,223.0,1,right,MISS P. Siakam 26' 3PT,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,26.09,,,,,,,,,,,,
30,PT10M09.00S,2025-02-04T02:14:40.8Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612762,4,2,2025-02-04T02:14:42Z,300000,False,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,
31,PT10M02.00S,2025-02-04T02:14:47.0Z,1,REGULAR,3pt,Jump Shot,[],1628381,27.808804204993432,77.45098039215686,1610612762,4,2,2025-02-04T02:14:54Z,310000,False,-137.0,209.0,1,left,MISS J. Collins 25' 3PT,[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,25.0,,,,,,,,,,,,
32,PT10M00.00S,2025-02-04T02:14:49.6Z,1,REGULAR,rebound,offensive,[],1631117,,,1610612762,4,2,2025-02-04T02:14:49Z,320000,False,,,0,,W. Kessler REBOUND (Off:1 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,31.0,2.0,1.0,1.0,,,,,,
89,PT09M47.00S,2025-02-04T02:14:54.6Z,1,REGULAR,turnover,lost ball,[],1629012,,,1610612762,4,2,2025-02-04T02:23:53Z,325000,False,,,0,,C. Sexton lost ball TURNOVER (1 TO),"[1629012, 1629614]",1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Nembhard,1629614.0
90,PT09M47.00S,2025-02-04T02:14:54.6Z,1,REGULAR,steal,,[],1629614,,,1610612754,4,2,2025-02-04T02:23:53Z,327500,False,,,0,,A. Nembhard STEAL (1 STL),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
35,PT09M42.00S,2025-02-04T02:15:07.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak', 'fromturnover']",1631097,93.64323258869908,55.392156862745104,1610612754,4,4,2025-02-04T02:23:56Z,350000,False,27.0,7.0,1,right,B. Mathurin running Layup (2 PTS) (A. Nembhard 1 AST),"[1631097, 1629614]",1610612754.0,IND,running,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,2.8,,,,,,,A. Nembhard,1629614.0,1.0,,,
37,PT09M28.00S,2025-02-04T02:15:21.5Z,1,REGULAR,3pt,Jump Shot,[],1629012,8.360709592641262,3.6764705882352944,1610612762,4,4,2025-02-04T02:15:27Z,370000,False,232.0,26.0,1,left,MISS C. Sexton 3PT,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Right Corner 3,24+ Right,,,,,,Missed,,23.31,,,,,,,,,,,,
38,PT09M26.00S,2025-02-04T02:15:23.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,4,4,2025-02-04T02:15:27Z,380000,False,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,,,,,37.0,,,,,,,,,
