actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-12-14T02:40:55.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-14T02:40:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-12-14T02:40:58.0Z,1,REGULAR,jumpball,recovered,[],1626145,,,1610612756,0,0,2024-12-14T02:40:58Z,40000,False,,,0,,Jump Ball J. Nurkić vs. W. Kessler: Tip to T. Jones,"[1626145, 203994, 1631117]",1610612756.0,PHX,startperiod,T. Jones,1626145.0,Jones,T. Jones,Nurkić,203994.0,Kessler,1631117.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-12-14T02:41:10.6Z,1,REGULAR,turnover,bad pass,[],203994,,,1610612756,0,0,2024-12-14T02:41:18Z,70000,False,,,0,,J. Nurkić bad pass TURNOVER (1 TO),"[203994, 1628381]",1610612756.0,PHX,,,,Nurkić,J. Nurkić,,,,,Restricted Area,0-8 Center,1.0,Collins,1628381.0,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2024-12-14T02:41:10.6Z,1,REGULAR,steal,,[],1628381,,,1610612762,0,0,2024-12-14T02:41:15Z,80000,False,,,0,,J. Collins STEAL (1 STL),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2024-12-14T02:41:16.4Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1629012,31.488173455978973,52.69607843137255,1610612762,0,0,2024-12-14T02:45:49Z,90000,False,-13.0,243.0,1,left,MISS C. Sexton 24' running pullup 3PT,[1629012],1610612762.0,UTA,running pullup,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Center,,,,24.39,Missed,,,,,,,,,,,,,,,
10,PT11M36.00S,2024-12-14T02:41:18.4Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612756,0,0,2024-12-14T02:41:23Z,100000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M23.00S,2024-12-14T02:41:31.7Z,1,REGULAR,3pt,Jump Shot,[],1626220,68.01905387647832,37.745098039215684,1610612756,0,3,2024-12-14T02:41:37Z,110000,False,-61.0,248.0,1,right,R. O'Neale 25' 3PT  (3 PTS) (K. Durant 1 AST),"[1626220, 201142]",1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Center,,,,25.56,Made,,,,,3.0,K. Durant,201142.0,1.0,,,,,,,
13,PT11M06.00S,2024-12-14T02:41:47.7Z,1,REGULAR,3pt,Jump Shot,[],1631117,3.630091984231275,95.09803921568627,1610612762,3,3,2024-12-14T02:41:53Z,130000,False,-225.0,-18.0,1,left,W. Kessler 3PT  (3 PTS) (K. George 1 AST),"[1631117, 1641718]",1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Left Corner 3,24+ Left,,,,22.62,Made,,,,,3.0,K. George,1641718.0,1.0,,,,,,,
15,PT10M54.00S,2024-12-14T02:42:00.6Z,1,REGULAR,3pt,Jump Shot,[],1626164,67.49342969776609,60.5392156862745,1610612756,3,6,2024-12-14T02:42:04Z,150000,False,53.0,253.0,1,right,D. Booker 25' 3PT  (3 PTS) (T. Jones 1 AST),"[1626164, 1626145]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Center,,,,25.85,Made,,,,,3.0,T. Jones,1626145.0,1.0,,,,,,,
17,PT10M38.00S,2024-12-14T02:42:15.8Z,1,REGULAR,3pt,Jump Shot,[],1631117,2.0532194480946124,95.09803921568627,1610612762,6,6,2024-12-14T02:42:24Z,170000,False,-225.0,-33.0,1,left,W. Kessler 3PT  (6 PTS) (K. George 2 AST),"[1631117, 1641718]",1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Left Corner 3,24+ Left,,,,22.79,Made,,,,,6.0,K. George,1641718.0,2.0,,,,,,,
19,PT10M30.00S,2024-12-14T02:42:24.1Z,1,REGULAR,3pt,Jump Shot,[],201142,87.86136662286465,2.450980392156863,1610612756,6,9,2024-12-14T02:42:31Z,190000,False,-238.0,62.0,1,right,K. Durant 24' 3PT  (3 PTS) (T. Jones 2 AST),"[201142, 1626145]",1610612756.0,PHX,,,,Durant,K. Durant,,,,,Left Corner 3,24+ Left,,,,24.56,Made,,,,,3.0,T. Jones,1626145.0,2.0,,,,,,,
21,PT10M16.00S,2024-12-14T02:42:39.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641718,8.623521681997373,52.450980392156865,1610612762,8,9,2024-12-14T02:42:48Z,210000,False,-12.0,29.0,1,left,K. George driving finger roll Layup (2 PTS),[1641718],1610612762.0,UTA,driving finger roll,,,George,K. George,,,,,Restricted Area,0-8 Center,,,,3.11,Made,,,,,2.0,,,,,,,,,,
22,PT10M16.00S,2024-12-14T02:42:42.9Z,1,REGULAR,foul,personal,['1freethrow'],203994,,,1610612762,8,9,2024-12-14T02:42:51Z,220000,False,,,0,,J. Nurkić shooting personal FOUL (1 PF) (George 1 FT),"[203994, 1641718]",1610612756.0,PHX,shooting,,,Nurkić,J. Nurkić,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,202053.0,1.0,0.0,George,1641718.0,,
24,PT10M16.00S,2024-12-14T02:43:10.7Z,1,REGULAR,freethrow,1 of 1,[],1641718,,,1610612762,9,9,2024-12-14T02:43:10Z,240000,False,,,0,,K. George Free Throw 1 of 1 (3 PTS),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,,,,Made,,,,,3.0,,,,,,,,,,
25,PT10M10.00S,2024-12-14T02:43:23.2Z,1,REGULAR,foul,offensive,[],203994,,,1610612756,9,9,2024-12-14T02:43:28Z,250000,False,,,0,,J. Nurkić offensive FOUL (2 PF),"[203994, 1641718]",1610612756.0,PHX,,,,Nurkić,J. Nurkić,,,,,Mid-Range,24+ Left,,,,,,,,,,,,,,2004.0,2.0,0.0,George,1641718.0,,
27,PT10M10.00S,2024-12-14T02:43:23.2Z,1,REGULAR,turnover,offensive foul,[],203994,,,1610612756,9,9,2024-12-14T02:43:23Z,270000,False,,,0,,J. Nurkić offensive foul TURNOVER (2 TO),[203994],1610612756.0,PHX,,,,Nurkić,J. Nurkić,,,,,Mid-Range,24+ Left,2.0,,,,,,,,,,,,,2004.0,,,,,,
28,PT09M51.00S,2024-12-14T02:43:59.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629012,17.559132720105126,19.11764705882353,1610612762,9,9,2024-12-14T02:44:04Z,280000,False,154.0,113.0,1,left,MISS C. Sexton 19' pullup Shot,[1629012],1610612762.0,UTA,pullup,,,Sexton,C. Sexton,,,,,Mid-Range,16-24 Right,,,,19.11,Missed,,,,,,,,,,,,,,,
29,PT09M48.00S,2024-12-14T02:44:02.5Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,9,9,2024-12-14T02:44:04Z,290000,False,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Mid-Range,16-24 Right,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,
