actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-23T19:41:03.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-23T19:41:03Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-03-23T19:41:05.6Z,1,REGULAR,jumpball,recovered,[],1642268,,,1610612762,0,0,2025-03-23T19:41:05Z,40000,False,,,0,,Jump Ball W. Kessler vs. J. Allen: Tip to I. Collier,"[1642268, 1631117, 1628386]",1610612762.0,UTA,startperiod,I. Collier,1642268.0,Collier,I. Collier,Kessler,1631117.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2025-03-23T19:41:15.5Z,1,REGULAR,turnover,out-of-bounds,[],1642268,,,1610612762,0,0,2025-03-23T19:41:22Z,70000,False,,,0,,I. Collier lost ball out-of-bounds TURNOVER (1 TO),[1642268],1610612762.0,UTA,lost ball,,,Collier,I. Collier,,,,,In The Paint (Non-RA),8-16 Right,1179.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2025-03-23T19:41:32.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628378,92.46057818659659,55.88235294117647,1610612739,0,2,2025-03-23T19:41:38Z,80000,False,29.0,18.0,1,right,D. Mitchell driving finger roll Layup (2 PTS),[1628378],1610612739.0,CLE,driving finger roll,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,3.47,Made,2.0,,,,,,,,,,,,,,,
9,PT11M20.00S,2025-03-23T19:41:47.5Z,1,REGULAR,3pt,Jump Shot,[],1642262,17.821944809461236,4.901960784313726,1610612762,0,2,2025-03-23T19:41:53Z,90000,False,225.0,115.0,1,left,MISS C. Williams 25' 3PT,[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,Above the Break 3,24+ Right Center,,,25.31,Missed,,,,,,,,,,,,,,,,
10,PT11M18.00S,2025-03-23T19:41:49.5Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612739,0,2,2025-03-23T19:41:53Z,100000,False,,,0,,M. Strus REBOUND (Off:0 Def:1),[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Right Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M07.00S,2025-03-23T19:42:01.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630596,87.86136662286465,44.6078431372549,1610612739,0,4,2025-03-23T19:42:18Z,110000,False,-27.0,62.0,1,right,E. Mobley 6' driving Hook (2 PTS) (D. Mitchell 1 AST),"[1630596, 1628378]",1610612739.0,CLE,driving,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,,,6.73,Made,2.0,,,,,D. Mitchell,1628378.0,1.0,,,,,,,,
13,PT10M52.00S,2025-03-23T19:42:16.4Z,1,REGULAR,turnover,bad pass,[],1629012,,,1610612762,0,4,2025-03-23T19:42:50Z,130000,False,,,0,,C. Sexton bad pass TURNOVER (1 TO),"[1629012, 1629636]",1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Mid-Range,16-24 Left Center,,1.0,,,,,,,,,,,Garland,1629636.0,,,,,,
14,PT10M52.00S,2025-03-23T19:42:16.4Z,1,REGULAR,steal,,[],1629636,,,1610612739,0,4,2025-03-23T19:42:18Z,140000,False,,,0,,D. Garland STEAL (1 STL),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
15,PT10M49.00S,2025-03-23T19:42:20.1Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1629636,70.90998685939553,73.52941176470588,1610612739,0,4,2025-03-23T19:43:01Z,150000,False,118.0,221.0,1,right,MISS D. Garland 25' running pullup 3PT,[1629636],1610612739.0,CLE,running pullup,,,Garland,D. Garland,,,,,Above the Break 3,24+ Right Center,,,25.03,Missed,,,,,,,,,,,,,,,,
16,PT10M47.00S,2025-03-23T19:42:22.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,0,4,2025-03-23T19:43:01Z,160000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,15.0,,,,,,,,,,,,,,
18,PT10M45.00S,2025-03-23T19:42:44.1Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1629636,92.9862023653088,22.794117647058822,1610612739,0,6,2025-03-23T19:42:49Z,180000,False,-136.0,13.0,1,right,D. Garland 13' pullup Jump Shot (2 PTS) (D. Mitchell 2 AST),"[1629636, 1628378]",1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,Mid-Range,8-16 Left,,,13.67,Made,2.0,,,,,D. Mitchell,1628378.0,2.0,,,,,,,,
20,PT10M21.00S,2025-03-23T19:43:07.2Z,1,REGULAR,3pt,Jump Shot,[],1642262,4.812746386333772,94.6078431372549,1610612762,0,6,2025-03-23T19:43:12Z,200000,False,-223.0,-7.0,1,left,MISS C. Williams 3PT,[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,Left Corner 3,24+ Left,,,22.31,Missed,,,,,,,,,,,,,,,,
21,PT10M19.00S,2025-03-23T19:43:09.2Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,0,6,2025-03-23T19:43:12Z,210000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Left Corner 3,24+ Left,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,
22,PT10M16.00S,2025-03-23T19:43:13.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628378,67.36202365308804,23.774509803921568,1610612739,0,6,2025-03-23T19:43:20Z,220000,False,-131.0,254.0,1,right,MISS D. Mitchell 28' running pullup 3PT,[1628378],1610612739.0,CLE,running pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,,,28.61,Missed,,,,,,,,,,,,,,,,
23,PT10M12.00S,2025-03-23T19:43:17.6Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,0,6,2025-03-23T19:43:20Z,230000,False,,,0,,W. Kessler REBOUND (Off:0 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Left Center,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,
24,PT09M52.00S,2025-03-23T19:43:38.9Z,1,REGULAR,turnover,bad pass,[],1642268,,,1610612762,0,6,2025-03-23T19:43:44Z,240000,False,,,0,,I. Collier bad pass TURNOVER (2 TO),"[1642268, 1628378]",1610612762.0,UTA,,,,Collier,I. Collier,,,,,In The Paint (Non-RA),0-8 Center,,2.0,,,,,,,,,,,Mitchell,1628378.0,,,,,,
25,PT09M52.00S,2025-03-23T19:43:38.9Z,1,REGULAR,steal,,[],1628378,,,1610612739,0,6,2025-03-23T19:43:41Z,250000,False,,,0,,D. Mitchell STEAL (1 STL),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
