actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-12-02T01:11:03.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-02T01:11:03Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-12-02T01:11:04.9Z,1,REGULAR,jumpball,recovered,[],1641718,,,1610612762,0,0,2024-12-02T01:11:05Z,40000,False,,,0,,Jump Ball W. Kessler vs. A. Davis: Tip to K. George,"[1641718, 1631117, 203076]",1610612762.0,UTA,startperiod,K. George,1641718.0,George,K. George,Kessler,1631117.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-12-02T01:11:18.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631117,92.46057818659659,44.6078431372549,1610612762,2,0,2024-12-02T01:11:23Z,70000,False,-27.0,18.0,1,right,W. Kessler DUNK (2 PTS) (J. Collins 1 AST),"[1631117, 1628381]",1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,3.27,Made,2.0,J. Collins,1628381.0,1.0,,,,,,,,,,,,,,
9,PT11M45.00S,2024-12-02T01:11:22.0Z,1,REGULAR,foul,personal,['1freethrow'],1642261,,,1610612762,2,0,2024-12-02T01:11:30Z,90000,False,,,0,,D. Knecht shooting personal FOUL (1 PF) (Kessler 1 FT),"[1642261, 1631117]",1610612747.0,LAL,shooting,,,Knecht,D. Knecht,,,,,Restricted Area,0-8 Center,,,,,,,203593.0,1.0,0.0,Kessler,1631117.0,,,,,,,,,
11,PT11M45.00S,2024-12-02T01:11:42.8Z,1,REGULAR,freethrow,1 of 1,[],1631117,,,1610612762,3,0,2024-12-02T01:11:42Z,110000,False,,,0,,W. Kessler Free Throw 1 of 1 (3 PTS),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
12,PT11M33.00S,2024-12-02T01:11:58.9Z,1,REGULAR,foul,personal,['2freethrow'],1631117,,,1610612747,3,0,2024-12-02T01:12:03Z,120000,False,,,0,,W. Kessler shooting personal FOUL (1 PF) (Davis 2 FT),"[1631117, 203076]",1610612762.0,UTA,shooting,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,,203593.0,1.0,0.0,Davis,203076.0,,,,,,,,,
14,PT11M33.00S,2024-12-02T01:12:28.9Z,1,REGULAR,freethrow,1 of 2,[],203076,,,1610612747,3,0,2024-12-02T01:12:29Z,140000,False,,,0,,MISS A. Davis Free Throw 1 of 2,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
15,PT11M33.00S,2024-12-02T01:12:28.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612747,3,0,2024-12-02T01:12:29Z,150000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,
16,PT11M33.00S,2024-12-02T01:12:52.3Z,1,REGULAR,freethrow,2 of 2,[],203076,,,1610612747,3,1,2024-12-02T01:12:52Z,160000,False,,,0,,A. Davis Free Throw 2 of 2 (1 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
65,PT11M18.00S,2024-12-02T01:12:48.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,81.2910643889619,63.970588235294116,1610612762,3,1,2024-12-02T01:29:24Z,165000,False,70.0,123.0,1,right,MISS J. Collins 14' driving Layup - blocked,"[1628381, 2544]",1610612762.0,UTA,driving,,,Collins,J. Collins,,,,,In The Paint (Non-RA),8-16 Center,14.18,Missed,,,,,,,,,,,James,2544.0,,,,,,
66,PT11M18.00S,2024-12-02T01:12:48.9Z,1,REGULAR,block,,[],2544,,,1610612762,3,1,2024-12-02T01:19:25Z,167500,False,,,0,,L. James BLOCK (1 BLK),[2544],1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
67,PT11M18.00S,2024-12-02T01:12:48.9Z,1,REGULAR,rebound,defensive,[],1629216,,,1610612747,3,1,2024-12-02T01:19:25Z,168750,False,,,0,,G. Vincent REBOUND (Off:0 Def:1),[1629216],1610612747.0,LAL,,,,Vincent,G. Vincent,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,65.0,,,1.0,1.0,0.0,,,
19,PT11M13.00S,2024-12-02T01:13:13.9Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1629060,7.440867279894875,50.49019607843137,1610612747,3,3,2024-12-02T01:29:38Z,190000,False,-2.0,17.0,1,left,R. Hachimura running DUNK (2 PTS) (L. James 1 AST),"[1629060, 2544]",1610612747.0,LAL,running,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,1.76,Made,2.0,L. James,2544.0,1.0,,,,,,,,,,,,,,
