actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-10-30T01:10:50.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-10-30T01:10:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-10-30T01:10:53.9Z,1,REGULAR,jumpball,recovered,[],201942,,,1610612758,0,0,2024-10-30T01:10:53Z,40000,False,,,0,,Jump Ball D. Sabonis vs. W. Kessler: Tip to D. DeRozan,"[201942, 1627734, 1631117]",1610612758.0,SAC,startperiod,D. DeRozan,201942.0,DeRozan,D. DeRozan,Sabonis,1627734.0,Kessler,1631117.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-10-30T01:11:08.8Z,1,REGULAR,3pt,Jump Shot,[],1631099,4.02431011826544,3.1862745098039214,1610612758,0,0,2024-10-30T01:11:16Z,70000,False,234.0,-15.0,1,left,MISS K. Murray 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Right Corner 3,24+ Right,23.46,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2024-10-30T01:11:10.8Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,0,0,2024-10-30T01:11:32Z,80000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:0),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Right Corner 3,24+ Right,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M36.00S,2024-10-30T01:11:14.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627734,5.590000152587891,50.0,1610612758,0,2,2024-10-30T01:11:14Z,90000,False,0.0,0.0,1,left,D. Sabonis putback Layup (2 PTS),[1627734],1610612758.0,SAC,putback,,,Sabonis,D. Sabonis,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M09.00S,2024-10-30T01:11:40.1Z,1,REGULAR,2pt,Jump Shot,[],1628374,84.1819973718791,7.598039215686274,1610612762,2,2,2024-10-30T01:11:46Z,100000,False,-212.0,96.0,1,right,L. Markkanen 23' step back Jump Shot (2 PTS),[1628374],1610612762.0,UTA,step back,,,Markkanen,L. Markkanen,,,,,Mid-Range,16-24 Left,23.28,Made,,,,,2.0,,,,,,,,,,,,,
11,PT10M51.00S,2024-10-30T01:12:00.5Z,1,REGULAR,foul,personal,[],1631117,,,1610612758,2,2,2024-10-30T01:12:09Z,110000,False,,,0,,W. Kessler personal FOUL (1 PF),"[1631117, 1627734]",1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Mid-Range,16-24 Right,,,,,,,,1628171.0,1.0,0.0,Sabonis,1627734.0,,,,,,,,
13,PT10M45.00S,2024-10-30T01:12:22.6Z,1,REGULAR,2pt,Jump Shot,[],201942,25.04927726675427,66.66666666666666,1610612758,2,4,2024-10-30T01:12:27Z,130000,False,-83.0,183.0,1,left,D. DeRozan 20' Jump Shot (2 PTS) (D. Sabonis 1 AST),"[201942, 1627734]",1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left Center,20.11,Made,,,,,2.0,,,,,,D. Sabonis,1627734.0,1.0,,,,,
15,PT10M31.00S,2024-10-30T01:12:35.3Z,1,REGULAR,turnover,bad pass,[],1631117,,,1610612762,2,4,2024-10-30T01:12:46Z,150000,False,,,0,,W. Kessler bad pass TURNOVER (1 TO),"[1631117, 1631099]",1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,1.0,Murray,1631099.0,,
16,PT10M31.00S,2024-10-30T01:12:35.3Z,1,REGULAR,steal,,[],1631099,,,1610612758,2,4,2024-10-30T01:12:37Z,160000,False,,,0,,K. Murray STEAL (1 STL),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
