actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-01-16T02:11:14.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-16T02:11:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-16T02:11:16.6Z,1,REGULAR,jumpball,recovered,[],1630182,,,1610612766,0,0,2025-01-16T02:11:16Z,40000,False,,,0,,Jump Ball M. Williams vs. W. Kessler: Tip to J. Green,"[1630182, 1631109, 1631117]",1610612766.0,CHA,startperiod,J. Green,1630182.0,Green,J. Green,Williams,1631109.0,Kessler,1631117.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-01-16T02:11:29.9Z,1,REGULAR,3pt,Jump Shot,[],1641706,29.38567674113009,27.696078431372552,1610612766,0,3,2025-01-16T02:11:35Z,70000,False,112.0,224.0,1,left,B. Miller 24' 3PT  (3 PTS) (M. Bridges 1 AST),"[1641706, 1628970]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,24.99,Made,3.0,M. Bridges,1628970.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2025-01-16T02:11:47.6Z,1,REGULAR,turnover,out-of-bounds,[],1642268,,,1610612762,0,3,2025-01-16T02:12:26Z,90000,False,,,0,,I. Collier bad pass out-of-bounds TURNOVER (1 TO),[1642268],1610612762.0,UTA,bad pass,,,Collier,I. Collier,,,,,Above the Break 3,24+ Right Center,,,,,,,1627962.0,1.0,,,,,,,,,,,,
10,PT11M26.00S,2025-01-16T02:11:55.8Z,1,REGULAR,turnover,out-of-bounds,[],1630163,,,1610612766,0,3,2025-01-16T02:12:23Z,100000,False,,,0,,L. Ball bad pass out-of-bounds TURNOVER (1 TO),[1630163],1610612766.0,CHA,bad pass,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,,,,,,,1627962.0,1.0,,,,,,,,,,,,
11,PT11M14.00S,2025-01-16T02:12:27.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1641718,82.9993429697766,37.254901960784316,1610612762,0,3,2025-01-16T02:12:32Z,110000,False,-64.0,107.0,1,right,MISS K. George 12' driving floating Shot - blocked,"[1641718, 1630163]",1610612762.0,UTA,driving floating,,,George,K. George,,,,,In The Paint (Non-RA),8-16 Center,12.48,Missed,,,,,,,Ball,1630163.0,,,,,,,,,,
12,PT11M14.00S,2025-01-16T02:12:27.9Z,1,REGULAR,block,,[],1630163,,,1610612762,0,3,2025-01-16T02:12:31Z,120000,False,,,0,,L. Ball BLOCK (1 BLK),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M12.00S,2025-01-16T02:12:29.9Z,1,REGULAR,rebound,offensive,[],1641718,,,1610612762,0,3,2025-01-16T02:12:32Z,130000,False,,,0,,K. George REBOUND (Off:1 Def:0),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,
14,PT11M12.00S,2025-01-16T02:12:33.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance', 'defensivegoaltending']",1641718,88.91261498028909,44.6078431372549,1610612762,2,3,2025-01-16T02:12:46Z,140000,False,-27.0,52.0,1,right,K. George putback Layup (2 PTS),[1641718],1610612762.0,UTA,putback,,,George,K. George,,,,,In The Paint (Non-RA),0-8 Center,5.83,Made,2.0,,,,,,,,,,,,,,,,,
15,PT11M12.00S,2025-01-16T02:12:36.6Z,1,REGULAR,violation,defensive goaltending,[],1631109,,,1610612762,2,3,2025-01-16T02:12:46Z,150000,False,,,0,,M. Williams defensive goaltending VIOLATION,[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,,,,,,,,,1627962.0,,,,,,,,,,,,,
