actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-03-20T01:10:47.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-20T01:10:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-20T01:10:49.5Z,1,REGULAR,jumpball,recovered,[],1642268,,,1610612762,0,0,2025-03-20T01:10:49Z,40000,False,,,0,,Jump Ball W. Kessler vs. A. Sarr: Tip to I. Collier,"[1642268, 1631117, 1642259]",1610612762.0,UTA,startperiod,I. Collier,1642268.0,Collier,I. Collier,Kessler,1631117.0,Sarr,1642259.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M50.00S,2025-03-20T01:10:59.0Z,1,REGULAR,3pt,Jump Shot,[],1631117,69.59592641261499,33.088235294117645,1610612762,0,0,2025-03-20T01:12:27Z,80000,False,-85.0,233.0,1,right,MISS W. Kessler 24' 3PT,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Left Center,24.82,Missed,,,,,,,,,,,,,,,,,,
9,PT11M47.00S,2025-03-20T01:11:02.0Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,0,0,2025-03-20T01:12:27Z,90000,False,,,0,,A. Sarr REBOUND (Off:0 Def:1),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Left Center,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M36.00S,2025-03-20T01:11:22.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642358,9.149145860709593,51.470588235294116,1610612764,0,2,2025-03-20T01:12:38Z,100000,False,-7.0,34.0,1,left,A. Johnson driving Layup (2 PTS),[1642358],1610612764.0,WAS,driving,,,Johnson,A. Johnson,,,,,Restricted Area,0-8 Center,3.43,Made,,,,,2.0,,,,,,,,,,,,,
11,PT11M18.00S,2025-03-20T01:11:31.2Z,1,REGULAR,turnover,out-of-bounds,[],1629012,,,1610612762,0,2,2025-03-20T01:11:40Z,110000,False,,,0,,C. Sexton bad pass out-of-bounds TURNOVER (1 TO),[1629012],1610612762.0,UTA,bad pass,,,Sexton,C. Sexton,,,,,Mid-Range,8-16 Right,,,,,,,,202041.0,1.0,,,,,,,,,,,
12,PT11M10.00S,2025-03-20T01:11:41.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629673,30.962549277266753,63.48039215686274,1610612764,0,2,2025-03-20T01:12:41Z,120000,False,-67.0,239.0,1,left,MISS J. Poole 24' pullup 3PT,[1629673],1610612764.0,WAS,pullup,,,Poole,J. Poole,,,,,Above the Break 3,24+ Center,24.78,Missed,,,,,,,,,,,,,,,,,,
13,PT11M10.00S,2025-03-20T01:11:41.9Z,1,REGULAR,rebound,offensive,[],1642259,,,1610612764,0,2,2025-03-20T01:12:41Z,130000,False,,,0,,A. Sarr REBOUND (Off:1 Def:1),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Center,,,12.0,2.0,1.0,1.0,,,,,,,,,,,,,,
14,PT11M00.00S,2025-03-20T01:11:52.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1642259,16.507884362680684,93.87254901960785,1610612764,0,5,2025-03-20T01:11:58Z,140000,False,-219.0,103.0,1,left,A. Sarr 24' 3PT  (3 PTS) (A. Johnson 1 AST),"[1642259, 1642358]",1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Left Center,24.22,Made,,,,,3.0,,,A. Johnson,1642358.0,1.0,,,,,,,,
16,PT10M46.00S,2025-03-20T01:12:06.0Z,1,REGULAR,3pt,Jump Shot,[],1631117,69.99014454664915,69.36274509803921,1610612762,0,5,2025-03-20T01:12:10Z,160000,False,97.0,230.0,1,right,MISS W. Kessler 24' 3PT,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Right Center,24.92,Missed,,,,,,,,,,,,,,,,,,
