actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-26T01:11:10.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-26T01:11:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-03-26T01:11:12.6Z,1,REGULAR,jumpball,recovered,[],1642262,,,1610612762,0,0,2025-03-26T01:11:12Z,40000,False,,,0,,Jump Ball W. Kessler vs. J. Jackson Jr.: Tip to C. Williams,"[1642262, 1631117, 1628991]",1610612762.0,UTA,startperiod,C. Williams,1642262.0,Williams,C. Williams,Kessler,1631117.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2025-03-26T01:11:34.0Z,1,REGULAR,3pt,Jump Shot,[],1642268,27.283180026281208,76.47058823529412,1610612762,3,0,2025-03-26T01:11:39Z,70000,False,-132.0,204.0,1,left,I. Collier 24' 3PT  (3 PTS) (C. Sexton 1 AST),"[1642268, 1629012]",1610612762.0,UTA,,,,Collier,I. Collier,,,,,Above the Break 3,24+ Left Center,24.32,Made,3.0,C. Sexton,1629012.0,1.0,,,,,,,,,,,,,,
9,PT11M18.00S,2025-03-26T01:11:51.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,89.70105124835742,46.32352941176471,1610612763,3,2,2025-03-26T01:11:56Z,90000,False,-18.0,44.0,1,right,J. Jackson Jr. driving Layup (2 PTS) (S. Pippen Jr. 1 AST),"[1628991, 1630590]",1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,4.8,Made,2.0,S. Pippen Jr.,1630590.0,1.0,,,,,,,,,,,,,,
11,PT11M07.00S,2025-03-26T01:12:03.7Z,1,REGULAR,3pt,Jump Shot,[],1642271,29.517082785808146,25.49019607843137,1610612762,3,2,2025-03-26T01:12:08Z,110000,False,123.0,225.0,1,left,MISS K. Filipowski 25' 3PT,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Above the Break 3,24+ Right Center,25.62,Missed,,,,,,,,,,,,,,,,,,
12,PT11M06.00S,2025-03-26T01:12:04.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612763,3,2,2025-03-26T01:12:08Z,120000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,11.0,,,,,,,,,,,,,
14,PT10M59.00S,2025-03-26T01:12:19.7Z,1,REGULAR,3pt,Jump Shot,[],1628991,67.49342969776609,50.245098039215684,1610612763,3,2,2025-03-26T01:12:24Z,140000,False,1.0,253.0,1,right,MISS J. Jackson Jr. 25' 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Center,25.31,Missed,,,,,,,,,,,,,,,,,,
15,PT10M55.00S,2025-03-26T01:12:23.7Z,1,REGULAR,rebound,defensive,[],1629012,,,1610612762,3,2,2025-03-26T01:12:24Z,150000,False,,,0,,C. Sexton REBOUND (Off:0 Def:1),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Center,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M49.00S,2025-03-26T01:12:29.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629012,10.33180026281209,42.64705882352941,1610612762,5,2,2025-03-26T01:12:33Z,160000,False,37.0,45.0,1,left,C. Sexton driving Layup (2 PTS) (I. Collier 1 AST),"[1629012, 1642268]",1610612762.0,UTA,driving,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,5.78,Made,2.0,I. Collier,1642268.0,1.0,,,,,,,,,,,,,,
18,PT10M38.00S,2025-03-26T01:12:39.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,89.17542706964521,40.931372549019606,1610612763,5,2,2025-03-26T01:13:12Z,180000,False,-45.0,49.0,1,right,MISS J. Jackson Jr. 6' driving Layup,[1628991],1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,6.7,Missed,,,,,,,,,,,,,,,,,,
