actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-15T01:42:34.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-15T01:42:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-03-15T01:42:39.9Z,1,REGULAR,jumpball,recovered,[],1630193,,,1610612761,0,0,2025-03-15T01:42:39Z,40000,False,,,0,,Jump Ball C. Castleton vs. L. Markkanen: Tip to I. Quickley,"[1630193, 1630658, 1628374]",1610612761.0,TOR,startperiod,I. Quickley,1630193.0,Quickley,I. Quickley,Castleton,1630658.0,Markkanen,1628374.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-03-15T01:42:47.2Z,1,REGULAR,3pt,Jump Shot,[],1642419,68.15045992115637,38.970588235294116,1610612761,0,0,2025-03-15T01:42:52Z,70000,False,-55.0,247.0,1,right,MISS J. Battle 25' 3PT,[1642419],1610612761.0,TOR,,,,Battle,J. Battle,,,,,Above the Break 3,24+ Center,25.3,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2025-03-15T01:42:49.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,0,0,2025-03-15T01:42:52Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Above the Break 3,24+ Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2025-03-15T01:43:32.8Z,1,REGULAR,3pt,Jump Shot,[],1628374,24.78646517739816,87.74509803921569,1610612762,3,0,2025-03-15T01:43:54Z,100000,False,-189.0,180.0,1,left,L. Markkanen 26' 3PT  (3 PTS) (I. Collier 1 AST),"[1628374, 1642268]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Left Center,26.11,Made,,3.0,I. Collier,1642268.0,1.0,,,,,,,,,,,,,
12,PT11M06.00S,2025-03-15T01:43:50.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,87.99277266754271,38.72549019607843,1610612761,3,0,2025-03-15T01:44:11Z,120000,False,-56.0,60.0,1,right,MISS S. Barnes 8' driving Layup,[1630567],1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),8-16 Left,8.26,Missed,,,,,,,,,,,,,,,,,,
13,PT11M04.00S,2025-03-15T01:43:52.4Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,3,0,2025-03-15T01:52:41Z,130000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),8-16 Left,,,12.0,,,,,1.0,1.0,0.0,,,,,,,,,,
14,PT11M00.00S,2025-03-15T01:43:56.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1642271,8.623521681997373,53.92156862745098,1610612762,3,0,2025-03-15T02:02:31Z,140000,False,-20.0,29.0,1,left,MISS K. Filipowski running Layup,[1642271],1610612762.0,UTA,running,,,Filipowski,K. Filipowski,,,,,Restricted Area,0-8 Center,3.47,Missed,,,,,,,,,,,,,,,,,,
15,PT10M58.00S,2025-03-15T01:43:58.2Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612761,3,0,2025-03-15T01:44:01Z,150000,False,,,0,,I. Quickley REBOUND (Off:0 Def:1),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Restricted Area,0-8 Center,,,14.0,,,,,1.0,1.0,0.0,,,,,,,,,,
16,PT10M52.00S,2025-03-15T01:44:04.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630658,92.32917214191852,46.07843137254902,1610612761,3,2,2025-03-15T01:45:12Z,160000,False,-20.0,20.0,1,right,C. Castleton cutting Layup (2 PTS) (R. Barrett 1 AST),"[1630658, 1629628]",1610612761.0,TOR,cutting,,,Castleton,C. Castleton,,,,,Restricted Area,0-8 Center,2.77,Made,,2.0,R. Barrett,1629628.0,1.0,,,,,,,,,,,,,
