gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0022400658,367,PT09M31.00S,3,1610612762,UTA,1642268,Collier,I. Collier,0,0,0,,0,,,0,h,Collier Out of Bounds - Bad Pass Turnover Turnover (P3.T7),Turnover,Out of Bounds - Bad Pass Turnover,1,0,255
0022400658,368,PT09M20.00S,3,1610612749,MIL,203507,Antetokounmpo,G. Antetokounmpo,-5,133,13,Made,1,66,75,141,v,Antetokounmpo 13' Fadeaway Jumper (26 PTS) (Jackson Jr. 1 AST),Made Shot,Fadeaway Jump Shot,1,2,256
0022400658,370,PT08M59.00S,3,1610612762,UTA,1642268,Collier,I. Collier,0,0,0,,0,,,0,h,Collier Bad Pass Turnover (P4.T8),Turnover,Bad Pass,1,0,257
0022400658,370,PT08M59.00S,3,1610612749,MIL,1627752,Prince,T. Prince,0,0,0,,0,,,0,v,Prince STEAL (2 STL),,,1,0,258
0022400658,372,PT08M53.00S,3,1610612749,MIL,203081,Lillard,D. Lillard,205,136,25,Made,1,66,78,144,v,Lillard 25' 3PT Step Back Jump Shot (17 PTS) (Antetokounmpo 4 AST),Made Shot,Step Back Jump shot,1,3,259
0022400658,374,PT08M52.00S,3,0,,1610612762,,,0,0,0,,0,,,0,h,JAZZ Timeout: Regular (Full 3 Short 0),Timeout,Regular,0,0,260
0022400658,376,PT08M42.00S,3,1610612762,UTA,1628374,Markkanen,L. Markkanen,-123,236,27,Missed,1,,,0,h,MISS Markkanen 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,261
0022400658,377,PT08M41.00S,3,1610612749,MIL,203081,Lillard,D. Lillard,0,0,0,,0,,,0,v,Lillard REBOUND (Off:0 Def:3),Rebound,Unknown,1,0,262
0022400658,378,PT08M35.00S,3,1610612749,MIL,1627752,Prince,T. Prince,0,0,0,,0,,,0,v,Prince Bad Pass Turnover (P1.T7),Turnover,Bad Pass,1,0,263
0022400658,378,PT08M35.00S,3,1610612762,UTA,1629234,Eubanks,D. Eubanks,0,0,0,,0,,,0,h,Eubanks STEAL (1 STL),,,1,0,264
0022400658,380,PT08M30.00S,3,1610612762,UTA,1642268,Collier,I. Collier,28,14,3,Missed,1,,,0,h,MISS Collier 3' Running Layup,Missed Shot,Running Layup Shot,1,2,265
0022400658,380,PT08M30.00S,3,1610612749,MIL,201572,Lopez,B. Lopez,0,0,0,,0,,,0,v,Lopez BLOCK (3 BLK),,,1,2,266
0022400658,382,PT08M26.00S,3,1610612749,MIL,203507,Antetokounmpo,G. Antetokounmpo,0,0,0,,0,,,0,v,Antetokounmpo REBOUND (Off:1 Def:9),Rebound,Unknown,1,0,267
0022400658,383,PT08M22.00S,3,1610612749,MIL,203081,Lillard,D. Lillard,1,134,13,Made,1,66,80,146,v,Lillard 13' Step Back Jump Shot (19 PTS) (Jackson Jr. 2 AST),Made Shot,Step Back Jump shot,1,2,268
0022400658,385,PT07M59.00S,3,1610612762,UTA,1629234,Eubanks,D. Eubanks,-12,100,10,Missed,1,,,0,h,MISS Eubanks 10' Floating Jump Shot,Missed Shot,Floating Jump shot,1,2,269
0022400658,386,PT07M58.00S,3,1610612749,MIL,203507,Antetokounmpo,G. Antetokounmpo,0,0,0,,0,,,0,v,Antetokounmpo REBOUND (Off:1 Def:10),Rebound,Unknown,1,0,270
0022400658,450,PT07M49.00S,3,1610612749,MIL,203507,Antetokounmpo,G. Antetokounmpo,-1,53,5,Missed,1,,,0,v,MISS Antetokounmpo 5' Driving Layup,Missed Shot,Driving Layup Shot,1,2,271
0022400658,450,PT07M49.00S,3,1610612762,UTA,1630695,Potter,M. Potter,0,0,0,,0,,,0,h,Potter BLOCK (1 BLK),,,1,2,272
0022400658,452,PT07M49.00S,3,0,,1610612749,,,0,0,0,,0,,,0,v,Bucks Rebound,Rebound,Unknown,1,0,273
0022400658,389,PT07M49.00S,3,1610612762,UTA,1630695,Potter,M. Potter,0,0,0,,0,,,0,h,Jump Ball Potter vs. Antetokounmpo: Tip to Jackson Jr.,Jump Ball,,0,0,274
0022400658,387,PT07M49.00S,3,1610612762,UTA,1629234,Eubanks,D. Eubanks,0,0,0,,0,,,0,h,SUB: Filipowski FOR Eubanks,Substitution,,0,0,275
0022400658,392,PT07M31.00S,3,1610612749,MIL,201572,Lopez,B. Lopez,10,31,3,Made,1,66,82,148,v,Lopez 3' Driving Floating Jump Shot (8 PTS),Made Shot,Driving Floating Jump Shot,1,2,276
0022400658,393,PT07M10.00S,3,1610612762,UTA,1628374,Markkanen,L. Markkanen,-39,252,26,Missed,1,,,0,h,MISS Markkanen 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,277
0022400658,394,PT07M08.00S,3,1610612749,MIL,203507,Antetokounmpo,G. Antetokounmpo,0,0,0,,0,,,0,v,Antetokounmpo REBOUND (Off:1 Def:11),Rebound,Unknown,1,0,278
0022400658,395,PT07M04.00S,3,1610612749,MIL,203081,Lillard,D. Lillard,-196,272,34,Missed,1,,,0,v,MISS Lillard 34' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,1,3,279
0022400658,396,PT07M01.00S,3,1610612749,MIL,1641748,Jackson Jr.,A. Jackson Jr.,0,0,0,,0,,,0,v,Jackson Jr. REBOUND (Off:2 Def:2),Rebound,Unknown,1,0,280
0022400658,397,PT06M59.00S,3,1610612762,UTA,1630695,Potter,M. Potter,0,0,0,,0,,,0,h,Potter S.FOUL (P1.T1) (J.Van Duyne),Foul,Shooting,1,0,281
0022400658,399,PT06M59.00S,3,1610612749,MIL,203507,Antetokounmpo,G. Antetokounmpo,0,0,0,,0,,,0,v,MISS Antetokounmpo Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,1,0,282
0022400658,400,PT06M59.00S,3,0,,1610612749,,,0,0,0,,0,,,0,v,Bucks Rebound,Rebound,Normal Rebound,0,0,283
0022400658,401,PT06M59.00S,3,1610612762,UTA,1642268,Collier,I. Collier,0,0,0,,0,,,0,h,SUB: Sensabaugh FOR Collier,Substitution,,0,0,284
0022400658,403,PT06M59.00S,3,1610612762,UTA,1630695,Potter,M. Potter,0,0,0,,0,,,0,h,SUB: George FOR Potter,Substitution,,0,0,285
0022400658,405,PT06M59.00S,3,1610612749,MIL,203507,Antetokounmpo,G. Antetokounmpo,0,0,0,,0,,,0,v,MISS Antetokounmpo Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,1,0,286
0022400658,406,PT06M56.00S,3,1610612749,MIL,201572,Lopez,B. Lopez,0,0,0,,0,,,0,v,Lopez REBOUND (Off:1 Def:3),Rebound,Unknown,1,0,287
0022400658,407,PT06M48.00S,3,1610612749,MIL,203507,Antetokounmpo,G. Antetokounmpo,29,0,3,Made,1,66,84,150,v,Antetokounmpo 3' Driving Layup (28 PTS),Made Shot,Driving Layup Shot,1,2,288
0022400658,408,PT06M35.00S,3,1610612762,UTA,1641718,George,K. George,143,216,26,Missed,1,,,0,h,MISS George 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,3,289
