actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-02-25T02:10:50.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-25T02:10:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-02-25T02:10:52.9Z,1,REGULAR,jumpball,recovered,[],1630166,,,1610612757,0,0,2025-02-25T02:10:52Z,40000,False,,,0,,Jump Ball D. Clingan vs. K. Filipowski: Tip to D. Avdija,"[1630166, 1642270, 1642271]",1610612757.0,POR,startperiod,D. Avdija,1630166.0,Avdija,D. Avdija,Clingan,1642270.0,Filipowski,1642271.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2025-02-25T02:11:12.1Z,1,REGULAR,3pt,Jump Shot,[],203924,70.25295663600527,81.61764705882352,1610612757,0,3,2025-02-25T02:11:17Z,70000,False,158.0,227.0,1,right,J. Grant 27' 3PT  (3 PTS) (A. Simons 1 AST),"[203924, 1629014]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,27.67,Made,3.0,A. Simons,1629014.0,1.0,,,,,,,,,,,,,,
10,PT11M12.00S,2025-02-25T02:11:52.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642271,14.011169513797633,54.90196078431373,1610612762,0,3,2025-02-25T02:12:23Z,100000,False,-25.0,79.0,1,left,MISS K. Filipowski 8' floating Shot - blocked,"[1642271, 1642270]",1610612762.0,UTA,floating,,,Filipowski,K. Filipowski,,,,,In The Paint (Non-RA),8-16 Center,8.29,Missed,,,,,Clingan,1642270.0,,,,,,,,,,,,
11,PT11M12.00S,2025-02-25T02:11:52.1Z,1,REGULAR,block,,[],1642270,,,1610612762,0,3,2025-02-25T02:11:54Z,110000,False,,,0,,D. Clingan BLOCK (1 BLK),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2025-02-25T02:11:56.1Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,0,3,2025-02-25T02:21:51Z,120000,False,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
13,PT11M04.00S,2025-02-25T02:11:59.2Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630166,87.86136662286465,53.67647058823529,1610612757,0,3,2025-02-25T02:45:27Z,130000,False,18.0,62.0,1,right,MISS D. Avdija 6' driving floating Shot,[1630166],1610612757.0,POR,driving floating,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,6.43,Missed,,,,,,,,,,,,,,,,,,
14,PT11M04.00S,2025-02-25T02:11:59.2Z,1,REGULAR,rebound,offensive,[],1642270,,,1610612757,0,3,2025-02-25T02:22:04Z,140000,False,,,0,,D. Clingan REBOUND (Off:1 Def:0),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,
15,PT11M04.00S,2025-02-25T02:12:02.8Z,1,REGULAR,foul,personal,['2freethrow'],1641729,,,1610612757,0,3,2025-02-25T02:12:18Z,150000,False,,,0,,B. Sensabaugh shooting personal FOUL (1 PF) (Clingan 2 FT),"[1641729, 1642270]",1610612762.0,UTA,shooting,,,Sensabaugh,B. Sensabaugh,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1627961.0,1.0,0.0,Clingan,1642270.0,,,
17,PT11M04.00S,2025-02-25T02:12:25.6Z,1,REGULAR,freethrow,1 of 2,"['2ndchance', 'fastbreak']",1642270,,,1610612757,0,4,2025-02-25T02:22:07Z,170000,False,,,0,,D. Clingan Free Throw 1 of 2 (1 PTS),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
18,PT11M04.00S,2025-02-25T02:12:25.6Z,1,REGULAR,freethrow,2 of 2,"['2ndchance', 'fastbreak']",1642270,,,1610612757,0,5,2025-02-25T02:22:07Z,180000,False,,,0,,D. Clingan Free Throw 2 of 2 (2 PTS),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
20,PT10M47.00S,2025-02-25T02:13:11.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642271,9.149145860709593,49.26470588235294,1610612762,2,5,2025-02-25T02:44:45Z,200000,False,4.0,34.0,1,left,K. Filipowski fadeaway Jump Shot (2 PTS),[1642271],1610612762.0,UTA,fadeaway,,,Filipowski,K. Filipowski,,,,,Restricted Area,0-8 Center,3.37,Made,2.0,,,,,,,,,,,,,,,,,
21,PT10M34.00S,2025-02-25T02:13:24.6Z,1,REGULAR,3pt,Jump Shot,[],203924,92.32917214191852,96.32352941176471,1610612757,2,5,2025-02-25T02:13:29Z,210000,False,232.0,20.0,1,right,MISS J. Grant 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Right Corner 3,24+ Right,23.24,Missed,,,,,,,,,,,,,,,,,,
22,PT10M31.00S,2025-02-25T02:13:27.6Z,1,REGULAR,rebound,defensive,[],1642271,,,1610612762,2,5,2025-02-25T02:13:29Z,220000,False,,,0,,K. Filipowski REBOUND (Off:0 Def:1),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Right Corner 3,24+ Right,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,
23,PT10M22.00S,2025-02-25T02:13:35.6Z,1,REGULAR,3pt,Jump Shot,[],1630548,23.99802890932983,91.17647058823529,1610612762,5,5,2025-02-25T02:13:40Z,230000,False,-206.0,173.0,1,left,J. Juzang 26' 3PT  (3 PTS) (I. Collier 1 AST),"[1630548, 1642268]",1610612762.0,UTA,,,,Juzang,J. Juzang,,,,,Above the Break 3,24+ Left Center,26.9,Made,3.0,I. Collier,1642268.0,1.0,,,,,,,,,,,,,,
25,PT10M04.00S,2025-02-25T02:13:53.8Z,1,REGULAR,3pt,Jump Shot,[],1629014,69.99014454664915,23.52941176470588,1610612757,5,5,2025-02-25T02:14:01Z,250000,False,-132.0,230.0,1,right,MISS A. Simons 26' step back 3PT,[1629014],1610612757.0,POR,step back,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,26.5,Missed,,,,,,,,,,,,,,,,,,
26,PT10M00.00S,2025-02-25T02:13:57.8Z,1,REGULAR,rebound,defensive,[],1630231,,,1610612762,5,5,2025-02-25T02:14:01Z,260000,False,,,0,,K. Martin REBOUND (Off:0 Def:1),[1630231],1610612762.0,UTA,,,,Martin,K. Martin,,,,,Above the Break 3,24+ Left Center,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,
27,PT09M59.00S,2025-02-25T02:14:01.7Z,1,REGULAR,foul,personal,['2freethrow'],1629014,,,1610612762,5,5,2025-02-25T02:28:34Z,270000,False,,,0,,A. Simons shooting personal FOUL (1 PF) (Sensabaugh 2 FT),"[1629014, 1641729]",1610612757.0,POR,shooting,,,Simons,A. Simons,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1627961.0,1.0,0.0,Sensabaugh,1641729.0,,,
29,PT09M59.00S,2025-02-25T02:14:32.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1641729,,,1610612762,6,5,2025-02-25T02:28:42Z,290000,False,,,0,,B. Sensabaugh Free Throw 1 of 2 (1 PTS),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
30,PT09M59.00S,2025-02-25T02:14:32.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1641729,,,1610612762,7,5,2025-02-25T02:28:42Z,300000,False,,,0,,B. Sensabaugh Free Throw 2 of 2 (2 PTS),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
