actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-02-01T22:12:10.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-01T22:12:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-02-01T22:12:12.3Z,1,REGULAR,jumpball,recovered,[],1628381,,,1610612762,0,0,2025-02-01T22:12:12Z,40000,False,,,0,,Jump Ball W. Kessler vs. G. Bitadze: Tip to J. Collins,"[1628381, 1631117, 1629048]",1610612762.0,UTA,startperiod,J. Collins,1628381.0,Collins,J. Collins,Kessler,1631117.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2025-02-01T22:12:29.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629012,87.59855453350855,53.67647058823529,1610612762,0,0,2025-02-01T22:12:34Z,70000,False,18.0,64.0,1,right,MISS C. Sexton 6' driving floating Shot - blocked,"[1629012, 1629048]",1610612762.0,UTA,driving floating,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,6.67,Missed,Bitadze,1629048.0,,,,,,,,,,,,,,,,
8,PT11M39.00S,2025-02-01T22:12:29.9Z,1,REGULAR,block,,[],1629048,,,1610612762,0,0,2025-02-01T22:12:32Z,80000,False,,,0,,G. Bitadze BLOCK (1 BLK),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2025-02-01T22:12:31.9Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,0,0,2025-02-01T22:12:34Z,90000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M19.00S,2025-02-01T22:12:50.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,17.0335085413929,34.31372549019608,1610612753,0,0,2025-02-01T22:13:16Z,100000,False,78.0,108.0,1,left,MISS F. Wagner 13' turnaround fadeaway Shot,[1630532],1610612753.0,ORL,turnaround fadeaway,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Right,13.31,Missed,,,,,,,,,,,,,,,,,,
11,PT11M17.00S,2025-02-01T22:12:52.2Z,1,REGULAR,rebound,offensive,[],1641710,,,1610612753,0,0,2025-02-01T22:12:55Z,110000,False,,,0,,A. Black REBOUND (Off:1 Def:0),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,In The Paint (Non-RA),8-16 Right,,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,
12,PT11M15.00S,2025-02-01T22:12:54.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631094,32.40801576872536,77.94117647058823,1610612753,0,0,2025-02-01T22:12:59Z,120000,False,-140.0,252.0,1,left,MISS P. Banchero 28' 3PT,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,28.82,Missed,,,,,,,,,,,,,,,,,,
13,PT11M13.00S,2025-02-01T22:12:57.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,0,0,2025-02-01T22:12:57Z,130000,False,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,12.0,,,,,,,,,,,,,,,
15,PT10M58.00S,2025-02-01T22:13:21.3Z,1,REGULAR,3pt,Jump Shot,[],1629012,94.1688567674113,95.58823529411765,1610612762,0,0,2025-02-01T22:13:26Z,150000,False,228.0,2.0,1,right,MISS C. Sexton 3PT,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Right Corner 3,24+ Right,22.79,Missed,,,,,,,,,,,,,,,,,,
