actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-01-31T02:10:54.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-31T02:10:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-01-31T02:10:56.5Z,1,REGULAR,jumpball,recovered,[],1642268,,,1610612762,0,0,2025-01-31T02:10:56Z,40000,False,,,0,,Jump Ball W. Kessler vs. R. Gobert: Tip to I. Collier,"[1642268, 1631117, 203497]",1610612762.0,UTA,startperiod,I. Collier,1642268.0,Collier,I. Collier,Kessler,1631117.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-01-31T02:11:07.6Z,1,REGULAR,3pt,Jump Shot,[],1631117,30.962549277266753,34.31372549019608,1610612762,0,0,2025-01-31T02:11:12Z,70000,False,78.0,239.0,1,left,MISS W. Kessler 25' 3PT,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Center,25.11,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2025-01-31T02:11:09.6Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,0,0,2025-01-31T02:11:12Z,80000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2025-01-31T02:11:24.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203497,94.03745072273325,41.66666666666667,1610612750,0,0,2025-01-31T02:11:28Z,90000,False,-42.0,4.0,1,right,MISS R. Gobert turnaround Hook,[203497],1610612750.0,MIN,turnaround,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,4.18,Missed,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2025-01-31T02:11:27.0Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,0,0,2025-01-31T02:11:28Z,100000,False,,,0,,W. Kessler REBOUND (Off:0 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M23.00S,2025-01-31T02:11:30.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628374,26.10052562417871,7.8431372549019605,1610612762,3,0,2025-01-31T02:11:36Z,110000,False,211.0,193.0,1,left,L. Markkanen 28' 3PT running (3 PTS) (C. Sexton 1 AST),"[1628374, 1629012]",1610612762.0,UTA,running,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right Center,28.57,Made,,,,,3.0,C. Sexton,1629012.0,1.0,,,,,,,,,,
13,PT11M11.00S,2025-01-31T02:11:43.2Z,1,REGULAR,3pt,Jump Shot,[],203944,86.02168199737189,96.81372549019608,1610612750,3,0,2025-01-31T02:11:49Z,130000,False,234.0,79.0,1,right,MISS J. Randle 24' 3PT,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Right Corner 3,24+ Right,24.7,Missed,,,,,,,,,,,,,,,,,,
14,PT11M09.00S,2025-01-31T02:11:46.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,3,0,2025-01-31T02:11:46Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Right Corner 3,24+ Right,,,13.0,,,,,,,,,,,,,,,,,
16,PT11M02.00S,2025-01-31T02:12:08.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630162,77.7431011826544,28.676470588235293,1610612750,3,0,2025-01-31T02:12:15Z,160000,False,-107.0,157.0,1,right,MISS A. Edwards 18' pullup Shot,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Left Center,18.95,Missed,,,,,,,,,,,,,,,,,,
