actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-05T02:11:20.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-05T02:11:20Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-05T02:11:23.1Z,1,REGULAR,jumpball,recovered,[],1628984,,,1610612740,0,0,2022-02-05T02:11:23Z,40000,,,0,,Jump Ball J. Valanciunas vs. N. Jokic: Tip to D. Graham,"[1628984, 202685, 203999]",1610612740.0,NOP,startperiod,D. Graham,1628984.0,Graham,D. Graham,Valanciunas,202685.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-02-05T02:11:41.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630529,91.5407358738502,50.245098039215684,1610612740,0,2,2022-02-05T02:11:48Z,70000,1.0,27.0,1,right,H. Jones cutting DUNK (2 PTS) (J. Valanciunas 1 AST),"[1630529, 202685]",1610612740.0,NOP,cutting,,,Jones,H. Jones,,,,,2.7,Made,2.0,J. Valanciunas,202685.0,1.0,,,,,,,,,,,,,,
9,PT11M18.00S,2022-02-05T02:12:03.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201145,7.046649145860711,60.049019607843135,1610612743,0,2,2022-02-05T02:14:08Z,90000,-50.0,14.0,1,left,MISS J. Green cutting Layup,[201145],1610612743.0,DEN,cutting,,,Green,J. Green,,,,,5.2,Missed,,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2022-02-05T02:12:04.2Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,0,2,2022-02-05T02:14:08Z,100000,,,0,,N. Jokic REBOUND (Off:1 Def:0),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,
11,PT11M17.00S,2022-02-05T02:12:08.1Z,1,REGULAR,foul,personal,['2freethrow'],1629637,,,1610612743,0,2,2022-02-05T02:13:48Z,110000,,,0,,J. Hayes shooting personal FOUL (1 PF) (Jokic 2 FT),"[1629637, 203999]",1610612740.0,NOP,shooting,,,Hayes,J. Hayes,,,,,,,,,,,,,,,1201.0,1.0,0.0,Jokic,203999.0,,,,,
13,PT11M17.00S,2022-02-05T02:12:28.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203999,,,1610612743,1,2,2022-02-05T02:12:28Z,130000,,,0,,N. Jokic Free Throw 1 of 2 (1 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
14,PT11M17.00S,2022-02-05T02:12:45.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203999,,,1610612743,2,2,2022-02-05T02:12:45Z,140000,,,0,,N. Jokic Free Throw 2 of 2 (2 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
15,PT11M08.00S,2022-02-05T02:12:55.3Z,1,REGULAR,3pt,Jump Shot,[],202685,72.88107752956637,84.06862745098039,1610612740,2,2,2022-02-05T02:13:00Z,150000,170.0,202.0,1,right,MISS J. Valanciunas 26' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,26.45,Missed,,,,,,,,,,,,,,,,,,
16,PT11M03.00S,2022-02-05T02:13:00.3Z,1,REGULAR,rebound,defensive,[],203115,,,1610612743,2,2,2022-02-05T02:13:00Z,160000,,,0,,W. Barton REBOUND (Off:0 Def:1),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M58.00S,2022-02-05T02:13:04.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203115,8.623521681997373,40.931372549019606,1610612743,4,2,2022-02-05T02:13:17Z,170000,45.0,29.0,1,left,W. Barton driving floating Jump Shot (2 PTS),[203115],1610612743.0,DEN,driving floating,,,Barton,W. Barton,,,,,5.36,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M43.00S,2022-02-05T02:13:19.3Z,1,REGULAR,foul,personal,['2freethrow'],1628432,,,1610612740,4,2,2022-02-05T02:13:33Z,180000,,,0,,D. Reed shooting personal FOUL (1 PF) (Ingram 2 FT),"[1628432, 1627742]",1610612743.0,DEN,shooting,,,Reed,D. Reed,,,,,,,,,,,,,,,1201.0,1.0,0.0,Ingram,1627742.0,,,,,
20,PT10M43.00S,2022-02-05T02:13:47.4Z,1,REGULAR,freethrow,1 of 2,[],1627742,,,1610612740,4,3,2022-02-05T02:13:47Z,200000,,,0,,B. Ingram Free Throw 1 of 2 (1 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
21,PT10M43.00S,2022-02-05T02:14:08.2Z,1,REGULAR,freethrow,2 of 2,[],1627742,,,1610612740,4,4,2022-02-05T02:14:08Z,210000,,,0,,B. Ingram Free Throw 2 of 2 (2 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
