actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-01-20T03:10:47.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-20T03:10:47Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-20T03:10:49.6Z,1,REGULAR,jumpball,recovered,[],201145,,,1610612743,0,0,2022-01-20T03:10:49Z,40000,,,0,,Jump Ball N. Jokic vs. I. Zubac: Tip to J. Green,"[201145, 203999, 1627826]",1610612743.0,DEN,startperiod,J. Green,201145.0,Green,J. Green,Jokic,203999.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-01-20T03:11:04.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,8.754927726675426,45.09803921568628,1610612743,2,0,2022-01-20T03:11:58Z,70000,25.0,30.0,1,left,N. Jokic Hook (2 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,3.86,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2022-01-20T03:11:20.3Z,1,REGULAR,turnover,bad pass,[],1629599,,,1610612746,2,0,2022-01-20T03:12:17Z,80000,,,0,,A. Coffey bad pass TURNOVER (1 TO),"[1629599, 203999]",1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,1.0,Jokic,203999.0,,,,,,,,,,,,,,,
9,PT11M26.00S,2022-01-20T03:11:20.3Z,1,REGULAR,steal,,[],203999,,,1610612743,2,0,2022-01-20T03:11:22Z,90000,,,0,,N. Jokic STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M14.00S,2022-01-20T03:11:33.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628420,10.200394218134035,3.431372549019608,1610612743,2,0,2022-01-20T03:12:27Z,110000,233.0,43.0,1,left,MISS M. Morris 3PT,[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,23.68,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2022-01-20T03:11:36.1Z,1,REGULAR,rebound,defensive,[],202704,,,1610612746,2,0,2022-01-20T03:11:36Z,120000,,,0,,R. Jackson REBOUND (Off:0 Def:1),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT10M56.00S,2022-01-20T03:11:50.5Z,1,REGULAR,3pt,Jump Shot,[],202704,69.72733245729303,25.0,1610612746,2,0,2022-01-20T03:12:30Z,130000,-125.0,232.0,1,right,MISS R. Jackson 26' 3PT,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,26.36,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M53.00S,2022-01-20T03:11:53.5Z,1,REGULAR,rebound,offensive,[],201586,,,1610612746,2,0,2022-01-20T03:12:30Z,140000,,,0,,S. Ibaka REBOUND (Off:1 Def:0),[201586],1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,,
15,PT10M41.00S,2022-01-20T03:12:05.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201586,70.90998685939553,75.49019607843137,1610612746,2,3,2022-01-20T03:13:18Z,150000,127.0,221.0,1,right,S. Ibaka 25' 3PT pullup (3 PTS) (A. Coffey 1 AST),"[201586, 1629599]",1610612746.0,LAC,pullup,,,Ibaka,S. Ibaka,,,,,25.51,Made,3.0,,,,,,,,A. Coffey,1629599.0,1.0,,,,,,,,
17,PT10M18.00S,2022-01-20T03:12:27.7Z,1,REGULAR,3pt,Jump Shot,[],203932,7.703679369250986,95.58823529411765,1610612743,5,3,2022-01-20T03:12:39Z,170000,-228.0,20.0,1,left,A. Gordon 3PT  (3 PTS) (M. Morris 1 AST),"[203932, 1628420]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,22.88,Made,3.0,,,,,,,,M. Morris,1628420.0,1.0,,,,,,,,
19,PT10M02.00S,2022-01-20T03:12:44.4Z,1,REGULAR,turnover,lost ball,[],1627826,,,1610612746,5,3,2022-01-20T03:12:51Z,190000,,,0,,I. Zubac lost ball TURNOVER (1 TO),"[1627826, 201145]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,1.0,Green,201145.0,,,,,,,,,,,,,,,
20,PT10M02.00S,2022-01-20T03:12:44.4Z,1,REGULAR,steal,,[],201145,,,1610612743,5,3,2022-01-20T03:12:46Z,200000,,,0,,J. Green STEAL (1 STL),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT09M58.00S,2022-01-20T03:12:49.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203999,5.601182654402102,50.0,1610612743,7,3,2022-01-20T03:12:58Z,210000,0.0,0.0,1,left,N. Jokic running DUNK (4 PTS) (A. Gordon 1 AST),"[203999, 203932]",1610612743.0,DEN,running,,,Jokic,N. Jokic,,,,,0.02,Made,4.0,,,,,,,,A. Gordon,203932.0,1.0,,,,,,,,
23,PT09M44.00S,2022-01-20T03:13:05.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612746,7,3,2022-01-20T03:13:05Z,230000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT09M41.00S,2022-01-20T03:13:22.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,86.81011826544021,49.50980392156863,1610612746,7,3,2022-01-20T03:13:26Z,240000,-2.0,71.0,1,right,MISS I. Zubac 7' Layup - blocked,"[1627826, 203115]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,7.15,Missed,,,,,,,,,,,,Barton,203115.0,,,,,,
25,PT09M41.00S,2022-01-20T03:13:22.8Z,1,REGULAR,block,,[],203115,,,1610612746,7,3,2022-01-20T03:15:25Z,250000,,,0,,W. Barton BLOCK (1 BLK),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M39.00S,2022-01-20T03:13:24.8Z,1,REGULAR,rebound,defensive,[],201145,,,1610612743,7,3,2022-01-20T03:13:26Z,260000,,,0,,J. Green REBOUND (Off:0 Def:1),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,
27,PT09M35.00S,2022-01-20T03:13:28.3Z,1,REGULAR,turnover,lost ball,[],203115,,,1610612743,7,3,2022-01-20T03:13:32Z,270000,,,0,,W. Barton lost ball TURNOVER (1 TO),"[203115, 1629599]",1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,1.0,Coffey,1629599.0,,,,,,,,,,,,,,,
28,PT09M35.00S,2022-01-20T03:13:28.3Z,1,REGULAR,steal,,[],1629599,,,1610612746,7,3,2022-01-20T03:13:29Z,280000,,,0,,A. Coffey STEAL (1 STL),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M29.00S,2022-01-20T03:13:34.2Z,1,REGULAR,turnover,bad pass,[],201586,,,1610612746,7,3,2022-01-20T03:13:37Z,290000,,,0,,S. Ibaka bad pass TURNOVER (1 TO),"[201586, 203932]",1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,,,,1.0,Gordon,203932.0,,,,,,,,,,,,,,,
30,PT09M29.00S,2022-01-20T03:13:34.2Z,1,REGULAR,steal,,[],203932,,,1610612743,7,3,2022-01-20T03:13:36Z,300000,,,0,,A. Gordon STEAL (1 STL),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M23.00S,2022-01-20T03:13:40.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628420,6.521024967148489,45.09803921568628,1610612743,9,3,2022-01-20T03:13:50Z,310000,25.0,9.0,1,left,M. Morris running Layup (2 PTS) (N. Jokic 1 AST),"[1628420, 203999]",1610612743.0,DEN,running,,,Morris,M. Morris,,,,,2.6,Made,2.0,,,,,,,,N. Jokic,203999.0,1.0,,,,,,,,
33,PT09M23.00S,2022-01-20T03:13:44.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,9,3,2022-01-20T03:13:44Z,330000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M11.00S,2022-01-20T03:17:15.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,88.38699080157687,42.64705882352941,1610612746,9,5,2022-01-20T03:17:21Z,340000,-37.0,57.0,1,right,I. Zubac 6' turnaround Hook (2 PTS) (A. Coffey 2 AST),"[1627826, 1629599]",1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,6.76,Made,2.0,,,,,,,,A. Coffey,1629599.0,2.0,,,,,,,,
36,PT08M57.00S,2022-01-20T03:17:29.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203115,7.178055190538765,50.98039215686274,1610612743,11,5,2022-01-20T03:17:33Z,360000,-5.0,15.0,1,left,W. Barton cutting DUNK (2 PTS) (J. Green 1 AST),"[203115, 201145]",1610612743.0,DEN,cutting,,,Barton,W. Barton,,,,,1.58,Made,2.0,,,,,,,,J. Green,201145.0,1.0,,,,,,,,
38,PT08M44.00S,2022-01-20T03:17:41.4Z,1,REGULAR,2pt,Jump Shot,[],202704,77.61169513797634,59.55882352941176,1610612746,11,7,2022-01-20T03:17:46Z,380000,48.0,158.0,1,right,R. Jackson 16' pullup Jump Shot (2 PTS),[202704],1610612746.0,LAC,pullup,,,Jackson,R. Jackson,,,,,16.51,Made,2.0,,,,,,,,,,,,,,,,,,
39,PT08M28.00S,2022-01-20T03:17:57.8Z,1,REGULAR,3pt,Jump Shot,[],203999,32.14520367936925,34.55882352941176,1610612743,14,7,2022-01-20T03:18:03Z,390000,77.0,250.0,1,left,N. Jokic 26' 3PT  (7 PTS) (J. Green 2 AST),"[203999, 201145]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,26.14,Made,7.0,,,,,,,,J. Green,201145.0,2.0,,,,,,,,
41,PT08M02.00S,2022-01-20T03:18:23.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,94.03745072273325,65.19607843137256,1610612746,14,9,2022-01-20T03:18:28Z,410000,76.0,4.0,1,right,I. Zubac 7' turnaround Hook (4 PTS) (S. Ibaka 1 AST),"[1627826, 201586]",1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,7.61,Made,4.0,,,,,,,,S. Ibaka,201586.0,1.0,,,,,,,,
43,PT07M55.00S,2022-01-20T03:18:31.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203932,25.57490144546649,14.215686274509803,1610612743,14,9,2022-01-20T03:18:40Z,430000,179.0,188.0,1,left,MISS A. Gordon 25' pullup 3PT,[203932],1610612743.0,DEN,pullup,,,Gordon,A. Gordon,,,,,25.94,Missed,,,,,,,,,,,,,,,,,,,
44,PT07M52.00S,2022-01-20T03:18:34.1Z,1,REGULAR,rebound,defensive,[],202704,,,1610612746,14,9,2022-01-20T03:18:35Z,440000,,,0,,R. Jackson REBOUND (Off:0 Def:2),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,43.0,2.0,2.0,0.0,,,,,,,,,,,
45,PT07M48.00S,2022-01-20T03:18:38.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629611,71.04139290407359,77.69607843137256,1610612746,14,9,2022-01-20T03:18:44Z,450000,138.0,220.0,1,right,MISS T. Mann 25' pullup 3PT,[1629611],1610612746.0,LAC,pullup,,,Mann,T. Mann,,,,,25.97,Missed,,,,,,,,,,,,,,,,,,,
46,PT07M48.00S,2022-01-20T03:18:38.6Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612743,14,9,2022-01-20T03:18:44Z,460000,,,0,,M. Morris REBOUND (Off:0 Def:1),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,
47,PT07M39.00S,2022-01-20T03:18:49.4Z,1,REGULAR,foul,personal,[],202704,,,1610612743,14,9,2022-01-20T03:19:20Z,470000,,,0,,R. Jackson personal FOUL (1 PF),"[202704, 203999]",1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,1155.0,1.0,0.0,Jokic,203999.0,
49,PT07M29.00S,2022-01-20T03:19:18.5Z,1,REGULAR,3pt,Jump Shot,[],201145,22.158344283837057,88.48039215686273,1610612743,17,9,2022-01-20T03:19:23Z,490000,-192.0,156.0,1,left,J. Green 24' 3PT  (3 PTS) (A. Gordon 2 AST),"[201145, 203932]",1610612743.0,DEN,,,,Green,J. Green,,,,,24.76,Made,3.0,,,,,,,,A. Gordon,203932.0,2.0,,,,,,,,
51,PT07M17.00S,2022-01-20T03:19:31.1Z,1,REGULAR,3pt,Jump Shot,[],201586,66.3107752956636,35.049019607843135,1610612746,17,9,2022-01-20T03:19:38Z,510000,-75.0,264.0,1,right,MISS S. Ibaka 27' 3PT,[201586],1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,27.46,Missed,,,,,,,,,,,,,,,,,,,
52,PT07M11.00S,2022-01-20T03:19:37.1Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612743,17,9,2022-01-20T03:21:23Z,520000,,,0,,M. Morris REBOUND (Off:0 Def:2),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,51.0,2.0,2.0,0.0,,,,,,,,,,,
