actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-27T01:10:54.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-27T01:10:54Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-27T01:10:56.7Z,1,REGULAR,jumpball,recovered,[],1630197,,,1610612760,0,0,2022-03-27T01:10:56Z,40000,,,0,,Jump Ball I. Roby vs. N. Jokic: Tip to A. Pokusevski,"[1630197, 1629676, 203999]",1610612760.0,OKC,startperiod,A. Pokusevski,1630197.0,Pokusevski,A. Pokusevski,Roby,1629676.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2022-03-27T01:11:19.0Z,1,REGULAR,3pt,Jump Shot,[],1630544,58.820630749014455,49.50980392156863,1610612760,0,0,2022-03-27T01:11:27Z,70000,2.0,500.0,1,left,MISS T. Mann 50' running 3PT,[1630544],1610612760.0,OKC,running,,,Mann,T. Mann,,,,,50.04,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2022-03-27T01:11:19.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,0,0,2022-03-27T01:11:27Z,80000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2022-03-27T01:11:24.1Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612760,0,0,2022-03-27T01:12:15Z,90000,,,0,,OKC shot clock Team TURNOVER,[],1610612760.0,OKC,,,,,,,,,,,,,202035.0,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2022-03-27T01:11:43.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",201145,93.24901445466492,51.225490196078425,1610612743,2,0,2022-03-27T01:11:48Z,100000,6.0,11.0,1,right,J. Green cutting DUNK (2 PTS) (N. Jokic 1 AST),"[201145, 203999]",1610612743.0,DEN,cutting,,,Green,J. Green,,,,,1.26,Made,,,2.0,N. Jokic,203999.0,1.0,,,,,,,,,,,,,
12,PT11M08.00S,2022-03-27T01:11:58.3Z,1,REGULAR,foul,personal,[],203932,,,1610612760,2,0,2022-03-27T01:14:47Z,120000,,,0,,A. Gordon take personal FOUL (1 PF),"[203932, 1629676]",1610612743.0,DEN,take,,,Gordon,A. Gordon,,,,,,,,202058.0,,,,,1.0,0.0,Roby,1629676.0,,,,,,,,,
14,PT10M58.00S,2022-03-27T01:12:24.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629676,8.09789750328515,55.392156862745104,1610612760,2,2,2022-03-27T01:12:30Z,140000,-27.0,24.0,1,left,I. Roby Layup (2 PTS),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,3.59,Made,,,2.0,,,,,,,,,,,,,,,,
15,PT10M40.00S,2022-03-27T01:12:42.5Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,2,2,2022-03-27T01:15:13Z,150000,,,0,,N. Jokic bad pass TURNOVER (1 TO),"[203999, 1630197]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,1.0,Pokusevski,1630197.0,,,,,,
16,PT10M40.00S,2022-03-27T01:12:42.5Z,1,REGULAR,steal,,[],1630197,,,1610612760,2,2,2022-03-27T01:12:44Z,160000,,,0,,A. Pokusevski STEAL (1 STL),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M35.00S,2022-03-27T01:12:47.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630197,8.09789750328515,50.245098039215684,1610612760,2,4,2022-03-27T01:12:56Z,170000,-1.0,24.0,1,left,A. Pokusevski running finger roll Layup (2 PTS),[1630197],1610612760.0,OKC,running finger roll,,,Pokusevski,A. Pokusevski,,,,,2.36,Made,,,2.0,,,,,,,,,,,,,,,,
18,PT10M29.00S,2022-03-27T01:12:53.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,92.19776609724047,46.81372549019608,1610612743,4,4,2022-03-27T01:15:44Z,180000,-16.0,21.0,1,right,A. Gordon driving finger roll Layup (2 PTS) (N. Jokic 2 AST),"[203932, 203999]",1610612743.0,DEN,driving finger roll,,,Gordon,A. Gordon,,,,,2.62,Made,,,2.0,N. Jokic,203999.0,2.0,,,,,,,,,,,,,
20,PT10M10.00S,2022-03-27T01:13:12.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629647,7.046649145860711,41.42156862745098,1610612760,4,4,2022-03-27T01:13:17Z,200000,43.0,14.0,1,left,MISS D. Bazley driving Layup,[1629647],1610612760.0,OKC,driving,,,Bazley,D. Bazley,,,,,4.5,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M08.00S,2022-03-27T01:13:14.2Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,4,4,2022-03-27T01:13:17Z,210000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,20.0,,,,,,,,,,,,,1.0,1.0,0.0,,,
22,PT10M06.00S,2022-03-27T01:13:18.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203932,91.80354796320631,42.40196078431372,1610612743,4,4,2022-03-27T01:13:26Z,220000,-38.0,25.0,1,right,MISS A. Gordon running Layup,[203932],1610612743.0,DEN,running,,,Gordon,A. Gordon,,,,,4.52,Missed,,,,,,,,,,,,,,,,,,,
24,PT10M06.00S,2022-03-27T01:13:18.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,4,4,2022-03-27T01:13:26Z,240000,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,
25,PT10M04.00S,2022-03-27T01:13:40.9Z,1,REGULAR,foul,personal,['2freethrow'],1629676,,,1610612743,4,4,2022-03-27T01:13:47Z,250000,,,0,,I. Roby shooting personal FOUL (1 PF) (Jokic 2 FT),"[1629676, 203999]",1610612760.0,OKC,shooting,,,Roby,I. Roby,,,,,,,,201246.0,,,,,1.0,0.0,Jokic,203999.0,,,,,,,,,
27,PT10M04.00S,2022-03-27T01:14:06.7Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203999,,,1610612743,4,4,2022-03-27T01:14:06Z,270000,,,0,,MISS N. Jokic Free Throw 1 of 2,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Missed,,,,,,,,,,,,,,,,,,,
28,PT10M04.00S,2022-03-27T01:14:06.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612743,4,4,2022-03-27T01:14:06Z,280000,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,
29,PT10M04.00S,2022-03-27T01:14:21.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203999,,,1610612743,5,4,2022-03-27T01:14:21Z,290000,,,0,,N. Jokic Free Throw 2 of 2 (1 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Made,,,1.0,,,,,,,,,,,,,,,,
30,PT09M56.00S,2022-03-27T01:14:32.0Z,1,REGULAR,foul,personal,[],201145,,,1610612760,5,4,2022-03-27T01:14:53Z,300000,,,0,,J. Green personal FOUL (1 PF),"[201145, 1630544]",1610612743.0,DEN,,,,Green,J. Green,,,,,,,,201246.0,,,,,1.0,0.0,Mann,1630544.0,,,,,,,,,
32,PT09M51.00S,2022-03-27T01:14:51.3Z,1,REGULAR,3pt,Jump Shot,[],1629647,20.844283837056505,8.57843137254902,1610612760,5,4,2022-03-27T01:14:59Z,320000,207.0,143.0,1,left,MISS D. Bazley 25' 3PT,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,25.19,Missed,,,,,,,,,,,,,,,,,,,
33,PT09M48.00S,2022-03-27T01:14:54.3Z,1,REGULAR,rebound,defensive,[],203115,,,1610612743,5,4,2022-03-27T01:14:59Z,330000,,,0,,W. Barton REBOUND (Off:0 Def:1),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,32.0,,,,,,,,,,,,,1.0,1.0,0.0,,,
