actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-08T02:10:54.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-08T02:10:54Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-08T02:10:56.2Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2022-01-08T02:10:56Z,40000,,,0,,Jump Ball N. Jokic vs. D. Jones: Tip to A. Gordon,"[203932, 203999, 1627745]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Jones,1627745.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-01-08T02:11:11.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,91.93495400788436,44.11764705882353,1610612743,0,0,2022-01-08T02:11:17Z,70000,-29.0,23.0,1,right,MISS N. Jokic Layup,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,3.75,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-01-08T02:11:13.5Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,0,0,2022-01-08T02:11:17Z,80000,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M36.00S,2022-01-08T02:11:20.2Z,1,REGULAR,foul,personal,['2freethrow'],203210,,,1610612758,0,0,2022-01-08T02:11:33Z,90000,,,0,,J. Green shooting personal FOUL (1 PF) (Bagley III 2 FT),"[203210, 1628963]",1610612743.0,DEN,shooting,,,Green,J. Green,,,,,,,,,,,1628954.0,1.0,0.0,Bagley III,1628963.0,,,,,,,,,,
11,PT11M36.00S,2022-01-08T02:11:52.4Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628963,,,1610612758,0,1,2022-01-08T02:12:01Z,110000,,,0,,M. Bagley III Free Throw 1 of 2 (1 PTS),[1628963],1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
13,PT11M36.00S,2022-01-08T02:12:07.3Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628963,,,1610612758,0,2,2022-01-08T02:12:07Z,130000,,,0,,M. Bagley III Free Throw 2 of 2 (2 PTS),[1628963],1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,,Made,,,,,,,,,,2.0,,,,,,,,,
14,PT11M22.00S,2022-01-08T02:12:22.2Z,1,REGULAR,3pt,Jump Shot,[],203115,68.28186596583443,60.29411764705882,1610612743,3,2,2022-01-08T02:13:06Z,140000,51.0,246.0,1,right,W. Barton 25' 3PT  (3 PTS),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,25.1,Made,,,,,,,,,,3.0,,,,,,,,,
15,PT10M53.00S,2022-01-08T02:12:50.4Z,1,REGULAR,2pt,Jump Shot,[],1628368,21.895532194480946,57.107843137254896,1610612758,3,4,2022-01-08T02:12:57Z,150000,-36.0,153.0,1,left,D. Fox 15' fadeaway Jump Shot (2 PTS),[1628368],1610612758.0,SAC,fadeaway,,,Fox,D. Fox,,,,,15.74,Made,,,,,,,,,,2.0,,,,,,,,,
16,PT10M45.00S,2022-01-08T02:13:00.8Z,1,REGULAR,turnover,out-of-bounds,[],203115,,,1610612743,3,4,2022-01-08T02:13:08Z,160000,,,0,,W. Barton bad pass out-of-bounds TURNOVER (1 TO),[203115],1610612743.0,DEN,bad pass,,,Barton,W. Barton,,,,,,,,,,,101283.0,,,,,,1.0,,,,,,,,
17,PT10M31.00S,2022-01-08T02:13:19.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630169,23.73521681997372,13.480392156862745,1610612758,3,7,2022-01-08T02:13:25Z,170000,183.0,171.0,1,left,T. Haliburton 24' 3PT step back (3 PTS),[1630169],1610612758.0,SAC,step back,,,Haliburton,T. Haliburton,,,,,24.99,Made,,,,,,,,,,3.0,,,,,,,,,
18,PT10M08.00S,2022-01-08T02:13:42.6Z,1,REGULAR,3pt,Jump Shot,[],203115,68.9388961892247,26.96078431372549,1610612743,3,7,2022-01-08T02:13:49Z,180000,-115.0,239.0,1,right,MISS W. Barton 26' 3PT,[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,26.58,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M05.00S,2022-01-08T02:13:45.6Z,1,REGULAR,rebound,defensive,[],1627745,,,1610612758,3,7,2022-01-08T02:13:49Z,190000,,,0,,D. Jones REBOUND (Off:0 Def:1),[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
20,PT09M54.00S,2022-01-08T02:13:56.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627745,11.251642575558476,52.20588235294118,1610612758,3,7,2022-01-08T02:14:02Z,200000,-11.0,53.0,1,left,MISS D. Jones pullup Shot,[1627745],1610612758.0,SAC,pullup,,,Jones,D. Jones,,,,,5.44,Missed,,,,,,,,,,,,,,,,,,,
21,PT09M52.00S,2022-01-08T02:13:58.6Z,1,REGULAR,rebound,defensive,[],203115,,,1610612743,3,7,2022-01-08T02:14:02Z,210000,,,0,,W. Barton REBOUND (Off:0 Def:1),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
22,PT09M46.00S,2022-01-08T02:14:07.1Z,1,REGULAR,foul,personal,['2freethrow'],1627745,,,1610612743,3,7,2022-01-08T02:14:18Z,220000,,,0,,D. Jones shooting personal FOUL (1 PF) (Barton 2 FT),"[1627745, 203115]",1610612758.0,SAC,shooting,,,Jones,D. Jones,,,,,,,,,,,1627529.0,1.0,0.0,Barton,203115.0,,,,,,,,,,
24,PT09M46.00S,2022-01-08T02:14:38.5Z,1,REGULAR,freethrow,1 of 2,[],203115,,,1610612743,4,7,2022-01-08T02:14:38Z,240000,,,0,,W. Barton Free Throw 1 of 2 (4 PTS),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,Made,,,,,,,,,,4.0,,,,,,,,,
25,PT09M46.00S,2022-01-08T02:14:52.6Z,1,REGULAR,freethrow,2 of 2,[],203115,,,1610612743,5,7,2022-01-08T02:14:52Z,250000,,,0,,W. Barton Free Throw 2 of 2 (5 PTS),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,Made,,,,,,,,,,5.0,,,,,,,,,
26,PT09M35.00S,2022-01-08T02:15:05.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627745,18.610381077529567,43.13725490196079,1610612758,5,9,2022-01-08T02:15:13Z,260000,34.0,122.0,1,left,D. Jones 12' floating Jump Shot (2 PTS) (T. Haliburton 1 AST),"[1627745, 1630169]",1610612758.0,SAC,floating,,,Jones,D. Jones,,,,,12.71,Made,,,,,,,,,,2.0,,T. Haliburton,1630169.0,1.0,,,,,
