actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-03-07T01:10:54.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-07T01:10:54Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-07T01:10:56.6Z,1,REGULAR,jumpball,recovered,[],201145,,,1610612743,0,0,2022-03-07T01:10:56Z,40000,,,0,,Jump Ball N. Jokic vs. J. Valanciunas: Tip to J. Green,"[201145, 203999, 202685]",1610612743.0,DEN,startperiod,J. Green,201145.0,Green,J. Green,Jokic,203999.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-03-07T01:11:08.2Z,1,REGULAR,2pt,Jump Shot,[],203999,22.552562417871222,53.92156862745098,1610612743,2,0,2022-03-07T01:11:23Z,70000,-20.0,159.0,1,left,N. Jokic 16' Jump Shot (2 PTS) (J. Green 1 AST),"[203999, 201145]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,16.07,Made,2.0,J. Green,201145.0,1.0,,,,,,,,,,,,,,,
9,PT11M23.00S,2022-03-07T01:11:29.8Z,1,REGULAR,2pt,Hook,[],1629637,92.06636005256242,73.2843137254902,1610612740,2,2,2022-03-07T01:11:40Z,90000,116.0,22.0,1,right,J. Hayes 11' turnaround Hook (2 PTS) (B. Ingram 1 AST),"[1629637, 1627742]",1610612740.0,NOP,turnaround,,,Hayes,J. Hayes,,,,,11.85,Made,2.0,B. Ingram,1627742.0,1.0,,,,,,,,,,,,,,,
11,PT11M03.00S,2022-03-07T01:11:49.7Z,1,REGULAR,2pt,Jump Shot,[],1628420,19.530223390275953,77.69607843137256,1610612743,2,2,2022-03-07T01:11:59Z,110000,-138.0,131.0,1,left,MISS M. Morris 19' pullup Shot,[1628420],1610612743.0,DEN,pullup,,,Morris,M. Morris,,,,,19.07,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M01.00S,2022-03-07T01:11:51.7Z,1,REGULAR,rebound,defensive,[],1629637,,,1610612740,2,2,2022-03-07T01:11:59Z,120000,,,0,,J. Hayes REBOUND (Off:0 Def:1),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT10M51.00S,2022-03-07T01:12:03.0Z,1,REGULAR,turnover,bad pass,[],202685,,,1610612740,2,2,2022-03-07T01:12:10Z,130000,,,0,,J. Valanciunas bad pass TURNOVER (1 TO),"[202685, 203999]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,1.0,Jokic,203999.0,,,,,,,,
14,PT10M51.00S,2022-03-07T01:12:03.0Z,1,REGULAR,steal,,[],203999,,,1610612743,2,2,2022-03-07T01:12:04Z,140000,,,0,,N. Jokic STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M47.00S,2022-03-07T01:12:06.8Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",203115,27.414586070959263,20.588235294117645,1610612743,5,2,2022-03-07T01:13:05Z,150000,147.0,205.0,1,left,W. Barton 25' 3PT running (3 PTS) (M. Morris 1 AST),"[203115, 1628420]",1610612743.0,DEN,running,,,Barton,W. Barton,,,,,25.25,Made,3.0,M. Morris,1628420.0,1.0,,,,,,,,,,,,,,,
17,PT10M21.00S,2022-03-07T01:12:32.1Z,1,REGULAR,2pt,Jump Shot,[],1627742,92.32917214191852,80.3921568627451,1610612740,5,2,2022-03-07T01:12:43Z,170000,152.0,20.0,1,right,MISS B. Ingram 15' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,15.33,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M18.00S,2022-03-07T01:12:35.1Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612743,5,2,2022-03-07T01:12:43Z,180000,,,0,,M. Morris REBOUND (Off:0 Def:1),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,
19,PT10M10.00S,2022-03-07T01:12:43.8Z,1,REGULAR,3pt,Jump Shot,[],203932,27.54599211563732,78.67647058823529,1610612743,5,2,2022-03-07T01:12:51Z,190000,-143.0,206.0,1,left,MISS A. Gordon 25' 3PT,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,25.13,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M06.00S,2022-03-07T01:12:47.8Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,5,2,2022-03-07T01:12:51Z,200000,,,0,,H. Jones REBOUND (Off:0 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,
21,PT09M58.00S,2022-03-07T01:13:00.9Z,1,REGULAR,turnover,3-second-violation,[],202685,,,1610612740,5,2,2022-03-07T01:13:17Z,210000,,,0,,J. Valanciunas 3-second-violation TURNOVER (2 TO),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,2.0,,,2714.0,,,,,,,
