actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-11T03:16:03.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-11T03:16:03Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-11T03:16:05.1Z,1,REGULAR,jumpball,recovered,[],201145,,,1610612743,0,0,2022-03-11T03:16:05Z,40000,,,0,,Jump Ball N. Jokic vs. K. Looney: Tip to J. Green,"[201145, 203999, 1626172]",1610612743.0,DEN,startperiod,J. Green,201145.0,Green,J. Green,Jokic,203999.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2022-03-11T03:16:26.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,91.40932982917214,58.57843137254902,1610612743,2,0,2022-03-11T03:16:31Z,70000,43.0,28.0,1,right,N. Jokic turnaround Hook (2 PTS),[203999],1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,5.14,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2022-03-11T03:16:40.9Z,1,REGULAR,2pt,Jump Shot,[],1626172,16.245072273324574,71.56862745098039,1610612744,2,2,2022-03-11T03:16:44Z,80000,-108.0,100.0,1,left,K. Looney 14' pullup Jump Shot (2 PTS) (A. Wiggins 1 AST),"[1626172, 203952]",1610612744.0,GSW,pullup,,,Looney,K. Looney,,,,,14.72,Made,2.0,A. Wiggins,203952.0,1.0,,,,,,,,,,,,,,,
10,PT11M08.00S,2022-03-11T03:16:55.2Z,1,REGULAR,foul,personal,['2freethrow'],1630541,,,1610612743,2,2,2022-03-11T03:17:19Z,100000,,,0,,M. Moody shooting personal FOUL (1 PF) (Gordon 2 FT),"[1630541, 203932]",1610612744.0,GSW,shooting,,,Moody,M. Moody,,,,,,,,,,,202026.0,1.0,0.0,Gordon,203932.0,,,,,,,,,,
12,PT11M08.00S,2022-03-11T03:17:24.5Z,1,REGULAR,freethrow,1 of 2,[],203932,,,1610612743,3,2,2022-03-11T03:17:24Z,120000,,,0,,A. Gordon Free Throw 1 of 2 (1 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
13,PT11M08.00S,2022-03-11T03:17:41.3Z,1,REGULAR,freethrow,2 of 2,[],203932,,,1610612743,4,2,2022-03-11T03:17:41Z,130000,,,0,,A. Gordon Free Throw 2 of 2 (2 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
14,PT10M58.00S,2022-03-11T03:17:53.7Z,1,REGULAR,3pt,Jump Shot,[],203952,31.35676741130092,69.11764705882352,1610612744,4,5,2022-03-11T03:17:58Z,140000,-96.0,242.0,1,left,A. Wiggins 26' 3PT  (3 PTS) (K. Looney 1 AST),"[203952, 1626172]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,26.05,Made,3.0,K. Looney,1626172.0,1.0,,,,,,,,,,,,,,,
16,PT10M41.00S,2022-03-11T03:18:11.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201145,94.1688567674113,54.65686274509803,1610612743,6,5,2022-03-11T03:18:14Z,160000,23.0,2.0,1,right,J. Green driving finger roll Layup (2 PTS),[201145],1610612743.0,DEN,driving finger roll,,,Green,J. Green,,,,,2.34,Made,2.0,,,,,,,,,,,,,,,,,,
17,PT10M20.00S,2022-03-11T03:18:31.2Z,1,REGULAR,2pt,Jump Shot,[],202691,15.850854139290407,24.754901960784316,1610612744,6,7,2022-03-11T03:18:36Z,170000,126.0,96.0,1,left,K. Thompson 15' turnaround fadeaway Jump Shot (2 PTS),[202691],1610612744.0,GSW,turnaround fadeaway,,,Thompson,K. Thompson,,,,,15.89,Made,2.0,,,,,,,,,,,,,,,,,,
