actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-11-27T02:10:47.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-27T02:10:47Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-27T02:10:50.6Z,1,REGULAR,jumpball,recovered,[],201145,,,1610612743,0,0,2021-11-27T02:10:50Z,40000,,,0,,Jump Ball J. Green vs. B. Portis: Tip to J. Green,"[201145, 203210, 1626171]",1610612743.0,DEN,startperiod,J. Green,201145.0,Green,J. Green,Green,203210.0,Portis,1626171.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-11-27T02:11:01.7Z,1,REGULAR,3pt,Jump Shot,[],203115,31.488173455978973,64.2156862745098,1610612743,0,0,2021-11-27T02:11:11Z,70000,-71.0,243.0,1,left,MISS W. Barton 25' pullup 3PT,[203115],1610612743.0,DEN,pullup,,,Barton,W. Barton,,,,,25.37,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2021-11-27T02:11:04.7Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612749,0,0,2021-11-27T02:11:11Z,80000,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M24.00S,2021-11-27T02:11:22.8Z,1,REGULAR,3pt,Jump Shot,[],203114,95.87713534822602,94.36274509803921,1610612749,0,3,2021-11-27T02:11:31Z,90000,222.0,-14.0,1,right,K. Middleton 3PT  (3 PTS),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,22.22,Made,,,,,3.0,,,,,,,,,,,,,,
10,PT11M10.00S,2021-11-27T02:11:36.1Z,1,REGULAR,2pt,Jump Shot,[],1628420,23.209592641261498,69.85294117647058,1610612743,0,3,2021-11-27T02:11:43Z,100000,-99.0,166.0,1,left,MISS M. Morris 19' pullup Shot,[1628420],1610612743.0,DEN,pullup,,,Morris,M. Morris,,,,,19.32,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M07.00S,2021-11-27T02:11:39.1Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,3,2021-11-27T02:11:43Z,110000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
12,PT11M00.00S,2021-11-27T02:11:46.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,93.11760840998686,54.166666666666664,1610612749,0,5,2021-11-27T02:11:57Z,120000,21.0,12.0,1,right,G. Antetokounmpo driving finger roll Layup (2 PTS),[203507],1610612749.0,MIL,driving finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,2.41,Made,,,,,2.0,,,,,,,,,,,,,,
13,PT10M44.00S,2021-11-27T02:12:02.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203115,5.338370565045992,44.85294117647059,1610612743,2,5,2021-11-27T02:12:13Z,130000,26.0,-2.0,1,left,W. Barton driving finger roll Layup (2 PTS),[203115],1610612743.0,DEN,driving finger roll,,,Barton,W. Barton,,,,,2.58,Made,,,,,2.0,,,,,,,,,,,,,,
14,PT10M21.00S,2021-11-27T02:12:25.3Z,1,REGULAR,3pt,Jump Shot,[],201950,67.36202365308804,62.99019607843137,1610612749,2,5,2021-11-27T02:12:30Z,140000,65.0,254.0,1,right,MISS J. Holiday 26' 3PT,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,26.25,Missed,,,,,,,,,,,,,,,,,,,
